ue_id,cell_id,drop_type
UE10823,XYZ409,Core
UE10455,XYZ404,Transport
UE10433,XYZ404,Mobility
UE10606,XYZ410,Mobility
UE10172,XYZ405,Mobility
UE10472,XYZ403,Mobility
UE10954,XYZ410,Core
UE10422,XYZ402,Radio
UE10916,XYZ409,Core
UE10438,XYZ401,IMS
UE10056,XYZ405,Core
UE10497,XYZ405,Radio
UE10613,XYZ408,Mobility
UE10168,XYZ406,IMS
UE10988,XYZ406,IMS
UE10581,XYZ406,Core
UE10849,XYZ404,Mobility
UE10560,XYZ401,Radio
UE10427,XYZ403,Mobility
UE10418,XYZ410,Core
UE10346,XYZ406,IMS
UE10516,XYZ405,Mobility
UE10454,XYZ410,Core
UE10201,XYZ405,Mobility
UE10178,XYZ402,Radio
UE10697,XYZ404,Radio
UE10603,XYZ406,Core
UE10803,XYZ407,Mobility
UE10905,XYZ409,Radio
UE10945,XYZ405,Core
UE10994,XYZ408,Radio
UE10500,XYZ408,Core
UE10738,XYZ409,Radio
UE10932,XYZ403,Mobility
UE10147,XYZ409,Radio
UE10780,XYZ407,IMS
UE10714,XYZ404,Radio
UE10377,XYZ401,Mobility
UE10876,XYZ407,IMS
UE10914,XYZ410,Core
UE10347,XYZ406,Radio
UE10357,XYZ403,Radio
UE10055,XYZ405,Core
UE10812,XYZ403,Mobility
UE10315,XYZ408,IMS
UE10963,XYZ405,Radio
UE10184,XYZ410,Core
UE10053,XYZ410,IMS
UE10036,XYZ406,Radio
UE10722,XYZ402,Mobility
UE10804,XYZ408,Core
UE10269,XYZ409,Mobility
UE10862,XYZ403,Mobility
UE10731,XYZ406,IMS
UE10507,XYZ406,Core
UE10227,XYZ402,Radio
UE10427,XYZ410,Radio
UE10869,XYZ408,IMS
UE10722,XYZ405,Core
UE10809,XYZ408,IMS
UE10000,XYZ408,Core
UE10022,XYZ403,Core
UE10502,XYZ405,IMS
UE10447,XYZ407,Core
UE10795,XYZ405,Mobility
UE10495,XYZ406,IMS
UE10899,XYZ402,Core
UE10424,XYZ408,Radio
UE10699,XYZ405,Core
UE10017,XYZ406,Radio
UE10958,XYZ401,Radio
UE10560,XYZ402,Mobility
UE10558,XYZ404,Mobility
UE10626,XYZ409,Mobility
UE10038,XYZ406,Core
UE10728,XYZ408,Mobility
UE10209,XYZ402,Radio
UE10773,XYZ410,Core
UE10210,XYZ405,Radio
UE10564,XYZ401,Core
UE10971,XYZ404,Transport
UE10280,XYZ410,Mobility
UE10866,XYZ401,Radio
UE10832,XYZ409,IMS
UE10132,XYZ402,Transport
UE10448,XYZ407,IMS
UE10263,XYZ403,Core
UE10806,XYZ402,IMS
UE10110,XYZ404,Radio
UE10554,XYZ407,Mobility
UE10849,XYZ407,Mobility
UE10237,XYZ409,Radio
UE10890,XYZ403,Mobility
UE10456,XYZ407,Radio
UE10900,XYZ406,IMS
UE10758,XYZ410,IMS
UE10515,XYZ407,Mobility
UE10875,XYZ407,Radio
UE10860,XYZ410,Mobility
UE10896,XYZ405,Core
UE10861,XYZ409,Radio
UE10823,XYZ407,Radio
UE10172,XYZ407,IMS
UE10192,XYZ403,Core
UE10514,XYZ401,IMS
UE10789,XYZ405,Core
UE10967,XYZ408,Core
UE10567,XYZ405,IMS
UE10785,XYZ410,IMS
UE10408,XYZ403,Core
UE10687,XYZ409,Mobility
UE10627,XYZ402,Mobility
UE10083,XYZ403,Core
UE10670,XYZ404,Mobility
UE10797,XYZ410,IMS
UE10577,XYZ404,Mobility
UE10208,XYZ404,IMS
UE10521,XYZ409,Radio
UE10198,XYZ408,IMS
UE10570,XYZ402,Core
UE10233,XYZ407,IMS
UE10818,XYZ406,Mobility
UE10243,XYZ407,Mobility
UE10890,XYZ404,IMS
UE10392,XYZ405,IMS
UE10565,XYZ406,Transport
UE10445,XYZ409,Core
UE10848,XYZ402,Core
UE10392,XYZ409,Radio
UE10008,XYZ410,Core
UE10612,XYZ401,Mobility
UE10919,XYZ404,IMS
UE10806,XYZ405,Core
UE10714,XYZ409,IMS
UE10903,XYZ406,IMS
UE10152,XYZ404,Core
UE10109,XYZ402,Core
UE10833,XYZ405,IMS
UE10265,XYZ408,Radio
UE10372,XYZ408,Mobility
UE10151,XYZ406,Radio
UE10975,XYZ401,Core
UE10594,XYZ408,Radio
UE10954,XYZ404,Mobility
UE10414,XYZ402,Mobility
UE10906,XYZ401,IMS
UE10645,XYZ407,Transport
UE10325,XYZ402,IMS
UE10671,XYZ404,IMS
UE10550,XYZ404,Core
UE10175,XYZ410,Core
UE10524,XYZ401,IMS
UE10314,XYZ402,Transport
UE10066,XYZ401,IMS
UE10951,XYZ406,Radio
UE10759,XYZ403,Transport
UE10552,XYZ401,IMS
UE10183,XYZ408,Core
UE10034,XYZ404,IMS
UE10933,XYZ410,Mobility
UE10504,XYZ407,IMS
UE10848,XYZ410,Core
UE10962,XYZ402,IMS
UE10801,XYZ406,Core
UE10075,XYZ406,Radio
UE10471,XYZ407,Mobility
UE10581,XYZ401,Core
UE10745,XYZ401,Core
UE10522,XYZ402,Mobility
UE10879,XYZ402,IMS
UE10282,XYZ405,Mobility
UE10815,XYZ401,Radio
UE10535,XYZ402,Mobility
UE10273,XYZ406,Mobility
UE10538,XYZ403,IMS
UE10053,XYZ404,IMS
UE10054,XYZ401,Mobility
UE10887,XYZ405,IMS
UE10744,XYZ404,Mobility
UE10276,XYZ408,Radio
UE10442,XYZ403,IMS
UE10882,XYZ410,IMS
UE10417,XYZ401,Transport
UE10631,XYZ410,Mobility
UE10224,XYZ405,IMS
UE10569,XYZ401,IMS
UE10254,XYZ405,Mobility
UE10175,XYZ409,IMS
UE10565,XYZ405,Mobility
UE10145,XYZ402,Radio
UE10770,XYZ402,Mobility
UE10663,XYZ410,IMS
UE10384,XYZ409,Mobility
UE10261,XYZ405,Core
UE10853,XYZ410,IMS
UE10370,XYZ404,IMS
UE10682,XYZ402,Radio
UE10890,XYZ404,Mobility
UE10903,XYZ404,Radio
UE10196,XYZ409,IMS
UE10947,XYZ410,IMS
UE10584,XYZ406,Mobility
UE10814,XYZ410,Radio
UE10596,XYZ406,IMS
UE10283,XYZ405,Core
UE10301,XYZ406,Radio
UE10119,XYZ405,Radio
UE10727,XYZ406,Mobility
UE10135,XYZ408,Core
UE10627,XYZ404,Mobility
UE10572,XYZ405,Radio
UE10528,XYZ404,Mobility
UE10033,XYZ407,Mobility
UE10531,XYZ410,Mobility
UE10207,XYZ406,Core
UE10969,XYZ404,Mobility
UE10673,XYZ406,Radio
UE10298,XYZ404,Core
UE10521,XYZ408,Core
UE10093,XYZ403,Core
UE10413,XYZ408,IMS
UE10370,XYZ402,Radio
UE10382,XYZ408,Transport
UE10440,XYZ401,Radio
UE10877,XYZ406,Core
UE10446,XYZ409,Mobility
UE10618,XYZ410,Radio
UE10616,XYZ410,Radio
UE10070,XYZ402,Radio
UE10942,XYZ401,Core
UE10083,XYZ402,IMS
UE10208,XYZ405,IMS
UE10238,XYZ401,Mobility
UE10301,XYZ407,Core
UE10231,XYZ404,Mobility
UE10931,XYZ409,IMS
UE10281,XYZ406,Core
UE10393,XYZ409,Core
UE10417,XYZ401,Core
UE10205,XYZ404,Radio
UE10263,XYZ402,Mobility
UE10310,XYZ406,Core
UE10858,XYZ404,IMS
UE10905,XYZ409,Mobility
UE10696,XYZ403,IMS
UE10625,XYZ401,Mobility
UE10078,XYZ401,Core
UE10868,XYZ409,IMS
UE10341,XYZ409,Mobility
UE10812,XYZ405,IMS
UE10561,XYZ402,Radio
UE10831,XYZ409,Radio
UE10094,XYZ408,IMS
UE10769,XYZ410,IMS
UE10940,XYZ410,Radio
UE10061,XYZ407,IMS
UE10141,XYZ406,Mobility
UE10841,XYZ405,Mobility
UE10733,XYZ404,Mobility
UE10867,XYZ407,Radio
UE10615,XYZ410,Radio
UE10526,XYZ410,Mobility
UE10781,XYZ410,IMS
UE10670,XYZ409,Mobility
UE10156,XYZ405,IMS
UE10538,XYZ408,Core
UE10596,XYZ406,Core
UE10008,XYZ404,IMS
UE10275,XYZ403,Radio
UE10226,XYZ406,Mobility
UE10590,XYZ402,Mobility
UE10215,XYZ407,IMS
UE10432,XYZ404,IMS
UE10568,XYZ405,IMS
UE10655,XYZ410,Radio
UE10355,XYZ401,Mobility
UE10842,XYZ402,IMS
UE10391,XYZ404,Mobility
UE10578,XYZ408,Radio
UE10274,XYZ410,Core
UE10493,XYZ404,Core
UE10616,XYZ403,Core
UE10450,XYZ403,Mobility
UE10419,XYZ405,IMS
UE10984,XYZ403,Mobility
UE10699,XYZ408,Radio
UE10163,XYZ405,IMS
UE10778,XYZ407,Radio
UE10562,XYZ408,Core
UE10637,XYZ405,IMS
UE10591,XYZ408,IMS
UE10182,XYZ403,Core
UE10309,XYZ407,Radio
UE10016,XYZ408,Mobility
UE10445,XYZ407,Mobility
UE10169,XYZ402,IMS
UE10279,XYZ408,Core
UE10912,XYZ406,Transport
UE10815,XYZ410,Radio
UE10339,XYZ403,Mobility
UE10725,XYZ404,Radio
UE10709,XYZ407,Radio
UE10518,XYZ403,Radio
UE10909,XYZ401,Core
UE10010,XYZ406,Core
UE10523,XYZ403,Core
UE10621,XYZ410,IMS
UE10132,XYZ406,Core
UE10900,XYZ410,IMS
UE10639,XYZ403,Mobility
UE10147,XYZ406,Mobility
UE10565,XYZ404,Mobility
UE10822,XYZ404,Mobility
UE10953,XYZ410,Mobility
UE10078,XYZ410,Core
UE10345,XYZ402,Core
UE10608,XYZ404,Core
UE10248,XYZ404,Transport
UE10638,XYZ407,Core
UE10541,XYZ405,Mobility
UE10023,XYZ408,Radio
UE10470,XYZ407,Mobility
UE10200,XYZ410,Radio
UE10130,XYZ409,Mobility
UE10633,XYZ408,Radio
UE10355,XYZ409,Radio
UE10943,XYZ401,Core
UE10838,XYZ410,Mobility
UE10149,XYZ403,Core
UE10525,XYZ405,Core
UE10303,XYZ409,Mobility
UE10540,XYZ408,Radio
UE10049,XYZ410,IMS
UE10463,XYZ407,IMS
UE10239,XYZ402,Mobility
UE10481,XYZ406,IMS
UE10905,XYZ404,Radio
UE10454,XYZ405,Transport
UE10984,XYZ405,Core
UE10282,XYZ404,Core
UE10334,XYZ404,Mobility
UE10351,XYZ404,Core
UE10667,XYZ402,Radio
UE10648,XYZ401,Radio
UE10326,XYZ402,Mobility
UE10335,XYZ407,Core
UE10665,XYZ401,IMS
UE10994,XYZ406,IMS
UE10080,XYZ404,Core
UE10086,XYZ402,Mobility
UE10775,XYZ403,Transport
UE10257,XYZ407,IMS
UE10990,XYZ406,IMS
UE10184,XYZ406,IMS
UE10691,XYZ408,Core
UE10697,XYZ408,Mobility
UE10122,XYZ406,Radio
UE10888,XYZ401,Radio
UE10095,XYZ410,IMS
UE10604,XYZ407,Mobility
UE10514,XYZ408,Mobility
UE10903,XYZ405,Core
UE10442,XYZ404,Core
UE10513,XYZ407,Transport
UE10990,XYZ406,Core
UE10957,XYZ406,Mobility
UE10370,XYZ403,Radio
UE10304,XYZ410,IMS
UE10356,XYZ404,Mobility
UE10147,XYZ405,Radio
UE10284,XYZ409,Radio
UE10656,XYZ408,Transport
UE10841,XYZ403,IMS
UE10872,XYZ406,Mobility
UE10917,XYZ410,Radio
UE10261,XYZ401,Mobility
UE10573,XYZ403,Core
UE10490,XYZ410,IMS
UE10737,XYZ407,Radio
UE10030,XYZ407,Core
UE10701,XYZ402,Core
UE10886,XYZ403,Radio
UE10267,XYZ407,IMS
UE10011,XYZ406,Radio
UE10190,XYZ407,Mobility
UE10399,XYZ410,Core
UE10536,XYZ409,Mobility
UE10917,XYZ408,Core
UE10090,XYZ406,Core
UE10599,XYZ404,IMS
UE10843,XYZ410,Radio
UE10500,XYZ409,Core
UE10785,XYZ407,Mobility
UE10300,XYZ405,Mobility
UE10110,XYZ402,IMS
UE10079,XYZ409,Radio
UE10835,XYZ407,Mobility
UE10651,XYZ409,Mobility
UE10432,XYZ409,Transport
UE10416,XYZ410,Radio
UE10213,XYZ405,Transport
UE10446,XYZ407,Mobility
UE10017,XYZ405,Radio
UE10053,XYZ403,IMS
UE10879,XYZ410,IMS
UE10608,XYZ408,Core
UE10794,XYZ408,Transport
UE10745,XYZ409,Mobility
UE10978,XYZ406,Radio
UE10239,XYZ402,Radio
UE10845,XYZ403,Core
UE10920,XYZ410,Mobility
UE10417,XYZ406,IMS
UE10855,XYZ401,Mobility
UE10485,XYZ402,Radio
UE10443,XYZ408,Core
UE10565,XYZ408,Mobility
UE10598,XYZ406,Radio
UE10772,XYZ403,IMS
UE10747,XYZ402,Mobility
UE10122,XYZ406,Core
UE10419,XYZ401,Mobility
UE10565,XYZ410,Mobility
UE10215,XYZ406,Radio
UE10419,XYZ409,Mobility
UE10708,XYZ407,Mobility
UE10550,XYZ409,Mobility
UE10965,XYZ402,Core
UE10876,XYZ405,Core
UE10227,XYZ409,Radio
UE10236,XYZ407,Mobility
UE10643,XYZ409,Mobility
UE10329,XYZ406,Mobility
UE10832,XYZ407,Radio
UE10468,XYZ410,IMS
UE10679,XYZ405,Core
UE10486,XYZ406,Core
UE10548,XYZ401,Mobility
UE10578,XYZ401,Radio
UE10622,XYZ402,IMS
UE10414,XYZ404,Core
UE10218,XYZ409,Radio
UE10720,XYZ407,IMS
UE10380,XYZ406,Mobility
UE10086,XYZ401,Mobility
UE10460,XYZ405,Core
UE10814,XYZ404,Core
UE10410,XYZ405,IMS
UE10690,XYZ409,Radio
UE10915,XYZ403,Radio
UE10524,XYZ404,Mobility
UE10446,XYZ408,Radio
UE10299,XYZ403,IMS
UE10407,XYZ403,Core
UE10636,XYZ409,Core
UE10374,XYZ405,Radio
UE10232,XYZ410,Mobility
UE10762,XYZ401,IMS
UE10898,XYZ407,Mobility
UE10637,XYZ407,IMS
UE10746,XYZ406,Mobility
UE10649,XYZ406,Radio
UE10960,XYZ403,IMS
UE10048,XYZ403,IMS
UE10891,XYZ410,Radio
UE10185,XYZ409,Core
UE10204,XYZ401,Core
UE10077,XYZ407,Mobility
UE10480,XYZ410,Core
UE10385,XYZ407,Transport
UE10193,XYZ408,IMS
UE10102,XYZ406,Mobility
UE10616,XYZ408,IMS
UE10375,XYZ401,IMS
UE10286,XYZ401,Radio
UE10835,XYZ409,Core
UE10481,XYZ404,IMS
