timestamp,cell_id,ho_attempt,rach_attempt,dl_tp,ul_tp,cqi,ho_success,rach_success,rsrp,rsrq,sinr
2026-07-01 02:00:00,XYZ409,1123,489,646,112,13,1050,468,-98.8,-10.5,10.3
2026-07-01 02:00:00,XYZ410,1075,450,627,68,13,1028,438,-87.4,-9.0,17.7
2026-07-01 03:00:00,XYZ401,2098,437,180,34,6,1555,223,-108.4,-13.0,-10.7
2026-07-01 03:00:00,XYZ402,2104,448,249,44,9,1646,225,-110.4,-14.4,-2.5
2026-07-01 03:00:00,XYZ403,1105,776,252,22,6,768,433,-121.0,-12.5,-3.4
2026-07-01 03:00:00,XYZ404,1532,395,92,17,9,1175,235,-117.4,-12.1,-2.7
2026-07-01 03:00:00,XYZ405,1284,361,383,77,7,1173,230,-107.3,-11.8,4.2
2026-07-01 03:00:00,XYZ406,1308,453,386,81,8,1121,368,-100.8,-10.9,6.0
2026-07-01 03:00:00,XYZ407,1516,413,499,64,10,1336,358,-104.3,-10.9,13.8
2026-07-01 03:00:00,XYZ408,1843,589,449,72,11,1735,481,-108.2,-10.7,9.5
2026-07-01 03:00:00,XYZ409,1343,533,547,63,12,1343,507,-92.3,-10.7,13.4
2026-07-01 03:00:00,XYZ410,1693,181,654,92,14,1693,160,-88.5,-11.5,17.2
2026-07-01 04:00:00,XYZ401,2160,859,162,20,7,1634,449,-112.5,-14.8,-12.4
2026-07-01 04:00:00,XYZ402,1060,376,196,31,5,844,149,-109.3,-15.8,-6.7
2026-07-01 04:00:00,XYZ403,800,773,154,33,7,594,468,-119.5,-15.4,-4.8
2026-07-01 04:00:00,XYZ404,1147,854,98,17,8,913,564,-109.6,-13.5,-1.6
2026-07-01 04:00:00,XYZ405,1260,227,274,29,8,1091,158,-107.9,-10.5,10.7
2026-07-01 04:00:00,XYZ406,1586,686,307,58,11,1430,522,-104.7,-14.1,3.0
2026-07-01 04:00:00,XYZ407,1248,710,458,71,9,1165,631,-108.7,-10.5,9.1
2026-07-01 04:00:00,XYZ408,1944,789,442,91,12,1836,648,-98.4,-10.7,3.1
2026-07-01 04:00:00,XYZ409,1713,666,635,72,12,1713,599,-96.8,-8.7,17.5
2026-07-01 04:00:00,XYZ410,1700,259,734,98,15,1608,246,-89.4,-6.8,16.7
2026-07-01 05:00:00,XYZ401,1112,597,152,32,7,797,319,-121.3,-10.1,5.8
2026-07-01 05:00:00,XYZ402,840,769,160,22,8,682,366,-114.6,-12.2,-7.0
2026-07-01 05:00:00,XYZ403,1918,679,185,19,6,1476,338,-115.0,-10.7,6.4
2026-07-01 05:00:00,XYZ404,1757,310,115,16,6,1357,207,-112.6,-12.2,8.7
2026-07-01 05:00:00,XYZ405,1745,515,321,37,7,1517,385,-107.2,-10.9,9.3
2026-07-01 05:00:00,XYZ406,967,661,316,54,7,796,548,-105.4,-10.5,11.6
2026-07-01 05:00:00,XYZ407,863,200,473,55,10,793,158,-106.6,-12.0,6.0
2026-07-01 05:00:00,XYZ408,1555,351,523,84,11,1413,269,-107.8,-13.1,8.6
2026-07-01 05:00:00,XYZ409,1438,564,596,112,14,1311,507,-95.8,-7.3,18.9
2026-07-01 05:00:00,XYZ410,2029,303,683,117,14,1968,295,-90.5,-7.6,23.6
2026-07-01 06:00:00,XYZ401,825,288,188,29,4,620,141,-123.2,-12.0,1.1
2026-07-01 06:00:00,XYZ402,2132,456,180,23,7,1695,188,-122.5,-14.3,1.2
2026-07-01 06:00:00,XYZ403,1302,641,240,25,5,984,362,-115.8,-12.7,6.8
2026-07-01 06:00:00,XYZ404,1234,543,122,26,6,1000,342,-115.5,-12.7,8.8
2026-07-01 06:00:00,XYZ405,975,748,325,36,7,840,569,-107.7,-13.6,-2.6
2026-07-01 06:00:00,XYZ406,1298,493,379,49,11,1125,374,-109.3,-12.4,2.7
2026-07-01 06:00:00,XYZ407,1729,303,408,75,6,1550,251,-105.5,-11.7,4.6
2026-07-01 06:00:00,XYZ408,1366,783,519,55,11,1231,703,-103.5,-10.2,9.6
2026-07-01 06:00:00,XYZ409,828,226,679,137,12,799,207,-88.2,-9.3,15.4
2026-07-01 06:00:00,XYZ410,1975,471,675,132,15,1884,432,-87.6,-8.0,20.4
2026-07-01 07:00:00,XYZ401,1620,882,191,36,5,1102,487,-114.8,-13.8,-0.5
2026-07-01 07:00:00,XYZ402,2041,790,228,50,3,1590,384,-118.5,-14.3,-7.6
2026-07-01 07:00:00,XYZ403,1425,281,203,18,8,1055,161,-112.8,-12.6,-2.5
2026-07-01 07:00:00,XYZ404,805,598,98,14,6,656,340,-110.4,-11.5,0.9
2026-07-01 07:00:00,XYZ405,1278,820,323,38,9,1159,563,-114.1,-12.5,0.2
2026-07-01 07:00:00,XYZ406,1091,253,357,52,10,978,214,-103.4,-13.5,-0.7
2026-07-01 07:00:00,XYZ407,1422,692,413,35,8,1248,490,-108.1,-13.4,6.9
2026-07-01 07:00:00,XYZ408,1268,870,440,38,10,1115,762,-106.4,-10.0,25.0
2026-07-01 07:00:00,XYZ409,1158,464,678,86,12,1073,441,-90.3,-9.5,19.6
2026-07-01 07:00:00,XYZ410,2172,287,657,103,15,2161,281,-89.4,-9.5,19.1
2026-07-01 08:00:00,XYZ401,1731,298,165,23,5,1280,168,-112.0,-16.7,-3.5
2026-07-01 08:00:00,XYZ402,1184,710,240,50,7,886,309,-108.6,-15.1,-8.3
2026-07-01 08:00:00,XYZ403,1697,209,167,16,7,1315,114,-109.2,-12.8,-2.6
2026-07-01 08:00:00,XYZ404,1032,652,142,20,6,813,439,-113.9,-8.9,9.9
2026-07-01 08:00:00,XYZ405,1788,744,330,62,7,1577,532,-106.4,-12.8,7.6
2026-07-01 08:00:00,XYZ406,1649,528,438,96,8,1465,434,-107.9,-12.0,8.7
2026-07-01 08:00:00,XYZ407,1802,675,406,72,9,1660,518,-107.1,-11.8,12.2
2026-07-01 08:00:00,XYZ408,1971,572,379,51,10,1847,490,-97.8,-8.9,16.4
2026-07-01 08:00:00,XYZ409,2159,335,723,102,13,2119,296,-92.8,-10.8,16.0
2026-07-01 08:00:00,XYZ410,1877,647,777,91,15,1755,635,-87.9,-9.9,25.5
2026-07-01 09:00:00,XYZ401,2076,516,173,35,6,1462,255,-110.9,-15.5,-14.7
2026-07-01 09:00:00,XYZ402,873,812,183,17,6,637,431,-112.1,-11.4,21.3
2026-07-01 09:00:00,XYZ403,2097,350,189,19,7,1564,196,-119.7,-13.2,-15.2
2026-07-01 09:00:00,XYZ404,1887,601,105,12,8,1562,333,-114.9,-11.8,3.2
2026-07-01 09:00:00,XYZ405,1994,440,309,28,7,1756,332,-113.7,-10.6,6.9
2026-07-01 09:00:00,XYZ406,1507,781,546,109,7,1381,584,-96.3,-12.3,5.0
2026-07-01 09:00:00,XYZ407,1018,768,415,83,10,919,654,-106.3,-8.0,13.9
2026-07-01 09:00:00,XYZ408,900,800,583,65,11,830,678,-108.7,-11.3,15.7
2026-07-01 09:00:00,XYZ409,1189,855,747,63,14,1114,768,-92.7,-8.1,14.5
2026-07-01 09:00:00,XYZ410,1547,314,788,170,15,1536,310,-87.1,-9.1,20.0
2026-07-01 10:00:00,XYZ401,1887,348,180,17,6,1313,191,-118.5,-13.2,12.9
2026-07-01 10:00:00,XYZ402,954,324,239,38,4,718,155,-118.6,-15.2,-4.7
2026-07-01 10:00:00,XYZ403,984,729,171,23,5,739,418,-112.6,-12.1,3.7
2026-07-01 10:00:00,XYZ404,2182,419,107,18,5,1809,236,-111.0,-11.9,7.0
2026-07-01 10:00:00,XYZ405,1750,598,341,53,9,1542,419,-107.1,-7.6,6.0
2026-07-01 10:00:00,XYZ406,1595,644,342,70,7,1426,458,-98.9,-12.6,4.9
2026-07-01 10:00:00,XYZ407,2141,597,385,50,9,1987,493,-102.7,-11.4,6.8
2026-07-01 10:00:00,XYZ408,1552,737,452,88,14,1439,661,-105.5,-10.0,13.0
2026-07-01 10:00:00,XYZ409,987,791,632,124,15,935,704,-91.0,-11.0,15.8
2026-07-01 10:00:00,XYZ410,1935,392,599,71,15,1858,351,-89.9,-6.3,20.6
2026-07-01 11:00:00,XYZ401,1096,358,187,15,7,829,195,-108.7,-10.4,8.2
2026-07-01 11:00:00,XYZ402,1343,233,218,36,5,995,118,-111.3,-12.0,1.9
2026-07-01 11:00:00,XYZ403,1725,224,191,42,5,1168,129,-117.6,-15.9,-16.2
2026-07-01 11:00:00,XYZ404,1622,616,130,12,8,1288,370,-116.3,-12.5,4.0
2026-07-01 11:00:00,XYZ405,1363,512,258,25,10,1133,349,-112.0,-11.6,9.6
2026-07-01 11:00:00,XYZ406,2140,846,350,69,10,1931,690,-109.5,-11.9,10.5
2026-07-01 11:00:00,XYZ407,1616,617,398,37,9,1435,499,-105.9,-8.9,10.8
2026-07-01 11:00:00,XYZ408,1684,278,460,80,12,1552,235,-105.9,-10.3,11.0
2026-07-01 11:00:00,XYZ409,1641,613,562,62,13,1547,605,-88.8,-8.0,12.5
2026-07-01 11:00:00,XYZ410,2144,673,599,116,15,2144,648,-87.1,-9.1,21.6
2026-07-01 12:00:00,XYZ401,1948,808,178,21,4,1509,434,-121.5,-16.1,-11.1
2026-07-01 12:00:00,XYZ402,1432,527,228,49,8,1107,245,-112.5,-10.3,6.4
2026-07-01 12:00:00,XYZ403,987,609,224,46,7,739,336,-118.8,-13.3,0.2
2026-07-01 12:00:00,XYZ404,1118,341,129,18,5,878,211,-113.3,-10.9,7.7
2026-07-01 12:00:00,XYZ405,1241,620,310,68,7,1067,434,-103.4,-11.9,9.8
2026-07-01 12:00:00,XYZ406,912,187,402,60,9,820,150,-96.7,-12.7,7.9
2026-07-01 12:00:00,XYZ407,1681,900,354,50,8,1535,751,-104.5,-10.8,13.1
2026-07-01 12:00:00,XYZ408,1741,259,494,41,10,1653,228,-106.0,-12.5,4.4
2026-07-01 12:00:00,XYZ409,1465,651,624,96,15,1465,651,-88.7,-8.0,10.1
2026-07-01 12:00:00,XYZ410,1610,497,632,68,13,1610,476,-89.4,-8.9,20.2
2026-07-01 13:00:00,XYZ401,1515,840,151,26,6,1022,530,-116.2,-13.4,-7.4
2026-07-01 13:00:00,XYZ402,1162,823,195,33,8,871,339,-114.7,-14.0,0.5
2026-07-01 13:00:00,XYZ403,2079,503,194,29,6,1485,339,-114.9,-13.5,1.1
2026-07-01 13:00:00,XYZ404,1435,652,99,16,8,1162,395,-111.6,-12.5,3.2
2026-07-01 13:00:00,XYZ405,1838,222,298,26,7,1526,167,-114.9,-12.2,7.8
2026-07-01 13:00:00,XYZ406,1011,531,245,38,8,892,423,-106.2,-11.7,6.1
2026-07-01 13:00:00,XYZ407,2048,469,389,49,9,1875,390,-108.9,-10.7,12.5
2026-07-01 13:00:00,XYZ408,1942,874,460,42,10,1748,722,-101.5,-12.1,16.2
2026-07-01 13:00:00,XYZ409,2159,851,594,113,11,2132,824,-93.0,-12.0,13.2
2026-07-01 13:00:00,XYZ410,1061,866,780,118,15,1061,806,-92.6,-7.7,26.6
2026-07-01 14:00:00,XYZ401,837,399,190,36,12,592,227,-123.6,-9.8,9.4
2026-07-01 14:00:00,XYZ402,1839,732,197,26,6,1472,382,-123.9,-12.0,6.2
2026-07-01 14:00:00,XYZ403,1132,819,187,27,6,870,520,-114.9,-14.6,-4.9
2026-07-01 14:00:00,XYZ404,1383,639,115,20,7,1079,398,-109.1,-11.1,12.3
2026-07-01 14:00:00,XYZ405,1968,468,336,68,8,1757,334,-107.2,-13.1,-0.8
2026-07-01 14:00:00,XYZ406,906,836,378,35,8,832,620,-105.5,-10.9,14.2
2026-07-01 14:00:00,XYZ407,1128,330,507,70,8,1004,292,-104.4,-9.4,6.5
2026-07-01 14:00:00,XYZ408,1611,694,504,91,10,1408,570,-100.9,-9.8,12.5
2026-07-01 14:00:00,XYZ409,1486,473,519,107,11,1447,434,-89.1,-8.3,14.3
2026-07-01 14:00:00,XYZ410,838,442,778,88,12,827,426,-86.9,-8.4,23.8
2026-07-01 15:00:00,XYZ401,1049,817,206,23,4,786,459,-120.8,-11.9,-1.0
2026-07-01 15:00:00,XYZ402,1094,478,201,44,6,857,205,-112.0,-11.3,0.4
2026-07-01 15:00:00,XYZ403,938,699,213,18,6,737,395,-120.7,-15.2,-3.3
2026-07-01 15:00:00,XYZ404,938,533,112,14,7,747,332,-106.2,-10.1,8.3
2026-07-01 15:00:00,XYZ405,1493,881,381,55,6,1294,614,-114.0,-13.2,6.7
2026-07-01 15:00:00,XYZ406,1400,386,367,57,5,1260,310,-105.3,-8.8,18.2
2026-07-01 15:00:00,XYZ407,1318,472,454,93,8,1241,383,-108.3,-9.7,13.5
2026-07-01 15:00:00,XYZ408,1700,575,437,40,11,1598,480,-101.4,-11.9,8.6
2026-07-01 15:00:00,XYZ409,1669,364,585,82,14,1669,351,-94.5,-7.9,15.3
2026-07-01 15:00:00,XYZ410,1709,539,758,145,13,1709,484,-86.9,-8.7,23.5
2026-07-01 16:00:00,XYZ401,917,552,199,28,6,695,317,-128.0,-13.7,-3.1
2026-07-01 16:00:00,XYZ402,1058,248,213,30,7,786,120,-107.8,-11.8,-11.1
2026-07-01 16:00:00,XYZ403,1559,767,200,21,7,1114,482,-112.9,-12.4,4.1
2026-07-01 16:00:00,XYZ404,1860,576,139,25,7,1484,366,-113.0,-14.0,3.5
2026-07-01 16:00:00,XYZ405,1805,255,289,36,8,1561,188,-116.2,-12.1,8.2
2026-07-01 16:00:00,XYZ406,1511,246,311,32,8,1249,184,-107.0,-10.8,6.1
2026-07-01 16:00:00,XYZ407,1540,385,369,80,10,1362,307,-104.4,-12.6,5.2
2026-07-01 16:00:00,XYZ408,1065,806,488,67,9,964,693,-103.7,-10.3,4.9
2026-07-01 16:00:00,XYZ409,1977,837,665,108,13,1977,826,-89.0,-9.5,17.5
2026-07-01 16:00:00,XYZ410,1064,623,758,160,14,1007,547,-88.1,-9.4,21.8
2026-07-01 17:00:00,XYZ401,1261,470,193,30,4,856,295,-115.4,-14.8,-7.0
2026-07-01 17:00:00,XYZ402,1829,836,176,35,6,1459,440,-104.6,-9.9,5.8
2026-07-01 17:00:00,XYZ403,1954,263,198,34,5,1578,157,-109.1,-13.7,1.8
2026-07-01 17:00:00,XYZ404,1819,822,106,15,7,1398,464,-113.6,-11.7,0.6
2026-07-01 17:00:00,XYZ405,922,655,312,68,10,808,494,-106.4,-11.3,11.5
2026-07-01 17:00:00,XYZ406,1067,559,388,34,8,875,425,-106.2,-10.6,7.1
2026-07-01 17:00:00,XYZ407,1586,343,510,74,9,1459,263,-102.3,-12.3,-0.6
2026-07-01 17:00:00,XYZ408,1431,689,532,46,11,1431,651,-102.0,-12.3,-0.4
2026-07-01 17:00:00,XYZ409,1813,868,709,133,12,1673,777,-95.7,-8.5,16.7
2026-07-01 17:00:00,XYZ410,1549,226,755,141,15,1467,207,-86.5,-6.7,21.3
2026-07-01 18:00:00,XYZ401,1372,805,153,28,7,1014,402,-106.0,-12.1,12.8
2026-07-01 18:00:00,XYZ402,1207,796,235,34,5,1014,344,-115.3,-12.0,3.6
2026-07-01 18:00:00,XYZ403,2041,807,172,26,4,1557,457,-118.1,-13.8,5.4
2026-07-01 18:00:00,XYZ404,1803,756,118,23,8,1406,451,-105.0,-11.5,-4.1
2026-07-01 18:00:00,XYZ405,2088,851,300,50,7,1865,619,-106.6,-14.5,-3.5
2026-07-01 18:00:00,XYZ406,2069,569,386,48,9,1801,464,-101.2,-8.6,18.9
2026-07-01 18:00:00,XYZ407,1110,693,445,49,8,979,564,-103.9,-11.0,-0.9
2026-07-01 18:00:00,XYZ408,1465,858,465,81,9,1356,696,-102.6,-10.3,14.3
2026-07-01 18:00:00,XYZ409,2194,804,817,154,14,2065,717,-99.5,-9.7,16.7
2026-07-01 18:00:00,XYZ410,1224,886,645,63,15,1162,841,-89.7,-6.8,15.9
2026-07-01 19:00:00,XYZ401,2185,584,172,22,4,1438,307,-111.8,-15.3,-20.1
2026-07-01 19:00:00,XYZ402,1705,851,194,19,8,1408,406,-109.3,-10.6,2.6
2026-07-01 19:00:00,XYZ403,2060,231,163,15,5,1542,127,-119.0,-14.5,-8.5
2026-07-01 19:00:00,XYZ404,1081,185,109,19,8,891,134,-114.4,-10.2,6.8
2026-07-01 19:00:00,XYZ405,1388,271,404,56,5,1167,209,-109.7,-12.4,2.0
2026-07-01 19:00:00,XYZ406,1160,217,355,72,12,1039,177,-106.1,-12.9,-4.7
2026-07-01 19:00:00,XYZ407,818,523,511,74,9,726,445,-106.9,-10.7,19.7
2026-07-01 19:00:00,XYZ408,1194,295,485,59,12,1072,241,-98.7,-12.5,6.2
2026-07-01 19:00:00,XYZ409,2181,834,597,60,13,2117,763,-87.5,-10.0,12.6
2026-07-01 19:00:00,XYZ410,1462,434,809,130,14,1408,433,-87.9,-8.4,17.8
2026-07-01 20:00:00,XYZ401,1335,243,220,41,7,926,121,-121.3,-13.6,-9.8
2026-07-01 20:00:00,XYZ402,1040,834,221,41,7,780,424,-117.1,-14.0,-3.7
2026-07-01 20:00:00,XYZ403,2040,662,182,35,4,1463,413,-115.6,-13.9,-13.6
2026-07-01 20:00:00,XYZ404,1876,637,93,10,8,1432,371,-112.7,-12.3,4.5
2026-07-01 20:00:00,XYZ405,1899,712,354,31,6,1663,533,-113.6,-11.8,7.7
2026-07-01 20:00:00,XYZ406,1070,705,389,45,9,920,518,-103.4,-12.8,0.0
2026-07-01 20:00:00,XYZ407,806,226,536,78,9,724,168,-109.1,-11.2,10.9
2026-07-01 20:00:00,XYZ408,1387,598,467,96,12,1200,513,-101.5,-12.7,5.9
2026-07-01 20:00:00,XYZ409,1718,564,644,141,12,1718,494,-85.2,-7.9,19.7
2026-07-01 20:00:00,XYZ410,1604,721,697,126,15,1553,721,-84.0,-9.5,22.6
2026-07-01 21:00:00,XYZ401,1668,433,181,31,8,1109,231,-121.4,-12.3,-0.9
2026-07-01 21:00:00,XYZ402,2059,196,165,19,5,1590,94,-113.1,-14.3,-6.3
2026-07-01 21:00:00,XYZ403,890,402,200,32,9,651,239,-115.8,-12.3,-13.1
2026-07-01 21:00:00,XYZ404,1982,792,118,16,8,1717,499,-119.3,-10.1,3.0
2026-07-01 21:00:00,XYZ405,1363,359,373,71,8,1264,271,-111.0,-15.6,1.2
2026-07-01 21:00:00,XYZ406,1452,893,395,48,6,1254,678,-104.9,-10.7,1.0
2026-07-01 21:00:00,XYZ407,1095,755,419,38,9,1010,541,-107.7,-12.0,10.2
2026-07-01 21:00:00,XYZ408,1721,559,411,83,10,1629,505,-100.4,-9.5,11.2
2026-07-01 21:00:00,XYZ409,1185,867,633,134,12,1165,771,-95.2,-8.8,14.8
2026-07-01 21:00:00,XYZ410,1040,670,785,94,15,1017,670,-89.6,-9.8,19.1
2026-07-01 22:00:00,XYZ401,1754,447,174,22,6,1214,242,-125.9,-13.8,10.8
2026-07-01 22:00:00,XYZ402,1216,559,213,34,8,887,265,-113.6,-13.0,7.6
2026-07-01 22:00:00,XYZ403,1655,415,188,37,6,1232,251,-122.9,-13.7,8.1
2026-07-01 22:00:00,XYZ404,2114,682,117,24,6,1646,379,-110.4,-12.0,0.0
2026-07-01 22:00:00,XYZ405,2114,256,335,60,6,1892,181,-102.4,-11.6,2.5
2026-07-01 22:00:00,XYZ406,818,403,345,51,8,704,298,-106.1,-13.3,1.5
2026-07-01 22:00:00,XYZ407,813,197,449,87,9,707,155,-107.4,-11.0,7.4
2026-07-01 22:00:00,XYZ408,1167,289,534,102,10,1025,257,-104.8,-9.0,10.3
2026-07-01 22:00:00,XYZ409,961,758,821,140,15,911,734,-91.8,-9.2,20.6
2026-07-01 22:00:00,XYZ410,864,275,676,134,14,864,255,-86.9,-8.7,15.8
2026-07-01 23:00:00,XYZ401,2120,277,170,20,9,1544,138,-107.4,-14.0,-13.0
2026-07-01 23:00:00,XYZ402,952,880,201,43,7,708,489,-119.8,-13.4,-1.7
2026-07-01 23:00:00,XYZ403,2002,587,216,34,5,1570,374,-112.2,-14.6,-3.6
2026-07-01 23:00:00,XYZ404,1586,323,125,14,6,1210,205,-117.9,-10.4,10.7
2026-07-01 23:00:00,XYZ405,955,789,365,47,8,794,613,-113.5,-10.2,10.2
2026-07-01 23:00:00,XYZ406,1568,622,413,37,9,1377,498,-101.1,-10.5,0.7
2026-07-01 23:00:00,XYZ407,1348,829,471,88,10,1249,706,-103.3,-10.8,11.3
2026-07-01 23:00:00,XYZ408,1009,315,495,78,11,916,279,-101.3,-11.7,5.5
2026-07-01 23:00:00,XYZ409,2022,574,403,46,11,1917,527,-88.9,-8.7,16.2
2026-07-01 23:00:00,XYZ410,1867,353,751,89,15,1765,335,-89.1,-7.6,19.7
2026-07-02 00:00:00,XYZ401,1413,437,169,14,6,1000,241,-109.0,-15.1,-6.4
2026-07-02 00:00:00,XYZ402,1610,520,230,39,3,1262,260,-119.1,-13.2,4.9
2026-07-02 00:00:00,XYZ403,2017,891,186,28,5,1547,540,-114.7,-8.9,4.8
2026-07-02 00:00:00,XYZ404,1979,428,116,25,7,1671,258,-109.1,-13.1,3.3
2026-07-02 00:00:00,XYZ405,1168,652,388,74,5,986,439,-105.4,-11.0,3.8
2026-07-02 00:00:00,XYZ406,2178,691,401,57,8,1970,554,-103.4,-10.4,7.0
2026-07-02 00:00:00,XYZ407,2024,698,497,96,10,1760,562,-99.6,-11.6,4.3
2026-07-02 00:00:00,XYZ408,2016,833,549,87,12,1836,721,-103.7,-8.9,10.1
2026-07-02 00:00:00,XYZ409,2121,519,530,85,13,2029,469,-88.9,-8.2,15.3
2026-07-02 00:00:00,XYZ410,1978,406,710,59,13,1933,374,-87.3,-9.9,20.6
2026-07-02 01:00:00,XYZ401,1014,267,166,25,7,710,169,-107.4,-10.1,10.7
2026-07-02 01:00:00,XYZ402,1775,279,198,39,6,1394,117,-112.1,-12.1,-2.5
2026-07-02 01:00:00,XYZ403,2127,429,154,26,7,1683,268,-122.3,-14.0,-1.9
2026-07-02 01:00:00,XYZ404,1181,835,125,10,5,959,499,-115.4,-15.1,1.0
2026-07-02 01:00:00,XYZ405,1239,244,326,57,8,1082,191,-114.3,-13.7,0.8
2026-07-02 01:00:00,XYZ406,1802,720,408,59,10,1610,586,-106.7,-11.1,3.2
2026-07-02 01:00:00,XYZ407,1153,484,422,56,8,1058,359,-101.5,-11.8,5.4
2026-07-02 01:00:00,XYZ408,1089,703,486,101,9,1018,568,-100.4,-11.6,6.3
2026-07-02 01:00:00,XYZ409,1154,323,702,75,11,1081,298,-89.8,-10.1,21.3
2026-07-02 01:00:00,XYZ410,1586,755,627,57,15,1537,689,-88.1,-9.7,18.8
2026-07-02 02:00:00,XYZ401,863,213,178,28,7,626,111,-119.2,-11.1,7.8
2026-07-02 02:00:00,XYZ402,1031,766,203,37,6,751,407,-109.3,-13.0,3.0
2026-07-02 02:00:00,XYZ403,1918,849,170,24,6,1450,527,-116.0,-12.5,-6.9
2026-07-02 02:00:00,XYZ404,1040,422,110,18,5,878,268,-105.7,-14.9,-2.4
2026-07-02 02:00:00,XYZ405,1223,763,311,37,8,1077,498,-109.9,-12.3,8.3
2026-07-02 02:00:00,XYZ406,1853,875,393,68,10,1586,690,-108.0,-12.6,7.0
2026-07-02 02:00:00,XYZ407,1071,433,414,59,10,964,373,-104.7,-13.5,2.0
2026-07-02 02:00:00,XYZ408,2097,275,499,81,9,1993,218,-100.1,-13.2,7.2
2026-07-02 02:00:00,XYZ409,990,860,756,113,12,956,770,-93.9,-9.8,10.5
2026-07-02 02:00:00,XYZ410,1461,470,817,71,13,1415,438,-85.8,-9.3,16.8
2026-07-02 03:00:00,XYZ401,1003,196,194,34,6,681,97,-109.6,-11.2,9.1
2026-07-02 03:00:00,XYZ402,1070,845,218,38,6,828,383,-105.4,-12.3,2.2
2026-07-02 03:00:00,XYZ403,2128,492,208,19,6,1628,302,-117.3,-15.2,-12.6
2026-07-02 03:00:00,XYZ404,2015,411,140,25,9,1635,237,-112.5,-11.4,7.5
2026-07-02 03:00:00,XYZ405,1778,284,350,59,9,1576,209,-104.9,-11.4,7.9
2026-07-02 03:00:00,XYZ406,2186,326,405,75,8,1800,269,-103.9,-11.9,4.7
2026-07-02 03:00:00,XYZ407,1643,402,323,40,7,1438,310,-103.8,-10.8,9.0
2026-07-02 03:00:00,XYZ408,1086,433,417,74,8,1054,366,-101.8,-11.9,4.9
2026-07-02 03:00:00,XYZ409,2148,801,768,115,13,2114,737,-97.0,-9.6,15.7
2026-07-02 03:00:00,XYZ410,1030,426,694,68,15,963,386,-88.0,-10.2,11.9
2026-07-02 04:00:00,XYZ401,1964,356,195,17,5,1348,204,-116.8,-16.1,-21.8
2026-07-02 04:00:00,XYZ402,923,587,200,31,6,728,248,-115.3,-13.9,-7.3
2026-07-02 04:00:00,XYZ403,2061,260,169,33,4,1560,154,-119.4,-12.6,-1.3
2026-07-02 04:00:00,XYZ404,2194,838,122,17,7,1814,567,-109.5,-14.7,0.5
