cell_id,cqi,prb_util,dl_tp,issue
XYZ409,13,86,992,Backhaul
XYZ401,15,16,563,None
XYZ407,13,17,764,Congestion
XYZ403,14,60,129,Congestion
XYZ409,9,32,696,Scheduler
XYZ408,13,99,213,RF
XYZ403,1,18,538,Congestion
XYZ401,13,55,963,Scheduler
XYZ409,8,47,670,RF
XYZ410,5,22,478,RF
XYZ401,15,16,874,None
XYZ403,4,20,818,RF
XYZ406,1,83,959,RF
XYZ406,9,59,320,Backhaul
XYZ410,13,76,987,Scheduler
XYZ404,9,50,587,Scheduler
XYZ402,13,38,691,Congestion
XYZ410,5,46,515,Congestion
XYZ406,14,65,168,Congestion
XYZ410,11,89,818,RF
XYZ405,9,25,788,Scheduler
XYZ406,15,53,480,Scheduler
XYZ407,10,59,158,Scheduler
XYZ409,14,80,880,Scheduler
XYZ407,9,88,855,Scheduler
XYZ404,7,15,311,Backhaul
XYZ410,8,27,354,Scheduler
XYZ405,1,28,718,Scheduler
XYZ406,4,60,854,RF
XYZ409,10,75,203,RF
XYZ405,10,12,326,Scheduler
XYZ405,15,98,944,Backhaul
XYZ407,4,63,917,Scheduler
XYZ402,12,58,281,Scheduler
XYZ403,9,37,946,Scheduler
XYZ402,3,47,329,RF
XYZ410,15,37,363,Backhaul
XYZ410,12,41,443,Congestion
XYZ402,10,50,676,Scheduler
XYZ403,15,45,792,Congestion
XYZ406,10,45,533,Backhaul
XYZ405,1,96,845,Scheduler
XYZ405,15,75,543,Congestion
XYZ402,11,19,280,Congestion
XYZ402,5,79,381,Backhaul
XYZ401,7,81,975,Scheduler
XYZ403,12,88,188,Congestion
XYZ407,4,72,679,Backhaul
XYZ405,9,31,219,None
XYZ407,6,29,404,Scheduler
XYZ409,6,42,331,Congestion
XYZ406,3,24,601,Backhaul
XYZ402,10,16,331,Backhaul
XYZ401,10,97,585,Backhaul
XYZ401,5,99,414,RF
XYZ410,10,59,790,Scheduler
XYZ409,6,19,370,RF
XYZ406,14,88,47,Backhaul
XYZ406,4,46,898,Backhaul
XYZ404,13,68,894,Scheduler
XYZ402,3,97,651,RF
XYZ410,5,84,152,Congestion
XYZ403,7,72,399,Scheduler
XYZ403,11,30,621,Congestion
XYZ408,6,88,547,Congestion
XYZ406,2,88,306,Scheduler
XYZ407,1,46,303,Backhaul
XYZ409,5,54,922,RF
XYZ401,5,23,761,Backhaul
XYZ402,12,52,668,Backhaul
XYZ409,12,94,826,RF
XYZ405,6,93,246,Congestion
XYZ404,3,42,446,Congestion
XYZ401,1,12,46,Congestion
XYZ409,15,96,351,Congestion
XYZ409,4,53,136,RF
XYZ404,4,96,108,Congestion
XYZ409,10,44,638,Scheduler
XYZ410,2,34,752,RF
XYZ401,14,95,754,RF
XYZ405,8,17,141,RF
XYZ401,6,71,913,Backhaul
XYZ404,12,27,885,Backhaul
XYZ405,3,37,52,Backhaul
XYZ403,15,84,622,Backhaul
XYZ402,1,21,715,RF
XYZ406,12,73,907,Backhaul
XYZ403,11,11,789,RF
XYZ410,3,68,417,RF
XYZ401,8,46,544,None
XYZ405,4,13,43,Scheduler
XYZ402,3,50,344,Backhaul
XYZ402,13,54,53,Backhaul
XYZ404,11,43,266,None
XYZ404,4,96,874,Congestion
XYZ404,11,22,38,Congestion
XYZ407,15,16,49,RF
XYZ401,4,41,68,Scheduler
XYZ408,2,32,958,Congestion
XYZ410,4,58,931,Scheduler
XYZ409,11,81,199,Congestion
XYZ410,12,56,389,RF
XYZ406,9,46,903,Scheduler
XYZ404,4,57,757,Congestion
XYZ406,12,38,964,None
XYZ410,1,46,414,Backhaul
XYZ407,1,32,609,RF
XYZ406,1,47,515,Congestion
XYZ401,14,53,450,Congestion
XYZ405,5,14,226,Backhaul
XYZ408,6,61,54,Backhaul
XYZ408,12,49,781,Scheduler
XYZ410,6,20,602,Scheduler
XYZ409,6,87,432,Congestion
XYZ404,9,11,383,Scheduler
XYZ410,1,44,329,RF
XYZ406,10,54,298,Scheduler
XYZ407,6,58,171,Congestion
XYZ405,13,44,246,RF
XYZ408,8,81,262,Congestion
XYZ403,8,41,29,Scheduler
XYZ408,12,77,848,RF
XYZ405,15,80,411,Congestion
XYZ401,15,48,67,Scheduler
XYZ406,3,57,643,Backhaul
XYZ402,13,46,223,Scheduler
XYZ407,5,69,913,RF
XYZ409,10,90,176,RF
XYZ403,4,83,874,Congestion
XYZ410,12,13,45,Backhaul
XYZ404,1,32,440,RF
XYZ404,9,23,839,Backhaul
XYZ404,5,14,697,Backhaul
XYZ403,2,75,780,RF
XYZ405,12,33,793,Scheduler
XYZ409,2,27,283,Congestion
XYZ408,11,36,548,Backhaul
XYZ410,7,33,607,RF
XYZ402,4,38,977,RF
XYZ409,1,20,489,Scheduler
XYZ410,5,27,273,Backhaul
XYZ402,2,13,737,Scheduler
XYZ407,15,42,565,None
XYZ405,7,87,166,RF
XYZ407,15,51,345,Backhaul
XYZ405,9,41,357,Backhaul
XYZ406,13,60,759,Scheduler
XYZ408,1,13,137,RF
XYZ401,12,29,184,Congestion
XYZ401,2,94,569,Backhaul
XYZ405,11,76,930,RF
XYZ401,6,98,889,Backhaul
XYZ403,8,77,827,Backhaul
XYZ410,7,71,668,Congestion
XYZ409,9,67,840,Congestion
XYZ407,14,56,777,Scheduler
XYZ406,2,84,217,Backhaul
XYZ408,12,89,393,Backhaul
XYZ408,9,68,597,Scheduler
XYZ406,4,15,611,Scheduler
XYZ404,11,49,583,RF
XYZ404,15,86,148,RF
XYZ404,3,32,433,Scheduler
XYZ406,7,61,399,RF
XYZ401,5,13,899,Backhaul
XYZ402,13,46,20,Congestion
XYZ406,5,51,186,Backhaul
XYZ401,12,53,35,Scheduler
XYZ409,13,51,676,Scheduler
XYZ406,2,38,131,RF
XYZ407,6,28,387,Scheduler
XYZ401,6,93,121,Backhaul
XYZ408,12,41,613,RF
XYZ405,4,53,425,RF
XYZ405,5,64,526,RF
XYZ406,7,89,630,Scheduler
XYZ407,14,14,690,Scheduler
XYZ407,8,55,59,Congestion
XYZ405,6,85,686,Congestion
XYZ401,5,54,567,Scheduler
XYZ409,12,30,400,Congestion
XYZ406,3,87,778,RF
XYZ409,7,31,535,None
XYZ404,8,39,516,None
XYZ402,3,32,905,Scheduler
XYZ403,5,14,984,Scheduler
XYZ404,11,72,300,Backhaul
XYZ410,2,68,370,RF
XYZ408,10,91,353,RF
XYZ403,10,61,945,Congestion
XYZ408,12,74,962,Congestion
XYZ406,4,48,780,Backhaul
XYZ404,12,90,543,RF
XYZ407,4,12,302,Congestion
XYZ405,12,51,960,RF
XYZ405,13,80,747,RF
XYZ409,8,36,338,Congestion
XYZ403,3,37,842,Scheduler
XYZ410,5,63,433,Scheduler
XYZ404,11,24,613,Congestion
XYZ405,5,62,33,Backhaul
XYZ401,2,81,75,Congestion
XYZ407,9,79,422,RF
XYZ408,4,13,361,RF
XYZ406,9,26,813,Congestion
XYZ409,9,43,218,RF
XYZ403,2,15,879,RF
XYZ402,9,45,697,Scheduler
XYZ405,9,48,984,Backhaul
XYZ409,2,89,311,Congestion
XYZ401,11,75,677,Backhaul
XYZ401,13,17,460,Scheduler
XYZ410,6,24,97,Backhaul
XYZ403,9,72,131,Congestion
XYZ410,4,89,554,RF
XYZ403,2,74,394,Scheduler
XYZ405,7,68,135,Backhaul
XYZ404,15,19,161,Backhaul
XYZ406,9,16,216,Scheduler
XYZ408,6,83,809,Congestion
XYZ408,11,85,559,Congestion
XYZ404,11,90,318,Backhaul
XYZ401,14,21,95,Scheduler
XYZ407,4,88,549,Scheduler
XYZ406,1,55,119,RF
XYZ405,4,41,498,Backhaul
XYZ404,3,41,992,Congestion
XYZ406,7,99,487,Congestion
XYZ408,11,87,655,Congestion
XYZ406,13,99,896,Congestion
XYZ403,11,70,311,Scheduler
XYZ409,10,78,144,Backhaul
XYZ403,5,70,538,RF
XYZ404,12,55,42,Congestion
XYZ405,3,77,181,Congestion
XYZ402,14,64,648,Backhaul
XYZ410,2,10,525,Backhaul
XYZ410,13,86,901,Scheduler
XYZ402,2,76,883,Backhaul
XYZ406,5,58,40,Backhaul
XYZ402,13,34,783,Congestion
XYZ410,13,25,857,RF
XYZ401,8,94,483,Congestion
XYZ408,8,22,502,Backhaul
XYZ410,14,61,521,Scheduler
XYZ410,12,45,962,RF
XYZ401,5,81,328,Scheduler
XYZ410,13,53,615,Scheduler
XYZ406,2,92,893,Scheduler
XYZ401,13,56,572,Scheduler
XYZ408,4,89,222,Backhaul
XYZ405,7,85,435,Backhaul
XYZ403,14,29,659,Backhaul
XYZ405,6,27,161,Backhaul
XYZ401,10,63,875,Backhaul
XYZ401,7,21,634,Scheduler
XYZ404,5,34,126,RF
XYZ409,2,69,548,Backhaul
XYZ409,8,84,556,Congestion
XYZ401,14,95,595,Congestion
XYZ403,12,43,988,Congestion
XYZ404,2,22,873,Congestion
XYZ402,12,47,906,RF
XYZ407,8,21,768,Congestion
XYZ403,15,45,707,Backhaul
XYZ401,7,37,310,None
XYZ401,3,48,824,RF
XYZ403,13,86,330,Congestion
XYZ406,4,52,932,Scheduler
XYZ404,13,40,687,RF
XYZ401,7,11,404,Backhaul
XYZ407,4,91,72,Congestion
XYZ402,9,99,604,Backhaul
XYZ405,7,51,202,Backhaul
XYZ408,1,40,388,Scheduler
XYZ407,1,70,720,Scheduler
XYZ408,15,65,32,Backhaul
XYZ410,4,95,578,Congestion
XYZ406,14,92,979,Backhaul
XYZ407,14,23,179,Congestion
XYZ409,13,23,303,None
XYZ406,9,38,584,Backhaul
XYZ409,13,90,306,Congestion
XYZ402,4,59,27,Backhaul
XYZ402,13,59,91,Scheduler
XYZ402,5,72,911,Scheduler
XYZ406,1,82,117,RF
XYZ402,15,74,106,Backhaul
XYZ403,14,77,861,Congestion
XYZ408,2,80,120,Backhaul
XYZ408,11,20,300,RF
XYZ404,4,23,902,RF
XYZ409,12,92,308,Congestion
XYZ408,4,12,768,RF
XYZ401,11,17,215,Congestion
XYZ408,10,52,410,Scheduler
XYZ401,6,18,628,RF
XYZ404,13,28,469,Congestion
XYZ410,6,21,387,Backhaul
XYZ406,8,36,449,Congestion
XYZ407,12,67,115,Backhaul
XYZ410,13,34,280,Backhaul
XYZ404,9,54,531,Scheduler
XYZ408,14,57,140,Congestion
XYZ408,1,59,385,Scheduler
XYZ409,1,90,804,Backhaul
XYZ406,15,53,351,Scheduler
XYZ404,6,68,71,Scheduler
XYZ402,4,42,415,Congestion
XYZ407,11,87,337,Scheduler
XYZ410,4,37,694,Congestion
XYZ403,1,27,721,Backhaul
XYZ403,9,64,296,RF
XYZ403,12,42,616,RF
XYZ404,11,24,213,Backhaul
XYZ402,3,70,712,Scheduler
XYZ405,15,20,40,Congestion
XYZ403,5,45,418,RF
XYZ410,10,24,734,Congestion
XYZ405,1,62,221,Backhaul
XYZ407,8,71,485,Scheduler
XYZ409,3,57,170,Congestion
XYZ402,14,24,915,Scheduler
XYZ409,15,72,178,RF
XYZ410,1,96,329,Congestion
XYZ406,10,52,970,Scheduler
XYZ406,6,59,523,RF
XYZ403,1,69,45,Scheduler
XYZ410,15,68,840,Backhaul
XYZ409,15,24,85,Backhaul
XYZ404,3,38,954,Congestion
XYZ405,5,84,282,RF
XYZ403,4,91,491,Congestion
XYZ405,7,49,186,Congestion
XYZ408,6,40,819,None
XYZ408,12,82,173,Congestion
XYZ408,3,95,362,Congestion
XYZ406,11,20,737,None
XYZ401,8,90,432,Backhaul
XYZ410,8,71,684,Scheduler
XYZ406,14,84,203,Congestion
XYZ410,2,17,690,RF
XYZ407,7,60,213,Congestion
XYZ409,14,66,21,Backhaul
XYZ408,1,13,234,RF
XYZ408,2,45,706,Backhaul
XYZ407,8,28,606,RF
XYZ402,12,33,816,RF
XYZ401,1,50,658,Backhaul
XYZ402,2,58,502,Backhaul
XYZ406,12,91,580,Congestion
XYZ402,1,55,988,RF
XYZ410,5,45,51,RF
XYZ404,7,19,689,Scheduler
XYZ410,6,87,34,Scheduler
XYZ403,6,16,337,Congestion
XYZ406,6,21,865,Scheduler
XYZ408,8,95,262,Congestion
XYZ406,5,57,36,RF
XYZ402,15,46,553,Congestion
XYZ405,10,84,775,Backhaul
XYZ406,7,45,945,Backhaul
XYZ409,3,69,100,Backhaul
XYZ406,9,86,675,Backhaul
XYZ410,10,17,455,Backhaul
XYZ405,3,16,27,Backhaul
XYZ401,14,52,979,Backhaul
XYZ410,14,67,698,Backhaul
XYZ405,6,90,306,Backhaul
XYZ405,3,95,799,Congestion
XYZ406,1,55,820,Backhaul
XYZ407,1,43,205,Congestion
XYZ404,3,93,543,Congestion
XYZ407,4,81,812,Scheduler
XYZ405,14,31,441,RF
XYZ406,2,30,835,RF
XYZ404,9,24,485,Backhaul
XYZ408,15,14,102,Backhaul
XYZ409,11,26,586,RF
XYZ402,8,81,662,RF
XYZ404,12,28,656,Backhaul
XYZ408,13,14,502,Backhaul
XYZ408,3,32,344,Congestion
XYZ409,7,92,438,RF
XYZ403,4,23,70,Backhaul
XYZ401,5,19,46,RF
XYZ409,4,40,696,Congestion
XYZ401,9,22,931,Scheduler
XYZ403,11,31,812,RF
XYZ403,7,46,564,Congestion
XYZ409,13,48,81,Congestion
XYZ401,4,19,676,Congestion
XYZ407,13,40,190,Backhaul
XYZ402,8,52,305,Backhaul
XYZ407,2,86,828,RF
XYZ401,7,45,136,Backhaul
XYZ410,11,44,23,RF
XYZ410,1,77,85,RF
XYZ408,8,64,79,Backhaul
XYZ410,13,77,924,Congestion
XYZ410,14,56,521,RF
XYZ402,12,15,818,Congestion
XYZ403,14,37,876,Backhaul
XYZ408,13,39,248,RF
XYZ403,15,36,119,Scheduler
XYZ401,6,78,138,Scheduler
XYZ409,12,48,88,Scheduler
XYZ408,5,44,683,Backhaul
XYZ404,9,53,811,Scheduler
XYZ408,9,24,240,RF
XYZ405,3,92,960,Scheduler
XYZ403,9,41,242,RF
XYZ401,13,38,696,Backhaul
XYZ410,15,72,973,Congestion
XYZ405,13,15,523,None
XYZ406,9,99,230,Scheduler
XYZ404,2,36,810,RF
XYZ407,5,37,950,Congestion
XYZ403,11,14,594,Backhaul
XYZ407,2,50,905,Backhaul
XYZ401,1,65,901,Congestion
XYZ407,7,63,281,Scheduler
XYZ401,4,89,537,Scheduler
XYZ401,5,27,267,RF
XYZ402,4,86,760,Backhaul
XYZ402,6,52,817,Congestion
XYZ404,11,98,276,Congestion
XYZ401,2,83,82,Scheduler
XYZ404,8,38,411,None
XYZ402,4,19,559,Scheduler
XYZ404,8,15,876,RF
XYZ404,3,89,436,RF
XYZ409,12,98,72,Congestion
XYZ409,12,13,783,Congestion
XYZ401,11,43,57,Scheduler
XYZ405,5,92,327,Scheduler
XYZ407,12,42,865,Scheduler
XYZ404,3,13,670,Scheduler
XYZ405,12,53,917,RF
XYZ402,15,85,72,Congestion
XYZ403,13,40,625,Congestion
XYZ407,7,89,625,Backhaul
XYZ410,15,75,471,Congestion
XYZ407,3,67,480,Congestion
XYZ404,15,69,794,Scheduler
XYZ401,12,11,505,None
XYZ401,8,45,854,Backhaul
XYZ404,9,79,156,Scheduler
XYZ404,13,69,993,Backhaul
XYZ406,12,32,391,Backhaul
XYZ407,2,56,978,RF
XYZ409,3,55,275,Congestion
XYZ409,12,89,414,RF
XYZ410,13,53,56,Congestion
XYZ405,7,28,673,Backhaul
XYZ410,5,58,166,Congestion
XYZ403,10,97,27,Scheduler
XYZ403,7,67,270,Scheduler
XYZ406,2,16,666,Backhaul
XYZ401,14,50,590,Scheduler
XYZ407,14,87,654,Scheduler
XYZ403,4,24,466,Backhaul
XYZ405,1,85,282,RF
XYZ407,15,62,651,Scheduler
XYZ407,5,32,458,Scheduler
XYZ409,8,86,278,Backhaul
XYZ401,1,82,342,Backhaul
XYZ403,7,97,549,RF
XYZ409,7,74,320,RF
XYZ408,7,69,884,Scheduler
XYZ402,15,19,504,Scheduler
XYZ408,1,67,111,Backhaul
XYZ408,12,56,183,Backhaul
XYZ402,11,24,675,None
XYZ408,3,18,354,RF
XYZ403,11,22,944,Backhaul
XYZ407,2,32,334,Congestion
XYZ409,15,42,933,RF
XYZ404,15,18,964,Backhaul
XYZ406,5,12,257,RF
XYZ409,2,82,705,Congestion
XYZ405,13,34,102,Scheduler
XYZ401,14,97,688,Congestion
XYZ403,5,80,985,RF
XYZ409,5,45,128,Scheduler
XYZ403,4,98,197,Scheduler
XYZ410,11,29,269,Congestion
XYZ402,7,90,784,RF
XYZ404,10,63,586,RF
XYZ405,6,99,686,Congestion
XYZ407,2,28,922,RF
XYZ407,15,69,110,Scheduler
XYZ409,4,46,358,RF
XYZ408,13,12,657,RF
XYZ402,14,95,868,Congestion
XYZ408,11,28,188,Scheduler
XYZ408,7,62,158,Backhaul
XYZ405,9,55,536,Congestion
XYZ403,9,89,597,Congestion
XYZ409,12,65,642,RF
XYZ407,3,79,203,RF
XYZ401,1,40,799,RF
XYZ408,9,62,189,Scheduler
XYZ410,8,43,381,RF
XYZ405,7,40,263,None
XYZ406,6,69,862,Backhaul
XYZ409,14,20,157,RF
XYZ410,15,15,47,RF
XYZ408,10,36,538,None
XYZ403,7,16,417,Congestion
XYZ405,11,58,352,RF
XYZ404,9,81,984,Congestion
XYZ401,6,69,336,Scheduler
XYZ405,15,42,582,Scheduler
XYZ410,14,56,445,Scheduler
XYZ407,14,53,155,Scheduler
XYZ401,10,88,709,Congestion
XYZ404,3,36,660,RF
XYZ406,13,31,728,Congestion
XYZ409,14,56,286,Congestion
XYZ408,3,57,126,Scheduler
XYZ402,4,39,579,Congestion
XYZ403,10,11,157,RF
XYZ410,13,24,930,Backhaul
XYZ405,14,56,634,RF
XYZ407,15,36,66,RF
XYZ403,14,80,684,Congestion
XYZ407,10,36,387,Backhaul
XYZ405,8,94,25,Congestion
XYZ410,10,22,542,Congestion
XYZ406,9,64,548,Congestion
XYZ406,14,26,674,Backhaul
XYZ404,8,84,291,Scheduler
XYZ408,11,68,843,Congestion
XYZ409,10,19,85,RF
XYZ402,2,42,439,Backhaul
XYZ409,4,87,358,Backhaul
XYZ404,4,46,953,Congestion
XYZ406,12,17,517,Congestion
XYZ407,2,42,488,RF
XYZ404,13,16,350,None
XYZ408,8,43,787,RF
XYZ410,3,80,658,Backhaul
XYZ408,2,16,150,Scheduler
XYZ401,7,50,549,Scheduler
XYZ408,15,64,738,Backhaul
XYZ410,1,16,620,RF
XYZ403,15,93,457,Congestion
XYZ405,6,27,262,None
XYZ410,13,52,482,Scheduler
XYZ408,13,87,369,Scheduler
XYZ406,3,49,36,Scheduler
XYZ404,13,62,485,RF
XYZ404,3,23,754,Scheduler
XYZ404,15,30,901,Congestion
XYZ406,5,66,382,Scheduler
XYZ407,14,55,229,Scheduler
XYZ405,3,35,630,RF
XYZ410,12,33,544,Backhaul
XYZ408,4,14,850,Backhaul
XYZ407,13,51,801,RF
XYZ408,13,52,718,Congestion
XYZ404,15,41,439,Backhaul
XYZ408,3,97,805,Congestion
XYZ406,7,15,152,Backhaul
XYZ403,3,83,33,Backhaul
XYZ408,14,76,812,Scheduler
XYZ407,10,16,63,Scheduler
XYZ410,4,38,396,Congestion
XYZ405,2,43,314,RF
XYZ404,2,16,415,RF
XYZ401,9,90,123,RF
XYZ410,11,86,464,Congestion
XYZ403,1,67,81,Scheduler
XYZ402,1,94,584,Congestion
XYZ408,10,40,840,Scheduler
XYZ408,1,82,431,Congestion
XYZ405,14,54,950,Scheduler
XYZ405,3,56,649,RF
XYZ404,2,86,340,Backhaul
XYZ401,3,90,150,Congestion
XYZ401,14,81,830,RF
XYZ406,5,82,837,Scheduler
XYZ404,9,82,218,Congestion
XYZ404,2,49,924,RF
XYZ403,12,39,55,Congestion
XYZ409,11,71,810,RF
XYZ403,15,80,235,RF
XYZ408,14,26,605,Scheduler
XYZ402,1,14,325,RF
XYZ404,11,90,586,RF
XYZ401,6,10,912,Backhaul
XYZ405,3,89,31,Congestion
XYZ402,13,90,102,RF
XYZ401,7,40,51,Scheduler
XYZ401,6,44,427,None
XYZ402,11,81,105,RF
XYZ405,7,39,982,RF
XYZ409,13,94,763,Congestion
XYZ406,13,24,430,Backhaul
XYZ404,5,65,976,Congestion
XYZ403,1,69,806,Backhaul
XYZ408,14,36,732,Scheduler
XYZ403,3,11,582,RF
XYZ401,3,83,851,Backhaul
XYZ404,7,73,275,Congestion
XYZ405,15,14,260,Scheduler
XYZ405,14,77,736,Backhaul
XYZ405,13,22,917,RF
XYZ408,3,90,951,Congestion
XYZ408,11,94,915,RF
XYZ404,5,32,926,RF
XYZ409,4,59,727,Scheduler
XYZ401,4,88,471,Congestion
XYZ405,13,87,775,Congestion
XYZ405,7,82,851,RF
XYZ405,1,46,20,Congestion
XYZ408,7,39,620,RF
XYZ409,15,32,301,Backhaul
XYZ403,8,43,670,Backhaul
XYZ409,3,73,618,Congestion
XYZ408,15,64,533,Scheduler
XYZ403,3,80,998,Congestion
XYZ402,4,18,880,Backhaul
XYZ404,15,13,699,Scheduler
XYZ402,13,75,138,Backhaul
XYZ404,6,42,919,Backhaul
XYZ405,14,41,524,None
XYZ402,7,53,99,RF
XYZ408,1,46,642,Congestion
XYZ401,15,76,696,Backhaul
XYZ403,13,69,913,Backhaul
XYZ407,4,68,976,RF
XYZ410,12,45,238,Backhaul
XYZ401,7,58,536,Backhaul
XYZ402,11,60,930,Backhaul
XYZ403,2,17,746,Backhaul
XYZ402,1,59,726,Backhaul
XYZ402,1,50,485,Scheduler
XYZ406,10,47,813,Backhaul
XYZ407,14,95,537,RF
XYZ406,14,87,910,Backhaul
XYZ406,6,88,831,Congestion
XYZ409,12,64,521,Scheduler
