ue_id,cell_id,rsrp,sinr,cause
UE10811,XYZ405,-110,15,Interference
UE10106,XYZ410,-86,-2,Post_HO
UE10547,XYZ401,-117,10,Post_HO
UE10658,XYZ410,-83,9,None
UE10261,XYZ406,-92,0,Coverage
UE10920,XYZ407,-99,-5,Interference
UE10158,XYZ405,-113,13,Post_HO
UE10264,XYZ401,-90,3,Interference
UE10467,XYZ406,-99,-10,Post_HO
UE10201,XYZ410,-117,-4,Interference
UE10932,XYZ405,-121,13,Coverage
UE10154,XYZ406,-104,-2,None
UE10012,XYZ410,-95,0,Coverage
UE10296,XYZ407,-123,13,Interference
UE10895,XYZ407,-96,12,Post_HO
UE10833,XYZ402,-105,5,Post_HO
UE10497,XYZ403,-91,8,None
UE10596,XYZ406,-120,-9,Coverage
UE10992,XYZ403,-98,4,Coverage
UE10791,XYZ402,-94,-8,Coverage
UE10244,XYZ404,-84,-7,Post_HO
UE10299,XYZ405,-89,9,None
UE10361,XYZ410,-101,11,Post_HO
UE10353,XYZ409,-94,17,Coverage
UE10827,XYZ403,-91,-4,Interference
UE10520,XYZ403,-104,1,Post_HO
UE10385,XYZ406,-102,-7,None
UE10758,XYZ405,-87,-1,Coverage
UE10311,XYZ406,-96,-5,Interference
UE10413,XYZ407,-94,14,Post_HO
UE10277,XYZ403,-95,19,Interference
UE10749,XYZ405,-103,11,Interference
UE10714,XYZ408,-86,3,None
UE10758,XYZ404,-93,-8,Post_HO
UE10746,XYZ410,-101,6,None
UE10592,XYZ402,-90,0,Coverage
UE10355,XYZ404,-102,-1,Interference
UE10524,XYZ402,-95,15,None
UE10838,XYZ403,-87,18,None
UE10015,XYZ404,-113,10,Coverage
UE10992,XYZ404,-116,-1,Post_HO
UE10044,XYZ410,-103,-1,None
UE10320,XYZ409,-108,-8,Interference
UE10650,XYZ410,-94,13,Interference
UE10325,XYZ406,-93,15,Interference
UE10147,XYZ409,-90,4,Interference
UE10354,XYZ404,-98,6,None
UE10235,XYZ409,-110,16,Interference
UE10702,XYZ409,-110,7,None
UE10612,XYZ406,-108,8,Post_HO
UE10104,XYZ405,-118,8,Interference
UE10473,XYZ403,-84,1,Post_HO
UE10761,XYZ405,-110,13,None
UE10395,XYZ403,-115,-6,Coverage
UE10445,XYZ405,-120,13,Post_HO
UE10605,XYZ405,-125,16,Interference
UE10219,XYZ402,-114,5,Coverage
UE10986,XYZ409,-88,19,Post_HO
UE10809,XYZ407,-98,4,None
UE10850,XYZ406,-81,4,None
UE10964,XYZ405,-109,16,None
UE10441,XYZ404,-125,-5,Post_HO
UE10644,XYZ408,-94,1,None
UE10872,XYZ402,-118,-9,Post_HO
UE10666,XYZ408,-86,16,Interference
UE10027,XYZ401,-83,9,Interference
UE10793,XYZ410,-102,-2,Post_HO
UE10474,XYZ401,-116,-7,Post_HO
UE10627,XYZ403,-87,-6,Coverage
UE10304,XYZ405,-87,10,None
UE10745,XYZ406,-116,15,Interference
UE10404,XYZ404,-90,-3,Interference
UE10512,XYZ407,-101,11,Coverage
UE10501,XYZ407,-116,-1,Post_HO
UE10347,XYZ402,-107,-4,Post_HO
UE10239,XYZ402,-81,11,Coverage
UE10569,XYZ402,-111,3,None
UE10846,XYZ402,-110,19,Post_HO
UE10694,XYZ409,-124,19,Post_HO
UE10336,XYZ405,-97,-6,None
UE10025,XYZ408,-122,5,None
UE10979,XYZ405,-97,4,Coverage
UE10408,XYZ405,-95,-6,Coverage
UE10076,XYZ401,-109,-8,Coverage
UE10928,XYZ406,-116,12,Post_HO
UE10216,XYZ404,-99,18,Coverage
UE10327,XYZ403,-85,-1,Post_HO
UE10836,XYZ406,-111,-6,Interference
UE10773,XYZ402,-82,12,None
UE10022,XYZ408,-95,4,None
UE10755,XYZ401,-105,7,Interference
UE10669,XYZ409,-85,14,Coverage
UE10717,XYZ408,-81,-3,Post_HO
UE10309,XYZ401,-100,10,Post_HO
UE10598,XYZ410,-88,-9,Post_HO
UE10266,XYZ409,-90,11,None
UE10414,XYZ402,-109,-3,Coverage
UE10645,XYZ403,-123,12,Post_HO
UE10266,XYZ402,-112,-3,Post_HO
UE10332,XYZ408,-113,-7,Post_HO
UE10779,XYZ402,-85,19,Interference
UE10449,XYZ410,-99,8,Post_HO
UE10564,XYZ402,-125,12,Interference
UE10610,XYZ401,-109,7,Post_HO
UE10246,XYZ407,-92,19,Post_HO
UE10035,XYZ402,-112,10,Post_HO
UE10400,XYZ410,-109,18,Interference
UE10027,XYZ405,-123,12,Post_HO
UE10219,XYZ405,-92,-10,Coverage
UE10405,XYZ403,-86,9,Post_HO
UE10613,XYZ403,-101,4,Interference
UE10774,XYZ403,-124,7,Interference
UE10270,XYZ406,-92,11,Coverage
UE10735,XYZ404,-100,1,None
UE10650,XYZ403,-95,-10,Coverage
UE10791,XYZ402,-117,-4,Coverage
UE10510,XYZ403,-96,8,Interference
UE10962,XYZ404,-106,17,Post_HO
UE10285,XYZ406,-105,-10,Post_HO
UE10453,XYZ404,-97,13,None
UE10761,XYZ408,-101,-4,None
UE10833,XYZ403,-88,-9,None
UE10316,XYZ403,-82,-4,None
UE10589,XYZ403,-101,8,Coverage
UE10296,XYZ408,-117,2,Coverage
UE10337,XYZ404,-87,14,Post_HO
UE10306,XYZ401,-82,13,Coverage
UE10427,XYZ402,-100,-6,Post_HO
UE10350,XYZ410,-89,12,Post_HO
UE10510,XYZ402,-110,8,Post_HO
UE10524,XYZ403,-89,-10,Post_HO
UE10857,XYZ406,-114,-10,Interference
UE10491,XYZ408,-102,16,Post_HO
UE10907,XYZ401,-100,7,Coverage
UE10593,XYZ409,-106,13,Coverage
UE10008,XYZ401,-117,-10,Coverage
UE10496,XYZ410,-103,16,Coverage
UE10724,XYZ402,-87,17,Interference
UE10559,XYZ403,-97,-6,None
UE10560,XYZ407,-95,-2,None
UE10820,XYZ409,-107,1,Post_HO
UE10439,XYZ403,-106,-2,Post_HO
UE10551,XYZ408,-103,7,Coverage
UE10874,XYZ409,-83,12,Coverage
UE10791,XYZ410,-99,0,None
UE10737,XYZ407,-96,-10,None
UE10967,XYZ404,-105,8,Coverage
UE10107,XYZ404,-82,11,Post_HO
UE10244,XYZ404,-91,14,Interference
UE10254,XYZ406,-119,-1,Interference
UE10032,XYZ404,-104,-9,None
UE10022,XYZ405,-116,-4,None
UE10844,XYZ409,-103,9,None
UE10565,XYZ407,-111,-9,Interference
UE10820,XYZ408,-96,8,Interference
UE10048,XYZ405,-92,-5,Coverage
UE10461,XYZ405,-113,-1,Post_HO
UE10589,XYZ407,-122,-2,None
UE10335,XYZ408,-108,-3,Coverage
UE10944,XYZ409,-103,15,Interference
UE10357,XYZ402,-93,19,Coverage
UE10121,XYZ403,-92,0,Interference
UE10443,XYZ402,-92,-2,Post_HO
UE10358,XYZ410,-90,9,Interference
UE10601,XYZ407,-91,17,Coverage
UE10345,XYZ402,-109,9,Post_HO
UE10192,XYZ402,-98,-2,Interference
UE10415,XYZ402,-112,-3,None
UE10376,XYZ404,-92,17,Interference
UE10462,XYZ401,-115,4,Post_HO
UE10755,XYZ402,-113,-9,Coverage
UE10660,XYZ403,-93,13,Post_HO
UE10145,XYZ407,-124,-10,Coverage
UE10477,XYZ410,-92,-2,Interference
UE10827,XYZ401,-97,-2,Interference
UE10889,XYZ406,-89,2,Post_HO
UE10652,XYZ403,-122,-3,None
UE10407,XYZ403,-114,16,Interference
UE10285,XYZ404,-100,10,None
UE10897,XYZ404,-98,-6,None
UE10850,XYZ407,-123,18,Post_HO
UE10110,XYZ403,-106,-8,Interference
UE10619,XYZ408,-116,10,None
UE10878,XYZ408,-108,-7,Interference
UE10792,XYZ407,-99,6,Coverage
UE10049,XYZ402,-95,5,None
UE10013,XYZ405,-99,5,Post_HO
UE10133,XYZ406,-84,14,Post_HO
UE10587,XYZ410,-125,15,None
UE10595,XYZ404,-120,19,Interference
UE10342,XYZ410,-115,9,Coverage
UE10669,XYZ405,-92,-8,Coverage
UE10285,XYZ409,-87,-5,Post_HO
UE10933,XYZ407,-106,-10,Post_HO
UE10313,XYZ402,-105,10,Interference
UE10605,XYZ401,-105,5,Post_HO
UE10296,XYZ402,-108,4,Interference
UE10605,XYZ403,-105,-4,None
UE10568,XYZ402,-107,-9,Coverage
UE10163,XYZ403,-122,-1,None
UE10831,XYZ410,-113,14,Post_HO
UE10496,XYZ409,-108,17,Coverage
UE10609,XYZ404,-97,4,Coverage
UE10015,XYZ409,-101,-5,None
UE10343,XYZ403,-113,-9,Interference
UE10077,XYZ401,-99,13,Coverage
UE10345,XYZ405,-107,13,Interference
UE10071,XYZ410,-125,6,None
UE10269,XYZ410,-88,17,None
UE10286,XYZ402,-107,-10,Interference
UE10065,XYZ404,-125,-10,None
UE10879,XYZ402,-86,17,Coverage
UE10067,XYZ402,-109,-7,None
UE10192,XYZ403,-105,9,None
UE10054,XYZ405,-104,5,Coverage
UE10979,XYZ404,-111,-3,Interference
UE10378,XYZ402,-87,-10,None
UE10973,XYZ410,-87,15,Interference
UE10167,XYZ402,-94,8,Coverage
UE10408,XYZ406,-122,0,Interference
UE10507,XYZ407,-82,6,Interference
UE10536,XYZ410,-81,14,Post_HO
UE10642,XYZ406,-94,-1,Post_HO
UE10836,XYZ407,-122,1,None
UE10101,XYZ401,-125,-2,Post_HO
UE10885,XYZ406,-93,-4,Post_HO
UE10793,XYZ403,-119,18,Post_HO
UE10807,XYZ401,-117,1,Interference
UE10805,XYZ408,-125,4,Interference
UE10421,XYZ404,-110,-3,Post_HO
UE10963,XYZ410,-108,6,Coverage
UE10774,XYZ408,-120,-6,Post_HO
UE10477,XYZ410,-124,3,Coverage
UE10925,XYZ404,-117,-9,Interference
UE10119,XYZ404,-122,5,Coverage
UE10914,XYZ410,-81,18,Interference
UE10742,XYZ404,-103,6,Coverage
UE10290,XYZ406,-83,-8,Interference
UE10487,XYZ409,-81,12,Interference
UE10160,XYZ405,-83,-10,Post_HO
UE10672,XYZ410,-118,16,None
UE10077,XYZ408,-87,7,None
UE10037,XYZ408,-101,7,Interference
UE10393,XYZ404,-110,-7,Post_HO
UE10440,XYZ410,-91,4,None
UE10539,XYZ409,-109,17,None
UE10461,XYZ409,-108,8,Post_HO
UE10611,XYZ405,-99,8,Post_HO
UE10293,XYZ406,-111,-1,None
UE10399,XYZ405,-109,-6,None
UE10635,XYZ403,-83,8,Coverage
UE10916,XYZ408,-121,0,Coverage
UE10091,XYZ409,-110,-4,Interference
UE10766,XYZ404,-111,-6,None
UE10608,XYZ409,-84,9,Post_HO
UE10005,XYZ409,-92,1,Post_HO
UE10680,XYZ407,-107,8,None
UE10894,XYZ408,-118,4,Interference
UE10270,XYZ403,-116,1,Post_HO
UE10619,XYZ405,-121,-7,None
UE10898,XYZ403,-100,19,None
UE10810,XYZ407,-104,1,Interference
UE10558,XYZ406,-82,7,None
UE10098,XYZ403,-103,6,Post_HO
UE10525,XYZ409,-113,8,Coverage
UE10193,XYZ401,-117,5,Interference
UE10156,XYZ410,-106,0,None
UE10899,XYZ403,-98,-9,Interference
UE10665,XYZ410,-82,5,None
UE10114,XYZ407,-89,-10,Coverage
UE10395,XYZ403,-102,6,Interference
UE10769,XYZ403,-82,7,None
UE10656,XYZ402,-93,18,Coverage
UE10802,XYZ409,-106,18,Post_HO
UE10521,XYZ404,-96,14,None
UE10879,XYZ410,-82,18,Coverage
UE10213,XYZ406,-117,2,Coverage
UE10744,XYZ402,-81,-6,Interference
UE10682,XYZ409,-109,14,None
UE10532,XYZ407,-90,13,Post_HO
UE10014,XYZ410,-112,18,None
UE10418,XYZ405,-107,16,Coverage
UE10367,XYZ407,-119,-5,Post_HO
UE10637,XYZ404,-123,-10,Coverage
UE10852,XYZ410,-93,-1,Interference
UE10852,XYZ407,-82,-6,None
UE10212,XYZ402,-94,17,Coverage
UE10699,XYZ407,-115,-10,Coverage
UE10683,XYZ404,-84,12,None
UE10991,XYZ404,-124,15,Post_HO
UE10758,XYZ401,-100,19,Coverage
UE10004,XYZ403,-122,0,None
UE10230,XYZ405,-109,13,Interference
UE10200,XYZ405,-109,13,Interference
UE10884,XYZ402,-98,-4,None
UE10401,XYZ404,-96,7,Coverage
UE10148,XYZ401,-86,10,None
UE10583,XYZ409,-103,9,None
UE10491,XYZ401,-102,10,Coverage
UE10225,XYZ406,-97,-1,Post_HO
UE10585,XYZ407,-122,14,Post_HO
UE10818,XYZ403,-88,4,Interference
UE10168,XYZ401,-97,-7,Post_HO
UE10760,XYZ407,-107,5,None
UE10791,XYZ403,-99,4,Coverage
UE10999,XYZ410,-97,4,Interference
UE10151,XYZ406,-90,1,Post_HO
UE10223,XYZ406,-91,-3,None
UE10503,XYZ404,-120,-3,Interference
UE10736,XYZ406,-103,7,Coverage
UE10549,XYZ410,-87,19,Post_HO
UE10043,XYZ404,-82,-5,None
UE10696,XYZ408,-118,-6,Coverage
UE10503,XYZ409,-124,-9,None
UE10954,XYZ402,-113,1,None
UE10240,XYZ407,-86,15,None
UE10929,XYZ409,-105,-7,Coverage
UE10842,XYZ409,-95,12,Interference
UE10350,XYZ405,-90,2,None
UE10721,XYZ401,-88,6,Interference
UE10022,XYZ406,-99,5,Interference
UE10635,XYZ408,-90,-2,Post_HO
UE10597,XYZ401,-103,15,Post_HO
UE10042,XYZ402,-105,17,Interference
UE10465,XYZ401,-113,-10,Post_HO
UE10039,XYZ405,-89,4,Post_HO
UE10302,XYZ402,-100,1,Interference
UE10680,XYZ410,-86,-6,Coverage
UE10174,XYZ410,-119,12,Post_HO
UE10998,XYZ404,-87,13,Post_HO
UE10531,XYZ401,-104,7,Coverage
UE10460,XYZ407,-87,9,Coverage
UE10620,XYZ408,-103,-9,Coverage
UE10192,XYZ405,-96,-7,Interference
UE10243,XYZ402,-108,4,Coverage
UE10835,XYZ408,-84,-5,Interference
UE10279,XYZ401,-108,11,None
UE10739,XYZ407,-116,1,None
UE10035,XYZ401,-87,18,Coverage
UE10556,XYZ406,-96,7,Coverage
UE10897,XYZ406,-100,16,None
UE10539,XYZ405,-119,9,Interference
UE10153,XYZ402,-119,-7,Interference
UE10022,XYZ402,-121,19,Coverage
UE10718,XYZ409,-125,-10,Coverage
UE10931,XYZ405,-108,4,Coverage
UE10090,XYZ405,-113,19,None
UE10389,XYZ407,-101,7,Post_HO
UE10930,XYZ406,-86,3,Coverage
UE10358,XYZ402,-118,-8,Interference
UE10549,XYZ401,-116,18,Post_HO
UE10930,XYZ405,-94,4,Interference
UE10227,XYZ404,-109,16,Post_HO
UE10201,XYZ403,-88,-6,None
UE10349,XYZ402,-111,16,Post_HO
UE10820,XYZ410,-111,13,Interference
UE10765,XYZ402,-86,11,Post_HO
UE10037,XYZ404,-106,-8,None
UE10732,XYZ402,-111,11,Interference
UE10499,XYZ404,-91,-4,Coverage
UE10698,XYZ403,-120,-5,Post_HO
UE10042,XYZ409,-96,15,Interference
UE10870,XYZ407,-118,11,Post_HO
UE10625,XYZ403,-95,-10,None
UE10771,XYZ408,-94,8,Interference
UE10516,XYZ409,-81,-4,Coverage
UE10067,XYZ407,-111,-7,Coverage
UE10739,XYZ406,-108,1,Post_HO
UE10122,XYZ404,-113,9,None
UE10684,XYZ405,-102,12,None
UE10335,XYZ408,-86,14,Post_HO
UE10152,XYZ403,-112,19,Interference
UE10973,XYZ402,-98,16,Interference
UE10778,XYZ403,-115,18,Post_HO
UE10668,XYZ407,-120,18,Interference
UE10161,XYZ408,-101,7,Interference
UE10213,XYZ401,-125,-2,Interference
UE10909,XYZ407,-101,8,Post_HO
UE10375,XYZ409,-124,11,Coverage
UE10919,XYZ403,-94,-7,None
UE10442,XYZ403,-113,-10,Coverage
UE10422,XYZ408,-93,-2,Interference
UE10537,XYZ404,-94,16,Post_HO
UE10938,XYZ408,-102,4,None
UE10803,XYZ405,-99,11,Interference
UE10934,XYZ403,-122,-3,None
UE10700,XYZ404,-102,4,None
UE10911,XYZ404,-103,4,Coverage
UE10633,XYZ408,-97,7,Interference
UE10229,XYZ406,-92,-4,None
UE10058,XYZ407,-105,11,Coverage
UE10095,XYZ409,-96,7,Post_HO
UE10261,XYZ406,-100,5,None
UE10353,XYZ403,-106,-9,Interference
UE10311,XYZ403,-110,-7,Post_HO
UE10135,XYZ403,-123,9,None
UE10861,XYZ410,-89,5,None
UE10794,XYZ402,-86,-8,Interference
UE10966,XYZ401,-82,13,None
UE10922,XYZ410,-101,19,Interference
UE10472,XYZ401,-103,12,Interference
UE10631,XYZ404,-82,-9,Interference
UE10429,XYZ403,-125,-8,Interference
UE10936,XYZ405,-93,15,None
UE10974,XYZ409,-111,14,Post_HO
UE10536,XYZ408,-109,18,Post_HO
UE10853,XYZ409,-92,-6,Coverage
UE10145,XYZ405,-109,-9,Interference
UE10523,XYZ408,-85,8,None
UE10086,XYZ404,-82,13,None
UE10946,XYZ405,-122,9,Coverage
UE10108,XYZ403,-113,19,Post_HO
UE10422,XYZ405,-122,-9,None
UE10344,XYZ403,-119,-9,Coverage
UE10265,XYZ405,-117,11,Post_HO
UE10733,XYZ405,-103,13,None
UE10585,XYZ406,-93,12,Interference
UE10993,XYZ409,-93,9,Coverage
UE10493,XYZ401,-106,7,None
UE10332,XYZ410,-122,14,Coverage
UE10821,XYZ406,-125,9,Coverage
UE10412,XYZ401,-84,14,Coverage
UE10613,XYZ406,-92,10,Interference
UE10936,XYZ402,-99,3,Post_HO
UE10648,XYZ408,-105,17,Post_HO
UE10190,XYZ403,-102,4,None
UE10972,XYZ410,-111,1,Interference
UE10932,XYZ406,-91,0,Post_HO
UE10141,XYZ406,-101,0,None
UE10868,XYZ404,-117,19,None
UE10072,XYZ405,-109,-4,Coverage
UE10839,XYZ402,-105,1,Interference
UE10166,XYZ410,-113,5,Post_HO
UE10167,XYZ410,-123,-6,Interference
UE10565,XYZ408,-122,-9,Interference
UE10258,XYZ410,-122,11,Post_HO
UE10438,XYZ407,-83,5,Post_HO
UE10110,XYZ410,-98,12,Interference
UE10743,XYZ406,-119,19,None
UE10672,XYZ407,-100,4,Interference
UE10863,XYZ401,-115,0,Post_HO
UE10838,XYZ405,-102,18,Interference
UE10530,XYZ407,-83,-5,Post_HO
UE10289,XYZ401,-116,2,None
UE10973,XYZ402,-89,19,Interference
UE10561,XYZ409,-113,8,None
UE10509,XYZ403,-82,-1,Interference
UE10174,XYZ406,-84,13,Interference
UE10301,XYZ407,-87,8,Post_HO
UE10695,XYZ409,-107,19,Coverage
UE10184,XYZ405,-107,-6,Post_HO
UE10338,XYZ404,-114,14,Interference
UE10509,XYZ402,-104,16,Coverage
UE10818,XYZ403,-89,10,Coverage
UE10309,XYZ405,-96,-4,None
UE10506,XYZ402,-114,0,Interference
UE10345,XYZ404,-97,3,Post_HO
UE10080,XYZ401,-105,12,Coverage
UE10373,XYZ404,-115,10,Coverage
UE10155,XYZ407,-89,5,Post_HO
UE10786,XYZ403,-108,7,Post_HO
UE10794,XYZ410,-82,10,Coverage
UE10431,XYZ408,-99,12,Post_HO
UE10499,XYZ406,-89,12,None
UE10760,XYZ406,-114,-7,Coverage
UE10146,XYZ401,-103,-10,None
UE10480,XYZ405,-92,11,Interference
UE10434,XYZ403,-88,18,None
UE10518,XYZ410,-103,4,Post_HO
UE10668,XYZ401,-101,3,Coverage
UE10682,XYZ408,-122,8,None
UE10068,XYZ407,-96,16,Post_HO
UE10605,XYZ407,-96,-6,Post_HO
UE10880,XYZ410,-113,-7,None
UE10874,XYZ410,-84,2,Coverage
UE10887,XYZ410,-112,7,None
UE10185,XYZ404,-118,1,Interference
UE10903,XYZ406,-102,12,None
UE10681,XYZ409,-108,19,None
UE10203,XYZ403,-91,10,Coverage
UE10553,XYZ409,-101,4,None
UE10012,XYZ404,-109,19,Post_HO
UE10665,XYZ405,-94,12,Coverage
UE10273,XYZ407,-102,-2,Post_HO
UE10297,XYZ406,-119,-7,Coverage
UE10050,XYZ410,-113,-6,Interference
UE10499,XYZ408,-99,-2,Interference
UE10368,XYZ408,-121,2,Interference
UE10723,XYZ408,-90,-1,None
UE10655,XYZ403,-100,16,Interference
UE10356,XYZ410,-84,5,Coverage
UE10002,XYZ406,-81,19,Interference
UE10253,XYZ407,-95,2,Coverage
UE10474,XYZ409,-116,-7,Post_HO
UE10846,XYZ410,-100,10,None
UE10505,XYZ410,-104,2,Post_HO
UE10255,XYZ404,-114,10,Post_HO
UE10609,XYZ405,-94,-3,Interference
UE10684,XYZ408,-99,2,Interference
UE10149,XYZ401,-93,4,Interference
UE10487,XYZ406,-106,9,Post_HO
UE10278,XYZ404,-87,9,None
UE10058,XYZ405,-85,2,None
UE10445,XYZ405,-86,12,Post_HO
UE10112,XYZ402,-113,16,None
UE10835,XYZ408,-112,-6,Post_HO
UE10754,XYZ402,-82,11,Post_HO
UE10821,XYZ404,-86,11,None
UE10568,XYZ405,-104,17,Coverage
UE10488,XYZ401,-108,-5,Coverage
UE10406,XYZ406,-97,19,Interference
UE10366,XYZ402,-83,15,None
UE10059,XYZ405,-110,-6,Interference
UE10328,XYZ406,-91,2,Post_HO
UE10727,XYZ408,-92,18,Coverage
UE10468,XYZ409,-123,-6,None
UE10744,XYZ406,-122,14,None
UE10566,XYZ405,-121,2,None
UE10884,XYZ404,-116,13,Coverage
UE10719,XYZ402,-97,9,Interference
UE10062,XYZ402,-94,12,Coverage
UE10183,XYZ407,-95,-3,Interference
UE10310,XYZ405,-124,17,Post_HO
UE10792,XYZ407,-114,-2,Post_HO
UE10537,XYZ401,-99,10,Interference
UE10176,XYZ401,-121,8,Post_HO
UE10574,XYZ405,-89,18,Post_HO
UE10428,XYZ402,-99,9,None
UE10072,XYZ408,-103,4,None
UE10846,XYZ403,-93,15,Coverage
UE10166,XYZ401,-122,11,Coverage
UE10224,XYZ402,-105,-1,Coverage
UE10576,XYZ410,-102,0,None
UE10580,XYZ410,-82,-6,Coverage
UE10951,XYZ407,-95,-2,Coverage
UE10008,XYZ406,-82,18,None
UE10235,XYZ408,-102,0,Interference
UE10709,XYZ407,-116,16,None
UE10923,XYZ410,-124,19,Interference
UE10684,XYZ408,-95,8,None
UE10793,XYZ403,-101,-9,Coverage
UE10027,XYZ406,-122,-5,Post_HO
UE10807,XYZ407,-115,18,Post_HO
UE10910,XYZ410,-109,12,Interference
UE10645,XYZ401,-82,10,Interference
