ue_id,cell_id,rsrp,rsrq,sinr,msg_failure
UE10149,XYZ410,-92.6,-10.6,15.6,SUCCESS
UE10150,XYZ401,-115.6,-13.1,0.5,MSG3
UE10151,XYZ402,-112.1,-12.5,-4.1,MSG2
UE10152,XYZ403,-118.6,-12.4,2.8,MSG3
UE10153,XYZ404,-113.9,-12.3,3.0,MSG1
UE10154,XYZ405,-98.4,-11.9,6.9,SUCCESS
UE10155,XYZ406,-107.6,-12.3,9.0,SUCCESS
UE10156,XYZ407,-104.0,-11.5,13.3,MSG2
UE10157,XYZ408,-103.9,-9.4,13.7,MSG1
UE10158,XYZ409,-91.9,-7.3,19.3,SUCCESS
UE10159,XYZ410,-85.9,-9.0,18.6,MSG3
UE10160,XYZ401,-115.8,-12.4,6.8,SUCCESS
UE10161,XYZ402,-114.0,-11.7,4.3,MSG4
UE10162,XYZ403,-114.5,-12.4,0.1,SUCCESS
UE10163,XYZ404,-107.3,-10.6,15.2,MSG3
UE10164,XYZ405,-111.3,-11.1,6.5,SUCCESS
UE10165,XYZ406,-102.5,-9.8,9.1,SUCCESS
UE10166,XYZ407,-108.0,-11.0,4.7,SUCCESS
UE10167,XYZ408,-101.5,-10.0,13.0,SUCCESS
UE10168,XYZ409,-97.3,-8.0,21.2,SUCCESS
UE10169,XYZ410,-87.4,-6.6,19.0,SUCCESS
UE10170,XYZ401,-105.2,-13.5,3.4,MSG3
UE10171,XYZ402,-112.0,-13.5,6.3,MSG2
UE10172,XYZ403,-120.8,-13.2,8.0,SUCCESS
UE10173,XYZ404,-110.5,-11.5,8.2,MSG2
UE10174,XYZ405,-101.1,-9.3,14.1,SUCCESS
UE10175,XYZ406,-114.9,-12.4,-0.3,SUCCESS
UE10176,XYZ407,-106.2,-10.4,13.7,SUCCESS
UE10177,XYZ408,-102.0,-11.1,11.1,MSG4
UE10178,XYZ409,-92.6,-8.9,15.4,SUCCESS
UE10179,XYZ410,-89.0,-8.3,24.9,SUCCESS
UE10180,XYZ401,-108.6,-12.3,14.4,MSG2
UE10181,XYZ402,-116.3,-10.8,1.1,SUCCESS
UE10182,XYZ403,-114.5,-14.6,-8.4,MSG1
UE10183,XYZ404,-106.6,-14.5,0.7,SUCCESS
UE10184,XYZ405,-103.8,-12.0,4.5,SUCCESS
UE10185,XYZ406,-111.0,-13.1,6.8,SUCCESS
UE10186,XYZ407,-102.7,-9.8,8.3,SUCCESS
UE10187,XYZ408,-100.2,-9.3,17.2,SUCCESS
UE10188,XYZ409,-93.8,-6.4,23.1,SUCCESS
UE10189,XYZ410,-86.7,-9.1,25.0,SUCCESS
UE10190,XYZ401,-111.6,-14.7,-15.7,SUCCESS
UE10191,XYZ402,-110.0,-12.3,-2.5,MSG1
UE10192,XYZ403,-114.7,-11.3,1.4,MSG4
UE10193,XYZ404,-105.4,-14.8,-11.8,SUCCESS
UE10194,XYZ405,-110.3,-11.6,10.3,SUCCESS
UE10195,XYZ406,-103.7,-11.4,6.1,MSG1
UE10196,XYZ407,-106.4,-12.6,7.6,SUCCESS
UE10197,XYZ408,-101.6,-13.9,8.6,MSG1
UE10198,XYZ409,-88.5,-8.9,17.2,SUCCESS
UE10199,XYZ410,-87.0,-6.1,20.5,SUCCESS
UE10200,XYZ401,-115.9,-13.9,-10.7,MSG3
UE10201,XYZ402,-119.3,-13.5,-7.2,MSG2
UE10202,XYZ403,-118.7,-12.1,-4.8,MSG2
UE10203,XYZ404,-110.0,-11.1,-2.9,SUCCESS
UE10204,XYZ405,-108.5,-13.1,-5.6,SUCCESS
UE10205,XYZ406,-104.2,-11.8,10.1,SUCCESS
UE10206,XYZ407,-108.9,-12.3,9.4,SUCCESS
UE10207,XYZ408,-102.2,-9.8,11.3,SUCCESS
UE10208,XYZ409,-94.4,-7.6,17.5,SUCCESS
UE10209,XYZ410,-87.9,-8.4,21.9,SUCCESS
UE10210,XYZ401,-115.8,-14.4,-8.4,SUCCESS
UE10211,XYZ402,-109.5,-12.3,3.8,MSG3
UE10212,XYZ403,-124.4,-13.4,0.1,SUCCESS
UE10213,XYZ404,-112.5,-11.2,-8.6,MSG4
UE10214,XYZ405,-108.6,-11.2,10.8,SUCCESS
UE10215,XYZ406,-101.4,-7.5,19.7,SUCCESS
UE10216,XYZ407,-102.1,-12.0,3.5,SUCCESS
UE10217,XYZ408,-99.8,-10.0,12.3,SUCCESS
UE10218,XYZ409,-94.2,-9.1,13.3,SUCCESS
UE10219,XYZ410,-85.8,-7.3,18.2,SUCCESS
UE10220,XYZ401,-115.2,-15.8,-5.8,SUCCESS
UE10221,XYZ402,-110.6,-13.3,0.8,SUCCESS
UE10222,XYZ403,-118.9,-10.8,-3.7,MSG1
UE10223,XYZ404,-112.9,-14.2,-7.7,MSG4
UE10224,XYZ405,-108.4,-10.5,-0.6,SUCCESS
UE10225,XYZ406,-106.9,-9.6,11.3,SUCCESS
UE10226,XYZ407,-100.4,-8.6,8.1,SUCCESS
UE10227,XYZ408,-97.6,-12.9,6.6,MSG3
UE10228,XYZ409,-90.1,-9.8,15.7,SUCCESS
UE10229,XYZ410,-88.8,-7.0,26.0,SUCCESS
UE10230,XYZ401,-116.6,-13.1,-7.6,MSG4
UE10231,XYZ402,-118.0,-12.4,-0.5,MSG3
UE10232,XYZ403,-115.2,-11.9,2.8,MSG3
UE10233,XYZ404,-106.5,-12.3,0.1,SUCCESS
UE10234,XYZ405,-101.8,-10.9,11.1,MSG3
UE10235,XYZ406,-103.1,-12.5,-1.6,SUCCESS
UE10236,XYZ407,-104.0,-9.5,12.6,SUCCESS
UE10237,XYZ408,-101.4,-11.1,13.1,SUCCESS
UE10238,XYZ409,-92.4,-9.5,16.9,SUCCESS
UE10239,XYZ410,-86.3,-6.1,16.9,SUCCESS
UE10240,XYZ401,-128.2,-14.9,-3.1,MSG3
UE10241,XYZ402,-122.3,-12.8,-2.1,SUCCESS
UE10242,XYZ403,-111.3,-11.0,4.3,SUCCESS
UE10243,XYZ404,-110.3,-11.2,8.5,MSG3
UE10244,XYZ405,-111.5,-13.4,0.6,MSG1
UE10245,XYZ406,-100.6,-11.4,6.3,MSG2
UE10246,XYZ407,-100.9,-10.6,11.3,SUCCESS
UE10247,XYZ408,-98.3,-8.8,13.2,SUCCESS
UE10248,XYZ409,-89.9,-8.8,13.3,SUCCESS
UE10249,XYZ410,-89.8,-8.0,19.4,SUCCESS
UE10250,XYZ401,-118.4,-10.4,-3.0,MSG3
UE10251,XYZ402,-119.5,-12.0,2.1,SUCCESS
UE10252,XYZ403,-117.0,-12.4,-2.7,SUCCESS
UE10253,XYZ404,-113.3,-11.8,4.5,MSG3
UE10254,XYZ405,-112.1,-10.7,9.4,SUCCESS
UE10255,XYZ406,-108.2,-12.4,1.6,SUCCESS
UE10256,XYZ407,-103.7,-11.4,8.4,SUCCESS
UE10257,XYZ408,-102.1,-11.3,5.4,SUCCESS
UE10258,XYZ409,-95.1,-9.3,12.0,SUCCESS
UE10259,XYZ410,-86.5,-9.3,21.1,SUCCESS
UE10260,XYZ401,-118.2,-14.0,-5.6,SUCCESS
UE10261,XYZ402,-112.0,-14.8,-5.2,MSG4
UE10262,XYZ403,-114.3,-12.4,5.2,MSG2
UE10263,XYZ404,-108.1,-9.7,4.7,MSG4
UE10264,XYZ405,-103.8,-8.9,16.8,MSG1
UE10265,XYZ406,-103.6,-10.6,6.5,SUCCESS
UE10266,XYZ407,-106.5,-12.0,10.8,MSG1
UE10267,XYZ408,-103.7,-12.0,8.8,SUCCESS
UE10268,XYZ409,-93.4,-9.6,17.7,SUCCESS
UE10269,XYZ410,-90.1,-7.6,18.2,SUCCESS
UE10270,XYZ401,-115.1,-15.9,-18.0,SUCCESS
UE10271,XYZ402,-112.3,-13.9,-5.5,SUCCESS
UE10272,XYZ403,-120.9,-12.8,0.8,SUCCESS
UE10273,XYZ404,-109.4,-10.5,7.8,MSG4
UE10274,XYZ405,-104.2,-11.3,6.0,SUCCESS
UE10275,XYZ406,-104.8,-11.0,4.6,MSG1
UE10276,XYZ407,-110.4,-13.0,4.5,SUCCESS
UE10277,XYZ408,-97.5,-10.3,9.0,SUCCESS
UE10278,XYZ409,-95.6,-9.4,12.5,SUCCESS
UE10279,XYZ410,-88.0,-9.3,18.8,SUCCESS
UE10280,XYZ401,-129.1,-15.2,-0.1,MSG2
UE10281,XYZ402,-115.5,-15.3,-6.6,SUCCESS
UE10282,XYZ403,-110.7,-12.2,-0.9,SUCCESS
UE10283,XYZ404,-107.7,-11.2,5.8,MSG1
UE10284,XYZ405,-104.3,-10.3,6.9,MSG1
UE10285,XYZ406,-106.6,-11.5,12.7,SUCCESS
UE10286,XYZ407,-109.8,-12.7,7.5,SUCCESS
UE10287,XYZ408,-106.0,-11.2,10.3,SUCCESS
UE10288,XYZ409,-90.2,-8.9,14.2,SUCCESS
UE10289,XYZ410,-86.9,-9.1,20.9,SUCCESS
UE10290,XYZ401,-124.1,-12.8,9.5,MSG3
UE10291,XYZ402,-118.2,-11.4,8.2,MSG1
UE10292,XYZ403,-112.6,-14.6,-17.0,SUCCESS
UE10293,XYZ404,-108.4,-11.1,0.6,MSG4
UE10294,XYZ405,-108.6,-9.8,14.9,SUCCESS
UE10295,XYZ406,-108.4,-13.2,0.3,SUCCESS
UE10296,XYZ407,-101.7,-9.6,15.9,MSG4
UE10297,XYZ408,-107.7,-11.8,4.1,SUCCESS
UE10298,XYZ409,-93.2,-9.4,19.5,SUCCESS
UE10299,XYZ410,-87.6,-6.3,25.4,SUCCESS
UE10300,XYZ401,-103.5,-11.6,3.3,MSG3
UE10301,XYZ402,-123.9,-11.4,-1.2,MSG2
UE10302,XYZ403,-117.4,-14.0,-4.5,SUCCESS
UE10303,XYZ404,-116.6,-11.9,2.8,SUCCESS
UE10304,XYZ405,-111.5,-10.4,8.3,SUCCESS
UE10305,XYZ406,-108.8,-12.1,1.3,SUCCESS
UE10306,XYZ407,-107.8,-9.8,6.9,SUCCESS
UE10307,XYZ408,-105.7,-11.2,7.9,SUCCESS
UE10308,XYZ409,-92.7,-10.2,14.4,SUCCESS
UE10309,XYZ410,-84.8,-7.4,25.7,SUCCESS
UE10310,XYZ401,-115.6,-14.6,2.3,MSG4
UE10311,XYZ402,-113.9,-12.9,6.7,MSG4
UE10312,XYZ403,-113.2,-12.1,0.2,SUCCESS
UE10313,XYZ404,-115.6,-11.2,-1.9,MSG3
UE10314,XYZ405,-102.5,-11.5,0.9,SUCCESS
UE10315,XYZ406,-111.3,-12.3,6.2,SUCCESS
UE10316,XYZ407,-101.8,-11.0,10.5,SUCCESS
UE10317,XYZ408,-107.0,-10.5,7.9,SUCCESS
UE10318,XYZ409,-95.5,-9.2,12.1,SUCCESS
UE10319,XYZ410,-90.0,-7.3,22.4,SUCCESS
UE10320,XYZ401,-117.5,-14.5,1.7,SUCCESS
UE10321,XYZ402,-119.1,-13.7,5.9,SUCCESS
UE10322,XYZ403,-119.1,-14.1,-3.0,MSG2
UE10323,XYZ404,-119.2,-12.4,11.2,SUCCESS
UE10324,XYZ405,-108.5,-12.9,1.2,MSG4
UE10325,XYZ406,-102.9,-12.4,-0.1,SUCCESS
UE10326,XYZ407,-103.2,-11.5,4.3,SUCCESS
UE10327,XYZ408,-101.1,-11.7,12.4,SUCCESS
UE10328,XYZ409,-87.8,-7.8,15.6,SUCCESS
UE10329,XYZ410,-84.9,-8.8,10.2,SUCCESS
UE10330,XYZ401,-117.7,-14.7,-4.3,SUCCESS
UE10331,XYZ402,-118.4,-14.9,-1.4,MSG3
UE10332,XYZ403,-122.2,-11.3,9.5,MSG4
UE10333,XYZ404,-114.8,-14.0,1.9,SUCCESS
UE10334,XYZ405,-115.9,-11.2,8.4,SUCCESS
UE10335,XYZ406,-107.2,-12.2,4.6,SUCCESS
UE10336,XYZ407,-106.5,-12.7,6.1,SUCCESS
UE10337,XYZ408,-99.7,-11.1,11.4,SUCCESS
UE10338,XYZ409,-94.5,-9.4,18.9,SUCCESS
UE10339,XYZ410,-86.2,-9.5,22.3,SUCCESS
UE10340,XYZ401,-113.3,-15.3,-14.3,MSG2
UE10341,XYZ402,-119.0,-13.8,-0.5,SUCCESS
UE10342,XYZ403,-107.5,-12.2,3.8,MSG1
UE10343,XYZ404,-112.7,-10.8,1.1,SUCCESS
UE10344,XYZ405,-107.6,-13.1,4.6,SUCCESS
UE10345,XYZ406,-107.6,-11.1,13.4,SUCCESS
UE10346,XYZ407,-114.3,-13.1,3.4,SUCCESS
UE10347,XYZ408,-101.5,-13.5,5.5,SUCCESS
UE10348,XYZ409,-96.2,-9.9,18.0,SUCCESS
UE10349,XYZ410,-88.5,-9.6,12.5,SUCCESS
UE10350,XYZ401,-119.8,-15.2,-7.7,MSG4
UE10351,XYZ402,-117.3,-13.5,-3.6,MSG2
UE10352,XYZ403,-119.4,-12.0,-2.3,MSG3
UE10353,XYZ404,-111.2,-11.4,3.5,MSG2
UE10354,XYZ405,-99.6,-10.3,15.5,SUCCESS
UE10355,XYZ406,-106.5,-11.0,5.9,MSG1
UE10356,XYZ407,-110.1,-11.9,7.3,SUCCESS
UE10357,XYZ408,-104.2,-9.5,16.4,SUCCESS
UE10358,XYZ409,-91.0,-8.9,19.7,SUCCESS
UE10359,XYZ410,-89.6,-6.5,18.6,SUCCESS
UE10360,XYZ401,-117.6,-12.1,1.7,MSG3
UE10361,XYZ402,-111.1,-11.5,5.5,SUCCESS
UE10362,XYZ403,-114.2,-12.2,4.1,SUCCESS
UE10363,XYZ404,-117.7,-10.5,1.8,MSG3
UE10364,XYZ405,-108.8,-11.0,5.8,MSG1
UE10365,XYZ406,-102.4,-11.1,5.3,SUCCESS
UE10366,XYZ407,-99.3,-8.3,8.2,SUCCESS
UE10367,XYZ408,-106.7,-14.1,5.6,SUCCESS
UE10368,XYZ409,-96.3,-8.0,16.1,SUCCESS
UE10369,XYZ410,-83.5,-9.2,15.4,SUCCESS
UE10370,XYZ401,-116.6,-13.9,-1.6,MSG2
UE10371,XYZ402,-119.6,-12.6,3.4,MSG4
UE10372,XYZ403,-125.0,-13.1,2.3,SUCCESS
UE10373,XYZ404,-115.6,-11.9,-0.1,MSG3
UE10374,XYZ405,-107.1,-10.9,11.9,SUCCESS
UE10375,XYZ406,-106.9,-7.9,11.8,SUCCESS
UE10376,XYZ407,-106.2,-11.6,-1.9,SUCCESS
UE10377,XYZ408,-103.8,-11.9,7.0,SUCCESS
UE10378,XYZ409,-89.9,-10.2,17.6,SUCCESS
UE10379,XYZ410,-90.1,-8.8,21.0,SUCCESS
UE10380,XYZ401,-117.6,-12.5,-8.4,SUCCESS
UE10381,XYZ402,-115.7,-13.8,-4.2,SUCCESS
UE10382,XYZ403,-118.7,-11.0,2.5,SUCCESS
UE10383,XYZ404,-112.3,-13.8,-10.5,SUCCESS
UE10384,XYZ405,-96.2,-10.5,5.3,SUCCESS
UE10385,XYZ406,-110.2,-12.0,9.3,SUCCESS
UE10386,XYZ407,-102.1,-12.2,5.3,MSG3
UE10387,XYZ408,-102.7,-11.3,13.0,SUCCESS
UE10388,XYZ409,-91.5,-9.0,17.6,SUCCESS
UE10389,XYZ410,-89.3,-10.0,17.8,SUCCESS
UE10390,XYZ401,-115.7,-12.9,3.1,SUCCESS
UE10391,XYZ402,-115.5,-9.9,11.4,SUCCESS
UE10392,XYZ403,-113.0,-10.8,8.4,SUCCESS
UE10393,XYZ404,-113.8,-12.2,1.5,SUCCESS
UE10394,XYZ405,-105.7,-12.5,0.8,SUCCESS
UE10395,XYZ406,-108.1,-11.9,3.0,SUCCESS
UE10396,XYZ407,-99.7,-9.0,12.0,SUCCESS
UE10397,XYZ408,-104.0,-7.7,10.8,SUCCESS
UE10398,XYZ409,-89.4,-7.0,15.7,SUCCESS
UE10399,XYZ410,-85.7,-7.5,24.6,SUCCESS
UE10400,XYZ401,-109.9,-11.7,-11.8,SUCCESS
UE10401,XYZ402,-116.7,-11.8,1.2,SUCCESS
UE10402,XYZ403,-111.8,-10.2,6.8,SUCCESS
UE10403,XYZ404,-106.8,-9.0,7.5,SUCCESS
UE10404,XYZ405,-97.7,-9.7,0.4,SUCCESS
UE10405,XYZ406,-111.0,-11.0,12.6,SUCCESS
UE10406,XYZ407,-103.4,-9.7,14.0,MSG1
UE10407,XYZ408,-104.5,-10.4,8.0,SUCCESS
UE10408,XYZ409,-93.7,-10.3,15.3,SUCCESS
UE10409,XYZ410,-87.4,-8.6,20.2,SUCCESS
UE10410,XYZ401,-116.8,-14.7,-13.6,SUCCESS
UE10411,XYZ402,-108.7,-13.0,3.2,MSG4
UE10412,XYZ403,-119.1,-12.5,-0.0,SUCCESS
UE10413,XYZ404,-113.3,-12.1,5.7,SUCCESS
UE10414,XYZ405,-105.9,-13.1,3.2,SUCCESS
UE10415,XYZ406,-105.3,-11.2,2.4,SUCCESS
UE10416,XYZ407,-95.1,-11.5,10.0,MSG1
UE10417,XYZ408,-103.5,-11.0,10.9,SUCCESS
UE10418,XYZ409,-90.1,-10.7,12.7,SUCCESS
UE10419,XYZ410,-92.7,-7.2,19.6,SUCCESS
UE10420,XYZ401,-116.4,-12.0,-0.3,MSG3
UE10421,XYZ402,-115.3,-12.8,-1.4,SUCCESS
UE10422,XYZ403,-120.4,-11.7,-5.1,MSG4
UE10423,XYZ404,-109.0,-9.7,7.7,SUCCESS
UE10424,XYZ405,-110.0,-10.6,11.8,SUCCESS
UE10425,XYZ406,-101.7,-10.2,17.2,MSG1
UE10426,XYZ407,-103.6,-9.0,11.3,SUCCESS
UE10427,XYZ408,-100.6,-11.9,6.2,SUCCESS
UE10428,XYZ409,-91.3,-8.5,21.8,SUCCESS
UE10429,XYZ410,-90.0,-8.3,18.7,SUCCESS
UE10430,XYZ401,-126.9,-12.9,2.3,MSG2
UE10431,XYZ402,-112.1,-13.6,-6.1,MSG2
UE10432,XYZ403,-111.4,-14.6,-4.7,SUCCESS
UE10433,XYZ404,-116.8,-13.4,0.7,SUCCESS
UE10434,XYZ405,-113.1,-13.8,5.0,SUCCESS
UE10435,XYZ406,-106.2,-11.3,5.3,SUCCESS
UE10436,XYZ407,-108.5,-10.2,11.4,SUCCESS
UE10437,XYZ408,-107.5,-11.1,15.2,SUCCESS
UE10438,XYZ409,-93.2,-9.9,18.2,MSG4
UE10439,XYZ410,-82.2,-9.1,21.6,SUCCESS
