ue_id,cell_id,rsrp,sinr,failure_type
UE10998,XYZ401,-105,9,SUCCESS
UE10838,XYZ408,-100,18,SUCCESS
UE10421,XYZ409,-107,19,SUCCESS
UE10479,XYZ409,-98,15,SUCCESS
UE10578,XYZ402,-118,11,WRONG_CELL
UE10061,XYZ409,-112,22,SUCCESS
UE10108,XYZ407,-102,18,SUCCESS
UE10678,XYZ405,-78,11,SUCCESS
UE10548,XYZ407,-82,2,SUCCESS
UE10118,XYZ409,-89,-2,SUCCESS
UE10597,XYZ408,-100,13,SUCCESS
UE10381,XYZ406,-95,4,SUCCESS
UE10391,XYZ404,-94,2,SUCCESS
UE10976,XYZ401,-76,16,TOO_EARLY_HO
UE10051,XYZ406,-85,-4,SUCCESS
UE10602,XYZ403,-124,-3,WRONG_CELL
UE10288,XYZ406,-101,3,SUCCESS
UE10336,XYZ406,-82,1,SUCCESS
UE10809,XYZ404,-124,6,PING_PONG
UE10203,XYZ402,-84,18,TOO_EARLY_HO
UE10879,XYZ409,-125,16,WRONG_CELL
UE10237,XYZ402,-90,-10,SUCCESS
UE10381,XYZ403,-114,23,PING_PONG
UE10666,XYZ410,-117,-7,WRONG_CELL
UE10751,XYZ401,-90,13,TOO_EARLY_HO
UE10135,XYZ407,-85,10,PREP_FAILURE
UE10406,XYZ401,-98,22,SUCCESS
UE10507,XYZ409,-88,-4,PREP_FAILURE
UE10361,XYZ401,-93,-10,PREP_FAILURE
UE10380,XYZ405,-84,-8,SUCCESS
UE10880,XYZ407,-80,4,SUCCESS
UE10575,XYZ403,-104,20,SUCCESS
UE10634,XYZ409,-101,5,SUCCESS
UE10253,XYZ408,-108,-1,SUCCESS
UE10476,XYZ403,-120,18,WRONG_CELL
UE10113,XYZ405,-108,-5,SUCCESS
UE10019,XYZ407,-110,18,SUCCESS
UE10527,XYZ404,-111,6,SUCCESS
UE10144,XYZ405,-78,11,SUCCESS
UE10207,XYZ403,-118,13,WRONG_CELL
UE10530,XYZ409,-113,6,SUCCESS
UE10375,XYZ410,-83,10,SUCCESS
UE10503,XYZ409,-119,0,WRONG_CELL
UE10903,XYZ407,-109,-4,SUCCESS
UE10165,XYZ410,-76,-6,TOO_LATE_HO
UE10549,XYZ402,-94,10,SUCCESS
UE10180,XYZ407,-104,7,SUCCESS
UE10860,XYZ407,-113,24,SUCCESS
UE10616,XYZ405,-79,9,SUCCESS
UE10611,XYZ409,-103,4,SUCCESS
UE10601,XYZ403,-97,-6,SUCCESS
UE10926,XYZ404,-104,2,SUCCESS
UE10811,XYZ401,-125,1,XN_FAILURE
UE10443,XYZ406,-97,10,SUCCESS
UE10331,XYZ404,-78,-5,SUCCESS
UE10502,XYZ401,-121,-4,XN_FAILURE
UE10912,XYZ402,-91,15,TOO_EARLY_HO
UE10078,XYZ403,-116,-3,WRONG_CELL
UE10584,XYZ409,-107,-2,SUCCESS
UE10934,XYZ408,-89,16,TOO_EARLY_HO
UE10937,XYZ407,-119,-7,WRONG_CELL
UE10687,XYZ404,-80,10,SUCCESS
UE10395,XYZ401,-91,20,PREP_FAILURE
UE10607,XYZ408,-81,10,TOO_LATE_HO
UE10856,XYZ404,-113,14,PING_PONG
UE10102,XYZ403,-116,4,PING_PONG
UE10401,XYZ409,-124,24,WRONG_CELL
UE10974,XYZ410,-120,17,WRONG_CELL
UE10223,XYZ404,-118,3,WRONG_CELL
UE10517,XYZ404,-90,-7,SUCCESS
UE10633,XYZ409,-101,9,XN_FAILURE
UE10235,XYZ402,-82,23,TOO_EARLY_HO
UE10426,XYZ405,-79,1,PING_PONG
UE10115,XYZ404,-86,22,PREP_FAILURE
UE10162,XYZ409,-119,13,TOO_LATE_HO
UE10225,XYZ405,-80,9,XN_FAILURE
UE10229,XYZ409,-103,-6,SUCCESS
UE10181,XYZ409,-107,19,SUCCESS
UE10248,XYZ402,-80,13,TOO_EARLY_HO
UE10317,XYZ409,-104,-4,SUCCESS
UE10964,XYZ403,-113,5,SUCCESS
UE10209,XYZ404,-105,4,PREP_FAILURE
UE10655,XYZ401,-125,12,XN_FAILURE
UE10391,XYZ401,-107,1,SUCCESS
UE10856,XYZ401,-93,18,TOO_EARLY_HO
UE10095,XYZ409,-122,4,WRONG_CELL
UE10893,XYZ408,-84,18,TOO_EARLY_HO
UE10857,XYZ405,-123,10,WRONG_CELL
UE10755,XYZ405,-99,4,SUCCESS
UE10085,XYZ409,-85,3,SUCCESS
UE10414,XYZ403,-91,5,SUCCESS
UE10393,XYZ403,-98,4,SUCCESS
UE10695,XYZ407,-120,-7,WRONG_CELL
UE10632,XYZ409,-120,16,WRONG_CELL
UE10843,XYZ406,-82,12,SUCCESS
UE10500,XYZ402,-103,18,SUCCESS
UE10603,XYZ401,-93,-2,TOO_LATE_HO
UE10581,XYZ402,-110,-4,SUCCESS
UE10915,XYZ401,-102,-7,SUCCESS
UE10132,XYZ410,-121,-6,WRONG_CELL
UE10790,XYZ410,-85,-6,SUCCESS
UE10648,XYZ409,-84,0,PING_PONG
UE10313,XYZ410,-113,17,SUCCESS
UE10698,XYZ408,-79,5,SUCCESS
UE10220,XYZ407,-114,19,SUCCESS
UE10975,XYZ403,-121,-7,WRONG_CELL
UE10437,XYZ408,-89,-9,SUCCESS
UE10045,XYZ402,-95,-8,SUCCESS
UE10789,XYZ402,-98,10,SUCCESS
UE10191,XYZ410,-98,-5,SUCCESS
UE10519,XYZ403,-96,7,SUCCESS
UE10378,XYZ407,-108,-6,SUCCESS
UE10787,XYZ401,-82,-2,SUCCESS
UE10690,XYZ408,-99,9,SUCCESS
UE10333,XYZ407,-91,17,TOO_EARLY_HO
UE10038,XYZ404,-100,15,SUCCESS
UE10292,XYZ405,-87,7,SUCCESS
UE10689,XYZ410,-77,8,SUCCESS
UE10161,XYZ401,-108,-8,SUCCESS
UE10330,XYZ404,-93,-2,SUCCESS
UE10885,XYZ401,-101,20,PING_PONG
UE10103,XYZ401,-95,6,SUCCESS
UE10160,XYZ410,-89,12,SUCCESS
UE10798,XYZ401,-124,23,WRONG_CELL
UE10634,XYZ407,-93,-6,XN_FAILURE
UE10053,XYZ407,-87,4,SUCCESS
UE10939,XYZ404,-83,-8,TOO_LATE_HO
UE10033,XYZ402,-83,8,PING_PONG
UE10241,XYZ403,-94,17,TOO_EARLY_HO
UE10966,XYZ408,-108,-8,PING_PONG
UE10889,XYZ408,-109,-7,SUCCESS
UE10112,XYZ406,-92,13,PREP_FAILURE
UE10317,XYZ410,-87,20,TOO_EARLY_HO
UE10022,XYZ409,-119,0,WRONG_CELL
UE10557,XYZ409,-84,-10,SUCCESS
UE10823,XYZ404,-91,-2,SUCCESS
UE10646,XYZ401,-96,6,SUCCESS
UE10117,XYZ401,-114,-10,SUCCESS
UE10984,XYZ410,-91,-8,SUCCESS
UE10700,XYZ405,-115,15,SUCCESS
UE10642,XYZ402,-82,20,TOO_EARLY_HO
UE10933,XYZ406,-122,15,WRONG_CELL
UE10211,XYZ407,-101,12,SUCCESS
UE10417,XYZ401,-78,19,TOO_EARLY_HO
UE10112,XYZ406,-94,-1,SUCCESS
UE10043,XYZ408,-106,-3,SUCCESS
UE10127,XYZ405,-76,14,TOO_EARLY_HO
UE10875,XYZ407,-95,11,TOO_LATE_HO
UE10157,XYZ410,-122,4,WRONG_CELL
UE10784,XYZ406,-88,-1,PING_PONG
UE10826,XYZ404,-79,9,SUCCESS
UE10393,XYZ407,-125,12,WRONG_CELL
UE10866,XYZ410,-123,-10,WRONG_CELL
UE10851,XYZ409,-89,-9,PREP_FAILURE
UE10511,XYZ410,-104,8,SUCCESS
UE10913,XYZ410,-109,3,SUCCESS
UE10044,XYZ407,-112,-3,SUCCESS
UE10107,XYZ405,-85,1,SUCCESS
UE10218,XYZ407,-91,15,PREP_FAILURE
UE10442,XYZ403,-113,16,SUCCESS
UE10829,XYZ402,-91,18,TOO_EARLY_HO
UE10314,XYZ405,-83,4,SUCCESS
UE10176,XYZ404,-124,-10,WRONG_CELL
UE10227,XYZ405,-79,17,TOO_EARLY_HO
UE10702,XYZ408,-113,-8,SUCCESS
UE10982,XYZ404,-110,7,XN_FAILURE
UE10671,XYZ409,-108,23,SUCCESS
UE10905,XYZ407,-119,21,PREP_FAILURE
UE10266,XYZ410,-81,18,TOO_EARLY_HO
UE10869,XYZ407,-90,14,TOO_EARLY_HO
UE10837,XYZ408,-85,15,TOO_EARLY_HO
UE10378,XYZ406,-96,-3,SUCCESS
UE10488,XYZ408,-84,8,SUCCESS
UE10701,XYZ403,-85,11,SUCCESS
UE10686,XYZ410,-119,18,WRONG_CELL
UE10289,XYZ410,-111,22,SUCCESS
UE10995,XYZ401,-86,24,TOO_EARLY_HO
UE10356,XYZ406,-107,-8,SUCCESS
UE10656,XYZ401,-83,8,SUCCESS
UE10743,XYZ409,-89,-1,SUCCESS
UE10871,XYZ402,-124,16,WRONG_CELL
UE10949,XYZ402,-84,4,SUCCESS
UE10203,XYZ407,-78,0,PING_PONG
UE10212,XYZ402,-113,15,PREP_FAILURE
UE10551,XYZ410,-86,13,TOO_EARLY_HO
UE10786,XYZ408,-85,2,SUCCESS
UE10322,XYZ406,-83,21,TOO_EARLY_HO
UE10593,XYZ407,-83,-7,SUCCESS
UE10180,XYZ407,-95,2,SUCCESS
UE10498,XYZ406,-110,-2,SUCCESS
UE10319,XYZ410,-84,23,TOO_EARLY_HO
UE10082,XYZ409,-82,-4,SUCCESS
UE10302,XYZ409,-120,-10,WRONG_CELL
UE10261,XYZ407,-98,1,SUCCESS
UE10783,XYZ409,-94,10,SUCCESS
UE10199,XYZ410,-82,0,SUCCESS
UE10239,XYZ403,-116,3,WRONG_CELL
UE10913,XYZ403,-76,23,TOO_EARLY_HO
UE10691,XYZ401,-108,23,SUCCESS
UE10943,XYZ405,-122,14,WRONG_CELL
UE10682,XYZ404,-117,-7,WRONG_CELL
UE10294,XYZ402,-119,15,WRONG_CELL
UE10511,XYZ409,-76,5,SUCCESS
UE10688,XYZ403,-118,-1,WRONG_CELL
UE10880,XYZ408,-83,-9,PREP_FAILURE
UE10395,XYZ406,-119,24,WRONG_CELL
UE10748,XYZ405,-85,8,SUCCESS
UE10137,XYZ401,-86,-5,SUCCESS
UE10838,XYZ404,-123,8,WRONG_CELL
UE10877,XYZ403,-109,-3,SUCCESS
UE10822,XYZ401,-124,3,PING_PONG
UE10128,XYZ405,-111,-1,SUCCESS
UE10048,XYZ406,-80,-8,TOO_LATE_HO
UE10675,XYZ402,-97,18,XN_FAILURE
UE10788,XYZ403,-76,4,SUCCESS
UE10292,XYZ406,-78,12,PING_PONG
UE10627,XYZ404,-104,12,SUCCESS
UE10535,XYZ409,-122,7,WRONG_CELL
UE10310,XYZ405,-120,8,WRONG_CELL
UE10536,XYZ404,-88,17,TOO_EARLY_HO
UE10902,XYZ402,-100,15,SUCCESS
UE10638,XYZ406,-115,-1,SUCCESS
UE10233,XYZ410,-100,-7,SUCCESS
UE10208,XYZ402,-109,-9,SUCCESS
UE10604,XYZ407,-102,-8,SUCCESS
UE10093,XYZ403,-98,-4,XN_FAILURE
UE10326,XYZ409,-91,5,SUCCESS
UE10224,XYZ405,-95,20,SUCCESS
UE10966,XYZ408,-113,-1,SUCCESS
UE10889,XYZ406,-91,8,SUCCESS
UE10791,XYZ410,-110,17,SUCCESS
UE10010,XYZ408,-111,6,SUCCESS
UE10328,XYZ403,-83,17,TOO_EARLY_HO
UE10011,XYZ403,-108,8,SUCCESS
UE10034,XYZ405,-79,12,PING_PONG
UE10446,XYZ410,-89,9,SUCCESS
UE10451,XYZ403,-78,2,SUCCESS
UE10739,XYZ408,-78,2,SUCCESS
UE10219,XYZ410,-77,0,SUCCESS
UE10440,XYZ408,-85,4,SUCCESS
UE10652,XYZ402,-99,6,SUCCESS
UE10534,XYZ404,-91,17,TOO_EARLY_HO
UE10594,XYZ410,-81,8,SUCCESS
UE10228,XYZ401,-91,-7,SUCCESS
UE10934,XYZ404,-98,11,SUCCESS
UE10343,XYZ404,-87,11,SUCCESS
UE10079,XYZ410,-88,23,TOO_EARLY_HO
UE10352,XYZ409,-117,22,SUCCESS
UE10395,XYZ403,-114,22,SUCCESS
UE10289,XYZ402,-111,1,SUCCESS
UE10454,XYZ409,-105,-9,SUCCESS
UE10842,XYZ409,-91,17,TOO_EARLY_HO
UE10670,XYZ401,-84,-1,SUCCESS
UE10988,XYZ406,-93,11,SUCCESS
UE10127,XYZ410,-107,6,PING_PONG
UE10701,XYZ408,-103,15,SUCCESS
UE10908,XYZ403,-113,-8,SUCCESS
UE10542,XYZ409,-82,-4,PREP_FAILURE
UE10897,XYZ402,-125,-3,SUCCESS
UE10358,XYZ406,-97,9,SUCCESS
UE10526,XYZ401,-102,1,SUCCESS
UE10312,XYZ407,-110,24,SUCCESS
UE10074,XYZ403,-101,6,SUCCESS
UE10545,XYZ407,-103,17,SUCCESS
UE10870,XYZ404,-98,-1,SUCCESS
UE10195,XYZ409,-79,11,SUCCESS
UE10842,XYZ405,-110,22,SUCCESS
UE10028,XYZ403,-83,11,SUCCESS
UE10705,XYZ408,-88,2,SUCCESS
UE10015,XYZ406,-115,16,SUCCESS
UE10422,XYZ402,-123,4,SUCCESS
UE10588,XYZ403,-111,11,SUCCESS
UE10804,XYZ408,-125,19,SUCCESS
UE10592,XYZ410,-119,23,SUCCESS
UE10404,XYZ407,-125,23,PING_PONG
UE10939,XYZ410,-77,24,TOO_EARLY_HO
UE10635,XYZ406,-94,8,SUCCESS
UE10530,XYZ401,-117,-3,SUCCESS
UE10966,XYZ409,-97,22,SUCCESS
UE10613,XYZ403,-100,17,SUCCESS
UE10903,XYZ405,-103,14,SUCCESS
UE10076,XYZ407,-81,6,PREP_FAILURE
UE10228,XYZ407,-83,13,TOO_EARLY_HO
UE10961,XYZ403,-97,10,SUCCESS
UE10296,XYZ404,-88,-9,SUCCESS
UE10509,XYZ410,-93,20,TOO_EARLY_HO
UE10714,XYZ407,-119,22,SUCCESS
UE10983,XYZ408,-114,19,PREP_FAILURE
UE10965,XYZ402,-95,1,TOO_LATE_HO
UE10572,XYZ409,-94,1,SUCCESS
UE10537,XYZ407,-106,13,SUCCESS
UE10582,XYZ408,-109,13,PREP_FAILURE
UE10614,XYZ406,-90,0,SUCCESS
UE10978,XYZ406,-123,2,SUCCESS
UE10325,XYZ409,-125,16,SUCCESS
UE10362,XYZ404,-76,-3,SUCCESS
UE10668,XYZ405,-99,-1,SUCCESS
UE10874,XYZ409,-79,-3,PREP_FAILURE
UE10358,XYZ401,-86,9,SUCCESS
UE10705,XYZ404,-93,-3,SUCCESS
UE10786,XYZ407,-106,-2,SUCCESS
UE10323,XYZ409,-112,-4,PREP_FAILURE
UE10697,XYZ410,-90,3,SUCCESS
UE10325,XYZ406,-121,17,SUCCESS
UE10624,XYZ408,-103,-9,SUCCESS
UE10824,XYZ409,-81,-3,SUCCESS
UE10164,XYZ410,-111,2,SUCCESS
UE10572,XYZ404,-120,10,SUCCESS
UE10603,XYZ401,-93,17,TOO_EARLY_HO
UE10797,XYZ408,-107,24,XN_FAILURE
UE10454,XYZ402,-113,12,SUCCESS
UE10968,XYZ401,-97,4,SUCCESS
UE10152,XYZ407,-120,-9,SUCCESS
UE10736,XYZ410,-111,1,SUCCESS
UE10126,XYZ409,-110,-8,SUCCESS
UE10192,XYZ409,-102,-6,SUCCESS
UE10626,XYZ403,-103,-8,SUCCESS
UE10773,XYZ406,-78,8,SUCCESS
UE10529,XYZ407,-116,-9,SUCCESS
UE10009,XYZ410,-85,6,SUCCESS
UE10091,XYZ409,-85,3,SUCCESS
UE10138,XYZ402,-77,17,TOO_EARLY_HO
UE10480,XYZ408,-109,16,SUCCESS
UE10448,XYZ407,-77,-1,TOO_LATE_HO
UE10332,XYZ404,-82,-8,PREP_FAILURE
UE10868,XYZ402,-81,14,TOO_EARLY_HO
UE10339,XYZ408,-96,11,SUCCESS
UE10960,XYZ405,-82,19,TOO_EARLY_HO
UE10051,XYZ406,-80,10,SUCCESS
UE10706,XYZ407,-116,19,SUCCESS
UE10465,XYZ410,-107,17,SUCCESS
UE10717,XYZ401,-97,20,SUCCESS
UE10798,XYZ408,-124,15,SUCCESS
UE10474,XYZ404,-90,11,SUCCESS
UE10400,XYZ409,-107,10,SUCCESS
UE10438,XYZ401,-119,-10,SUCCESS
UE10877,XYZ402,-100,2,SUCCESS
UE10604,XYZ406,-111,10,SUCCESS
UE10931,XYZ410,-79,-2,SUCCESS
UE10996,XYZ401,-88,6,SUCCESS
UE10921,XYZ404,-123,10,XN_FAILURE
UE10820,XYZ408,-88,20,TOO_EARLY_HO
UE10656,XYZ410,-110,11,SUCCESS
