ue_id,cell_id,rsrp,rsrq,sinr,drop_type
UE12042,XYZ403,-111.5,-12.0,5.7,IMS
UE12043,XYZ404,-107.4,-12.1,5.2,None
UE12044,XYZ405,-109.5,-9.4,9.3,None
UE12045,XYZ406,-96.0,-10.3,14.2,IMS
UE12046,XYZ407,-106.2,-10.9,6.3,None
UE12047,XYZ408,-103.3,-11.4,7.3,None
UE12048,XYZ409,-91.8,-9.1,13.9,None
UE12049,XYZ410,-86.8,-8.2,22.7,None
UE12050,XYZ401,-120.2,-12.6,3.4,Radio
UE12051,XYZ402,-121.6,-11.9,-2.2,None
UE12052,XYZ403,-114.5,-13.8,-3.5,None
UE12053,XYZ404,-108.6,-12.2,-0.5,Radio
UE12054,XYZ405,-106.6,-10.8,13.2,None
UE12055,XYZ406,-108.9,-10.2,15.8,Mobility
UE12056,XYZ407,-103.5,-10.9,8.8,None
UE12057,XYZ408,-102.4,-10.2,6.3,None
UE12058,XYZ409,-95.3,-7.2,19.3,None
UE12059,XYZ410,-90.6,-9.2,21.4,None
UE12060,XYZ401,-120.8,-11.1,14.5,Core
UE12061,XYZ402,-114.1,-9.6,8.1,Mobility
UE12062,XYZ403,-114.1,-13.0,4.3,None
UE12063,XYZ404,-114.3,-13.6,0.6,None
UE12064,XYZ405,-114.7,-13.6,0.3,None
UE12065,XYZ406,-111.1,-9.7,9.9,Transport
UE12066,XYZ407,-103.3,-12.2,7.1,None
UE12067,XYZ408,-109.8,-8.8,15.6,None
UE12068,XYZ409,-90.2,-7.1,20.3,Radio
UE12069,XYZ410,-90.3,-8.0,19.2,None
UE12070,XYZ401,-116.3,-18.0,-11.9,Mobility
UE12071,XYZ402,-112.2,-15.4,-14.8,Radio
UE12072,XYZ403,-116.0,-14.1,1.3,IMS
UE12073,XYZ404,-109.6,-13.2,-2.5,Transport
UE12074,XYZ405,-113.3,-13.1,5.9,None
UE12075,XYZ406,-100.4,-11.0,2.1,None
UE12076,XYZ407,-103.3,-11.8,6.1,None
UE12077,XYZ408,-105.8,-10.7,3.5,None
UE12078,XYZ409,-97.0,-8.2,15.3,None
UE12079,XYZ410,-91.3,-9.2,18.2,Radio
UE12080,XYZ401,-117.5,-12.4,-6.7,Radio
UE12081,XYZ402,-116.7,-14.3,-2.5,None
UE12082,XYZ403,-119.0,-13.7,1.0,None
UE12083,XYZ404,-120.1,-13.1,3.0,None
UE12084,XYZ405,-101.1,-11.3,4.0,IMS
UE12085,XYZ406,-112.8,-12.0,3.6,None
UE12086,XYZ407,-101.7,-9.6,8.7,None
UE12087,XYZ408,-102.4,-11.9,13.2,None
UE12088,XYZ409,-86.7,-8.5,14.6,None
UE12089,XYZ410,-86.0,-8.5,21.4,None
UE12090,XYZ401,-120.1,-13.3,-0.4,IMS
UE12091,XYZ402,-112.0,-12.7,2.3,Core
UE12092,XYZ403,-114.4,-13.5,-13.4,Core
UE12093,XYZ404,-119.9,-11.4,14.1,None
UE12094,XYZ405,-104.4,-14.3,0.7,None
UE12095,XYZ406,-101.5,-11.4,3.5,Radio
UE12096,XYZ407,-105.2,-12.9,1.8,None
UE12097,XYZ408,-105.0,-13.7,5.5,None
UE12098,XYZ409,-93.6,-9.1,15.9,None
UE12099,XYZ410,-84.2,-6.6,23.4,None
UE12100,XYZ401,-106.4,-12.9,1.5,Transport
UE12101,XYZ402,-119.9,-15.2,-7.7,None
UE12102,XYZ403,-123.8,-15.3,-13.7,Core
UE12103,XYZ404,-119.0,-10.2,3.4,Mobility
UE12104,XYZ405,-100.6,-10.3,10.7,None
UE12105,XYZ406,-98.9,-13.0,-3.4,None
UE12106,XYZ407,-103.4,-10.4,14.0,None
UE12107,XYZ408,-109.0,-10.6,16.6,None
UE12108,XYZ409,-91.8,-9.4,16.1,None
UE12109,XYZ410,-89.6,-9.7,20.0,None
UE12110,XYZ401,-121.0,-12.5,5.2,Mobility
UE12111,XYZ402,-120.7,-12.4,6.9,None
UE12112,XYZ403,-117.2,-16.0,-7.8,None
UE12113,XYZ404,-122.1,-13.3,7.2,None
UE12114,XYZ405,-104.1,-12.5,13.6,Mobility
UE12115,XYZ406,-101.6,-9.5,5.6,None
UE12116,XYZ407,-101.3,-10.4,14.0,None
UE12117,XYZ408,-104.7,-10.4,5.3,None
UE12118,XYZ409,-90.4,-9.4,14.9,None
UE12119,XYZ410,-85.9,-7.1,24.8,None
UE12120,XYZ401,-125.9,-16.1,-18.1,Mobility
UE12121,XYZ402,-107.1,-11.0,3.7,IMS
UE12122,XYZ403,-115.6,-12.9,-2.6,None
UE12123,XYZ404,-115.9,-11.0,6.9,None
UE12124,XYZ405,-107.9,-12.0,14.3,None
UE12125,XYZ406,-104.9,-13.5,1.7,None
UE12126,XYZ407,-104.4,-11.9,8.8,None
UE12127,XYZ408,-102.8,-12.9,7.3,None
UE12128,XYZ409,-91.2,-9.3,18.2,None
UE12129,XYZ410,-87.3,-9.8,13.2,None
UE12130,XYZ401,-125.6,-11.9,9.6,Mobility
UE12131,XYZ402,-108.4,-15.4,-1.2,Radio
UE12132,XYZ403,-119.5,-8.0,8.1,None
UE12133,XYZ404,-116.2,-13.5,-3.0,Radio
UE12134,XYZ405,-107.0,-12.0,13.6,None
UE12135,XYZ406,-112.1,-10.2,12.7,None
UE12136,XYZ407,-102.5,-9.7,10.4,None
UE12137,XYZ408,-101.6,-9.7,8.6,Transport
UE12138,XYZ409,-88.4,-7.1,19.9,None
UE12139,XYZ410,-88.6,-7.8,18.0,None
UE12140,XYZ401,-131.9,-15.9,-10.2,Mobility
UE12141,XYZ402,-117.8,-12.8,5.9,None
UE12142,XYZ403,-114.7,-11.5,5.7,None
UE12143,XYZ404,-110.4,-12.2,-0.6,None
UE12144,XYZ405,-106.0,-11.6,0.8,None
UE12145,XYZ406,-109.0,-11.6,13.2,None
UE12146,XYZ407,-101.7,-10.2,11.6,Radio
UE12147,XYZ408,-100.9,-11.5,10.6,None
UE12148,XYZ409,-93.1,-8.9,13.3,None
UE12149,XYZ410,-87.8,-6.1,21.7,Radio
UE12150,XYZ401,-122.7,-11.8,0.1,Transport
UE12151,XYZ402,-121.4,-14.3,-3.0,None
UE12152,XYZ403,-119.6,-16.5,-9.3,None
UE12153,XYZ404,-112.3,-13.4,-7.4,IMS
UE12154,XYZ405,-102.5,-12.3,-2.9,None
UE12155,XYZ406,-106.1,-9.8,12.1,None
UE12156,XYZ407,-110.3,-9.9,12.3,None
UE12157,XYZ408,-105.4,-10.8,5.1,None
UE12158,XYZ409,-90.8,-9.9,12.3,None
UE12159,XYZ410,-87.5,-9.4,20.4,None
UE12160,XYZ401,-126.0,-15.3,-15.8,Mobility
UE12161,XYZ402,-113.3,-11.8,0.6,Radio
UE12162,XYZ403,-119.0,-13.7,-6.9,None
UE12163,XYZ404,-110.6,-10.9,6.1,IMS
UE12164,XYZ405,-114.7,-12.9,8.6,None
UE12165,XYZ406,-109.6,-8.7,10.1,None
UE12166,XYZ407,-103.2,-8.4,13.7,None
UE12167,XYZ408,-99.5,-9.3,12.5,None
UE12168,XYZ409,-91.6,-12.1,13.9,None
UE12169,XYZ410,-90.0,-9.2,18.1,None
UE12170,XYZ401,-116.2,-15.2,-16.9,Mobility
UE12171,XYZ402,-115.0,-14.5,-0.6,IMS
UE12172,XYZ403,-108.9,-11.9,-5.3,IMS
UE12173,XYZ404,-111.7,-12.9,2.8,Transport
UE12174,XYZ405,-106.1,-11.6,3.7,None
UE12175,XYZ406,-102.2,-11.1,2.4,Core
UE12176,XYZ407,-102.3,-8.8,16.3,None
UE12177,XYZ408,-94.3,-11.4,6.7,None
UE12178,XYZ409,-90.5,-8.9,15.3,None
UE12179,XYZ410,-87.8,-10.1,17.3,None
UE12180,XYZ401,-110.9,-8.1,21.5,Mobility
UE12181,XYZ402,-119.7,-11.1,5.2,None
UE12182,XYZ403,-114.1,-10.1,17.6,None
UE12183,XYZ404,-116.7,-12.6,-2.8,IMS
UE12184,XYZ405,-105.8,-11.5,5.8,None
UE12185,XYZ406,-106.9,-8.5,8.3,None
UE12186,XYZ407,-108.4,-11.6,9.4,Core
UE12187,XYZ408,-102.0,-12.7,9.7,None
UE12188,XYZ409,-91.2,-8.7,14.5,None
UE12189,XYZ410,-87.0,-8.1,23.4,None
UE12190,XYZ401,-115.9,-10.2,14.1,Mobility
UE12191,XYZ402,-124.1,-12.2,4.1,None
UE12192,XYZ403,-115.1,-12.8,4.2,Mobility
UE12193,XYZ404,-116.5,-11.5,-0.4,None
UE12194,XYZ405,-109.8,-12.7,0.7,None
UE12195,XYZ406,-109.1,-11.7,4.4,None
UE12196,XYZ407,-106.0,-10.1,11.1,IMS
UE12197,XYZ408,-104.9,-11.2,6.4,None
UE12198,XYZ409,-93.8,-8.9,16.0,None
UE12199,XYZ410,-84.2,-6.6,25.0,None
UE12200,XYZ401,-108.0,-13.3,-9.8,Mobility
UE12201,XYZ402,-105.0,-11.5,3.4,Radio
UE12202,XYZ403,-129.4,-13.8,-9.6,Mobility
UE12203,XYZ404,-111.8,-14.3,-8.9,None
UE12204,XYZ405,-108.5,-10.7,16.9,Radio
UE12205,XYZ406,-107.2,-9.8,5.1,None
UE12206,XYZ407,-106.5,-11.3,2.2,None
UE12207,XYZ408,-98.2,-10.8,9.6,None
UE12208,XYZ409,-89.3,-9.9,13.3,None
UE12209,XYZ410,-89.2,-7.8,17.0,None
UE12210,XYZ401,-115.8,-11.2,11.5,Mobility
UE12211,XYZ402,-113.8,-9.6,11.6,Mobility
UE12212,XYZ403,-113.7,-11.9,0.1,None
UE12213,XYZ404,-111.0,-12.6,2.4,None
UE12214,XYZ405,-106.6,-11.6,0.8,None
UE12215,XYZ406,-106.2,-11.7,3.8,None
UE12216,XYZ407,-106.2,-12.0,5.5,Radio
UE12217,XYZ408,-97.5,-9.3,10.5,None
UE12218,XYZ409,-95.2,-9.9,14.9,None
UE12219,XYZ410,-84.6,-9.3,15.6,None
UE12220,XYZ401,-123.1,-12.9,-0.7,Radio
UE12221,XYZ402,-113.7,-14.8,-6.8,None
UE12222,XYZ403,-115.2,-14.5,-14.3,None
UE12223,XYZ404,-113.6,-10.5,-3.0,None
UE12224,XYZ405,-114.5,-12.3,6.5,None
UE12225,XYZ406,-111.9,-10.4,12.1,None
UE12226,XYZ407,-110.1,-13.1,6.2,None
UE12227,XYZ408,-100.8,-10.2,8.0,None
UE12228,XYZ409,-92.0,-9.3,14.4,None
UE12229,XYZ410,-84.6,-7.9,18.5,None
UE12230,XYZ401,-117.2,-10.2,13.5,Mobility
UE12231,XYZ402,-120.0,-11.7,3.2,None
UE12232,XYZ403,-118.6,-11.7,6.0,None
UE12233,XYZ404,-109.7,-11.5,-2.8,Radio
UE12234,XYZ405,-109.5,-11.8,4.1,None
UE12235,XYZ406,-106.3,-11.0,5.9,None
UE12236,XYZ407,-109.3,-10.6,7.0,None
UE12237,XYZ408,-102.3,-13.2,8.2,None
UE12238,XYZ409,-92.2,-9.0,20.8,None
UE12239,XYZ410,-88.6,-9.3,15.8,None
UE12240,XYZ401,-117.0,-12.2,4.9,Transport
UE12241,XYZ402,-119.3,-13.5,-12.9,None
UE12242,XYZ403,-116.1,-12.0,0.4,None
UE12243,XYZ404,-104.2,-10.9,14.0,None
UE12244,XYZ405,-108.2,-10.5,2.0,None
UE12245,XYZ406,-114.6,-9.8,15.4,None
UE12246,XYZ407,-102.8,-8.3,7.2,None
UE12247,XYZ408,-105.7,-13.3,3.6,None
UE12248,XYZ409,-95.7,-11.1,16.6,None
UE12249,XYZ410,-85.1,-10.2,20.5,None
UE12250,XYZ401,-125.8,-14.7,-8.4,Radio
UE12251,XYZ402,-113.2,-10.9,-1.1,Transport
UE12252,XYZ403,-116.4,-15.0,-2.3,Transport
UE12253,XYZ404,-104.5,-14.6,-4.2,None
UE12254,XYZ405,-109.6,-10.2,12.7,None
UE12255,XYZ406,-102.6,-11.3,5.8,Radio
UE12256,XYZ407,-105.3,-11.9,7.0,None
UE12257,XYZ408,-94.9,-10.5,11.9,None
UE12258,XYZ409,-94.4,-7.7,12.9,None
UE12259,XYZ410,-87.6,-7.6,26.5,None
UE12260,XYZ401,-117.2,-13.4,6.9,Mobility
UE12261,XYZ402,-119.8,-12.8,-12.4,None
UE12262,XYZ403,-104.9,-12.6,-5.6,None
UE12263,XYZ404,-113.4,-11.8,5.0,Radio
UE12264,XYZ405,-112.0,-11.4,15.5,Mobility
UE12265,XYZ406,-100.0,-9.2,8.8,None
UE12266,XYZ407,-105.4,-11.7,11.2,None
UE12267,XYZ408,-108.9,-10.9,9.8,None
UE12268,XYZ409,-92.4,-9.0,11.6,None
UE12269,XYZ410,-89.2,-8.6,18.7,None
UE12270,XYZ401,-114.1,-10.8,8.5,Radio
UE12271,XYZ402,-106.2,-11.5,5.6,Mobility
UE12272,XYZ403,-114.9,-11.6,-3.9,None
UE12273,XYZ404,-113.7,-12.0,4.2,None
UE12274,XYZ405,-112.4,-11.0,12.4,Transport
UE12275,XYZ406,-105.9,-10.6,11.4,IMS
UE12276,XYZ407,-103.1,-10.3,10.8,None
UE12277,XYZ408,-102.2,-10.8,13.2,IMS
UE12278,XYZ409,-92.1,-8.1,23.0,None
UE12279,XYZ410,-89.5,-8.1,19.9,Radio
UE12280,XYZ401,-113.0,-14.3,-8.2,Mobility
UE12281,XYZ402,-119.9,-15.5,-4.2,None
UE12282,XYZ403,-123.5,-10.8,15.0,Radio
UE12283,XYZ404,-112.7,-12.5,-2.7,None
UE12284,XYZ405,-111.6,-12.5,3.2,IMS
UE12285,XYZ406,-102.8,-11.5,-1.4,Core
UE12286,XYZ407,-105.6,-10.4,11.1,None
UE12287,XYZ408,-103.4,-10.9,6.1,None
UE12288,XYZ409,-91.9,-9.9,18.0,None
UE12289,XYZ410,-90.5,-7.5,20.1,None
UE12290,XYZ401,-119.7,-13.5,-5.7,Transport
UE12291,XYZ402,-103.9,-9.7,9.1,Transport
UE12292,XYZ403,-116.2,-12.7,-3.5,Transport
UE12293,XYZ404,-112.7,-14.7,3.4,None
UE12294,XYZ405,-102.9,-11.5,7.3,None
UE12295,XYZ406,-104.7,-14.7,-2.3,None
UE12296,XYZ407,-102.8,-10.2,14.4,None
UE12297,XYZ408,-103.4,-8.9,19.1,IMS
UE12298,XYZ409,-91.1,-9.1,13.8,None
UE12299,XYZ410,-87.0,-9.2,20.5,None
UE12300,XYZ401,-118.9,-14.1,-4.9,Radio
UE12301,XYZ402,-118.2,-13.9,-0.4,None
UE12302,XYZ403,-120.4,-14.6,-11.8,None
UE12303,XYZ404,-114.8,-10.6,7.3,Core
UE12304,XYZ405,-113.6,-11.7,11.6,None
UE12305,XYZ406,-107.7,-9.1,8.0,None
UE12306,XYZ407,-113.7,-10.9,6.0,Radio
UE12307,XYZ408,-100.0,-10.0,8.7,None
UE12308,XYZ409,-86.6,-8.4,14.2,None
UE12309,XYZ410,-88.2,-10.8,15.0,None
UE12310,XYZ401,-105.8,-12.3,-3.1,Mobility
UE12311,XYZ402,-122.8,-14.2,2.3,None
UE12312,XYZ403,-109.0,-11.8,-4.3,None
UE12313,XYZ404,-114.2,-9.8,14.1,Mobility
UE12314,XYZ405,-110.7,-10.6,9.5,None
UE12315,XYZ406,-106.7,-10.5,3.1,None
UE12316,XYZ407,-104.4,-12.1,4.7,Mobility
UE12317,XYZ408,-104.1,-12.2,5.4,None
UE12318,XYZ409,-90.1,-8.0,15.4,None
UE12319,XYZ410,-87.7,-9.4,14.4,None
UE12320,XYZ401,-115.1,-13.1,-3.2,Radio
UE12321,XYZ402,-120.0,-12.1,0.1,None
UE12322,XYZ403,-123.3,-14.7,-1.5,None
UE12323,XYZ404,-113.3,-9.2,20.9,IMS
UE12324,XYZ405,-111.5,-11.1,15.8,None
UE12325,XYZ406,-102.8,-11.4,8.9,None
UE12326,XYZ407,-105.4,-10.5,7.9,None
UE12327,XYZ408,-103.8,-9.8,10.3,None
UE12328,XYZ409,-91.9,-10.2,20.8,Radio
UE12329,XYZ410,-86.0,-8.8,20.2,None
UE12330,XYZ401,-119.5,-13.4,-13.4,Mobility
UE12331,XYZ402,-112.7,-12.1,3.4,None
UE12332,XYZ403,-105.5,-11.8,-3.6,None
UE12333,XYZ404,-108.7,-11.7,5.0,None
UE12334,XYZ405,-101.2,-8.0,8.8,Core
UE12335,XYZ406,-100.4,-11.5,6.5,None
UE12336,XYZ407,-104.3,-10.7,5.4,None
UE12337,XYZ408,-105.0,-10.1,4.6,None
UE12338,XYZ409,-94.4,-11.0,19.0,None
UE12339,XYZ410,-88.6,-9.6,19.5,None
UE12340,XYZ401,-121.6,-15.9,-13.3,Core
UE12341,XYZ402,-118.9,-12.9,9.4,None
UE12342,XYZ403,-114.3,-14.7,-11.6,Transport
UE12343,XYZ404,-111.0,-12.9,-1.2,Radio
UE12344,XYZ405,-103.8,-11.5,6.1,Transport
UE12345,XYZ406,-104.1,-8.4,6.5,None
UE12346,XYZ407,-106.3,-12.4,6.6,Mobility
UE12347,XYZ408,-104.9,-12.5,8.6,None
UE12348,XYZ409,-94.7,-7.1,14.4,None
UE12349,XYZ410,-88.7,-8.7,21.0,None
UE12350,XYZ401,-111.9,-13.0,-0.7,Radio
UE12351,XYZ402,-120.2,-10.2,14.0,None
UE12352,XYZ403,-110.7,-11.2,0.5,None
UE12353,XYZ404,-107.0,-11.8,5.3,None
UE12354,XYZ405,-109.9,-12.0,9.8,None
UE12355,XYZ406,-113.6,-10.8,14.7,None
UE12356,XYZ407,-105.0,-9.7,4.0,None
UE12357,XYZ408,-99.8,-8.6,9.2,IMS
UE12358,XYZ409,-91.9,-9.4,23.3,None
UE12359,XYZ410,-89.6,-8.0,22.0,None
UE12360,XYZ401,-105.8,-11.7,4.2,Mobility
UE12361,XYZ402,-114.8,-11.3,2.4,IMS
UE12362,XYZ403,-107.2,-15.3,-8.0,None
UE12363,XYZ404,-108.6,-15.1,-0.2,Mobility
UE12364,XYZ405,-102.5,-8.8,5.4,Mobility
UE12365,XYZ406,-98.9,-8.0,15.0,None
UE12366,XYZ407,-104.8,-12.0,5.7,None
UE12367,XYZ408,-99.7,-9.8,14.0,None
UE12368,XYZ409,-94.7,-10.1,15.7,Radio
UE12369,XYZ410,-88.1,-8.3,21.6,Radio
UE12370,XYZ401,-113.0,-13.9,-2.7,IMS
UE12371,XYZ402,-121.3,-13.5,0.0,Core
UE12372,XYZ403,-118.5,-13.2,-1.8,None
UE12373,XYZ404,-118.6,-11.9,2.5,None
UE12374,XYZ405,-108.0,-11.7,3.7,None
UE12375,XYZ406,-108.3,-11.4,13.1,None
UE12376,XYZ407,-105.2,-10.7,9.1,None
UE12377,XYZ408,-101.0,-12.1,3.9,Radio
UE12378,XYZ409,-91.3,-9.6,18.6,None
UE12379,XYZ410,-90.3,-7.0,22.8,None
UE12380,XYZ401,-110.1,-10.0,11.9,IMS
UE12381,XYZ402,-119.6,-11.0,2.1,None
UE12382,XYZ403,-116.0,-15.6,-6.9,Radio
UE12383,XYZ404,-112.3,-11.6,0.4,None
UE12384,XYZ405,-109.4,-12.0,9.0,None
UE12385,XYZ406,-100.2,-10.1,9.7,None
UE12386,XYZ407,-103.9,-10.6,6.4,None
UE12387,XYZ408,-101.8,-11.3,8.4,None
UE12388,XYZ409,-90.0,-10.3,19.5,Radio
UE12389,XYZ410,-89.4,-5.9,22.1,None
UE12390,XYZ401,-118.7,-16.6,-13.6,IMS
UE12391,XYZ402,-114.7,-10.9,9.5,Core
UE12392,XYZ403,-121.0,-15.9,-0.2,None
UE12393,XYZ404,-117.5,-10.8,7.4,None
UE12394,XYZ405,-106.7,-11.5,1.1,Core
UE12395,XYZ406,-104.0,-10.4,6.7,None
UE12396,XYZ407,-102.0,-13.2,4.1,None
UE12397,XYZ408,-96.7,-8.1,4.7,None
UE12398,XYZ409,-94.3,-10.4,14.3,None
UE12399,XYZ410,-89.2,-11.4,19.6,None
UE12400,XYZ401,-111.7,-14.2,-12.9,Mobility
UE12401,XYZ402,-109.4,-11.3,12.9,IMS
UE12402,XYZ403,-116.0,-12.4,0.6,None
UE12403,XYZ404,-107.5,-12.7,-3.1,Radio
UE12404,XYZ405,-111.3,-11.8,7.4,None
UE12405,XYZ406,-101.1,-11.0,11.5,None
UE12406,XYZ407,-106.5,-12.4,3.1,None
UE12407,XYZ408,-102.4,-12.4,11.8,None
UE12408,XYZ409,-87.0,-8.5,20.8,None
UE12409,XYZ410,-88.6,-8.8,18.9,None
UE12410,XYZ401,-120.4,-12.7,-3.1,Mobility
UE12411,XYZ402,-118.9,-11.7,-1.2,None
UE12412,XYZ403,-121.6,-14.0,-5.6,None
UE12413,XYZ404,-109.7,-13.7,-0.6,Mobility
UE12414,XYZ405,-107.3,-10.4,-0.4,Mobility
UE12415,XYZ406,-98.1,-9.0,19.4,None
UE12416,XYZ407,-99.2,-9.8,6.5,IMS
UE12417,XYZ408,-103.6,-10.5,17.1,None
UE12418,XYZ409,-95.4,-11.2,12.6,None
UE12419,XYZ410,-88.4,-8.6,22.2,None
UE12420,XYZ401,-117.3,-14.5,-7.9,Transport
UE12421,XYZ402,-118.7,-12.6,-11.6,None
UE12422,XYZ403,-114.4,-14.2,-3.2,Mobility
UE12423,XYZ404,-113.5,-11.1,4.2,None
UE12424,XYZ405,-104.8,-11.6,-1.5,None
UE12425,XYZ406,-111.1,-11.7,7.5,IMS
UE12426,XYZ407,-106.0,-11.6,2.9,None
UE12427,XYZ408,-106.5,-10.8,5.5,None
UE12428,XYZ409,-88.6,-6.5,19.5,None
UE12429,XYZ410,-86.4,-6.8,21.5,None
UE12430,XYZ401,-108.1,-13.5,1.0,Radio
UE12431,XYZ402,-111.6,-10.6,2.5,Core
UE12432,XYZ403,-118.1,-12.8,4.8,Core
UE12433,XYZ404,-108.7,-13.1,-5.8,Mobility
UE12434,XYZ405,-102.5,-11.5,-0.1,None
UE12435,XYZ406,-112.7,-11.5,9.5,None
UE12436,XYZ407,-106.1,-9.6,8.0,None
UE12437,XYZ408,-107.9,-9.6,9.0,Radio
UE12438,XYZ409,-87.8,-9.0,19.4,None
UE12439,XYZ410,-87.6,-6.9,23.3,None
UE12440,XYZ401,-117.8,-13.9,-9.1,Radio
UE12441,XYZ402,-118.4,-14.6,-0.4,None
UE12442,XYZ403,-115.4,-9.9,15.0,None
UE12443,XYZ404,-111.0,-14.1,0.7,None
UE12444,XYZ405,-111.4,-10.0,3.5,IMS
UE12445,XYZ406,-106.7,-12.2,-1.8,None
UE12446,XYZ407,-105.7,-10.7,6.8,None
UE12447,XYZ408,-104.5,-9.3,9.8,None
UE12448,XYZ409,-85.4,-8.3,15.3,None
UE12449,XYZ410,-88.7,-7.4,23.3,None
UE12450,XYZ401,-121.7,-13.3,-8.9,Mobility
UE12451,XYZ402,-113.0,-10.7,1.8,None
UE12452,XYZ403,-116.6,-10.4,15.5,None
UE12453,XYZ404,-110.5,-12.9,-1.1,Transport
UE12454,XYZ405,-101.6,-11.9,3.6,Transport
UE12455,XYZ406,-97.5,-7.7,13.6,None
UE12456,XYZ407,-102.7,-11.7,7.9,None
UE12457,XYZ408,-102.1,-9.5,6.5,None
UE12458,XYZ409,-89.0,-7.8,14.5,None
UE12459,XYZ410,-89.1,-8.8,18.7,None
UE12460,XYZ401,-123.9,-11.1,3.9,Radio
UE12461,XYZ402,-110.7,-11.8,6.9,Transport
UE12462,XYZ403,-118.9,-13.9,-5.2,Core
UE12463,XYZ404,-120.7,-12.1,2.6,None
UE12464,XYZ405,-109.0,-13.4,2.0,None
UE12465,XYZ406,-102.9,-9.1,16.0,None
UE12466,XYZ407,-109.5,-10.0,9.8,IMS
UE12467,XYZ408,-105.7,-11.6,6.7,None
UE12468,XYZ409,-95.7,-9.9,14.2,None
UE12469,XYZ410,-88.6,-6.8,22.6,None
UE12470,XYZ401,-119.8,-15.9,-26.5,Transport
UE12471,XYZ402,-117.0,-12.0,1.7,Transport
UE12472,XYZ403,-110.8,-11.8,3.2,None
UE12473,XYZ404,-125.4,-14.2,-2.1,None
UE12474,XYZ405,-106.9,-12.8,-5.1,None
UE12475,XYZ406,-106.4,-11.5,-0.9,None
UE12476,XYZ407,-106.3,-9.3,3.9,None
UE12477,XYZ408,-97.4,-9.4,11.9,Radio
UE12478,XYZ409,-96.4,-11.2,17.1,None
UE12479,XYZ410,-85.0,-10.1,21.2,None
UE12480,XYZ401,-114.8,-14.0,-5.1,Radio
UE12481,XYZ402,-112.2,-9.6,10.3,None
UE12482,XYZ403,-127.5,-13.0,-1.1,Radio
UE12483,XYZ404,-117.5,-12.1,0.2,None
UE12484,XYZ405,-106.1,-12.2,5.4,None
UE12485,XYZ406,-110.7,-10.1,3.9,None
UE12486,XYZ407,-105.5,-12.3,13.5,Mobility
UE12487,XYZ408,-103.0,-10.8,13.2,Transport
UE12488,XYZ409,-92.7,-8.4,12.9,None
UE12489,XYZ410,-85.6,-8.5,25.0,None
UE12490,XYZ401,-113.9,-13.3,-4.0,Mobility
UE12491,XYZ402,-100.8,-13.5,1.3,Core
UE12492,XYZ403,-109.0,-12.9,2.1,None
UE12493,XYZ404,-113.1,-12.5,0.6,Radio
UE12494,XYZ405,-105.9,-11.9,2.8,None
UE12495,XYZ406,-103.8,-11.4,5.6,None
UE12496,XYZ407,-105.2,-12.0,4.4,None
UE12497,XYZ408,-102.0,-9.1,15.2,None
UE12498,XYZ409,-85.9,-8.3,14.1,None
