ue_id,cell_id,rsrp,sinr,failure_type,timestamp,source_cell,target_cell,serving_rsrp,target_rsrp,serving_sinr,target_sinr,serving_rsrq,target_rsrq,event_type,measurement_event,ho_type,failure_stage,speed_kmph,beam_id,beam_id_target,pci_source,pci_target,time_to_trigger_ms,hysteresis_db,xn_latency_ms,packet_loss_pct,t310_expiry,rlf_detected,result,neighbor_relation_status,missing_neighbor,rca_scenarios
UE10348,XYZ401,-79.0,1.0,SUCCESS,2026-07-01T08:08:09+00:00,XYZ401,XYZ403,-79.0,-75.0,1.0,0.0,-96.0,-93.0,HANDOVER,A3,INTRA_NR,SUCCESS,36.0,3,3,101,103,40,0.0,27.0,0.1,False,False,SUCCESS,MISSING,True,missing_neighbor
UE10224,XYZ402,-108.0,9.0,SUCCESS,2026-07-01T08:08:38+00:00,XYZ402,XYZ403,-108.0,-104.0,9.0,8.0,-117.0,-114.0,HANDOVER,A3,INTRA_NR,SUCCESS,40.0,1,1,102,103,80,1.0,39.0,0.2,False,False,SUCCESS,ACTIVE,False,
UE10713,XYZ407,-87.0,-4.0,SUCCESS,2026-07-01T08:10:34+00:00,XYZ407,XYZ408,-87.0,-81.0,-4.0,-3.0,-109.0,-102.0,HANDOVER,A3,INTRA_NR,SUCCESS,37.0,6,6,107,108,160,2.0,31.0,0.35,False,False,SUCCESS,ACTIVE,False,
UE10737,XYZ410,-110.0,3.0,SUCCESS,2026-07-01T08:11:03+00:00,XYZ410,XYZ409,-110.0,-105.0,3.0,3.0,-125.0,-120.0,HANDOVER,A3,INTRA_NR,SUCCESS,34.0,6,6,110,109,120,2.0,35.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10235,XYZ406,-110.0,0.0,TOO_LATE_HO,2026-07-01T08:08:47+00:00,XYZ406,XYZ405,-110.0,-120.0,0.0,-4.0,-128.0,-142.0,HANDOVER,A5,INTRA_NR,HO_DECISION,21.0,4,6,106,105,120,1.0,53.0,0.2,True,True,FAILURE,ACTIVE,False,too_late_handover|mobility_configuration_issue|post_ho_rlf|coverage_induced_ho_failure
UE10182,XYZ404,-79.0,-4.0,PREP_FAILURE,2026-07-01T08:12:54+00:00,XYZ404,XYZ402,-79.0,-89.0,-4.0,-8.0,-101.0,-115.0,HANDOVER,A3,INTRA_NR,HO_PREPARATION,44.0,1,8,104,102,40,2.0,34.0,2.8,False,False,FAILURE,MISSING,True,handover_preparation_failure|missing_neighbor|interference_induced_ho_failure
UE10711,XYZ401,-88.0,18.0,PING_PONG,2026-07-01T08:11:28+00:00,XYZ401,XYZ403,-88.0,-89.0,18.0,15.0,-91.0,-92.0,HANDOVER,A3,INTRA_NR,POST_HO,56.0,1,7,101,103,40,0.0,47.0,2.7,True,True,FAILURE,MISSING,True,ping_pong_handover|mobility_configuration_issue|missing_neighbor|post_ho_rlf|beam_instability
UE10868,XYZ401,-85.0,-1.0,SUCCESS,2026-07-01T08:12:59+00:00,XYZ401,XYZ402,-85.0,-82.0,-1.0,0.0,-104.0,-100.0,HANDOVER,A3,INTRA_NR,SUCCESS,29.0,3,3,101,102,40,0.0,19.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10757,XYZ405,-119.0,18.0,PING_PONG,2026-07-01T08:11:46+00:00,XYZ405,XYZ404,-119.0,-118.0,18.0,15.0,-122.0,-121.0,HANDOVER,A3,INTRA_NR,POST_HO,56.0,3,6,105,104,80,0.0,59.0,1.2,True,True,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|coverage_induced_ho_failure|beam_instability
UE10443,XYZ401,-112.0,-2.0,PREP_FAILURE,2026-07-01T08:14:26+00:00,XYZ401,XYZ403,-112.0,-123.0,-2.0,-4.0,-132.0,-145.0,HANDOVER,A3,INTRA_NR,HO_PREPARATION,49.0,3,1,101,103,40,0.0,110.0,7.1,False,False,FAILURE,MISSING,True,handover_preparation_failure|missing_neighbor|xn_transport_failure|coverage_induced_ho_failure|interference_induced_ho_failure
UE10864,XYZ407,-83.0,-1.0,PREP_FAILURE,2026-07-01T08:16:26+00:00,XYZ407,XYZ408,-83.0,-101.0,-1.0,-4.0,-102.0,-123.0,HANDOVER,A3,INTRA_NR,HO_PREPARATION,39.0,4,6,107,108,160,2.0,51.0,7.7,False,False,FAILURE,ACTIVE,False,handover_preparation_failure|interference_induced_ho_failure
UE10622,XYZ401,-78.0,8.0,SUCCESS,2026-07-01T08:17:34+00:00,XYZ401,XYZ403,-78.0,-76.0,8.0,9.0,-88.0,-85.0,HANDOVER,A3,INTRA_NR,SUCCESS,38.0,4,4,101,103,40,0.0,32.0,0.0,False,False,SUCCESS,MISSING,True,missing_neighbor
UE10005,XYZ401,-101.0,20.0,SUCCESS,2026-07-01T08:17:48+00:00,XYZ401,XYZ403,-101.0,-96.0,20.0,20.0,-104.0,-99.0,HANDOVER,A3,INTRA_NR,SUCCESS,41.0,7,7,101,103,40,0.0,28.0,0.25,False,False,SUCCESS,MISSING,True,missing_neighbor
UE10235,XYZ402,-94.0,6.0,TOO_LATE_HO,2026-07-01T08:14:20+00:00,XYZ402,XYZ403,-94.0,-110.0,6.0,2.0,-106.0,-126.0,HANDOVER,A5,INTRA_NR,HO_DECISION,21.0,4,6,102,103,80,1.0,53.0,0.2,True,True,FAILURE,ACTIVE,False,too_late_handover|mobility_configuration_issue|post_ho_rlf
UE10126,XYZ410,-88.0,-2.0,SUCCESS,2026-07-01T08:19:44+00:00,XYZ410,XYZ409,-88.0,-84.0,-2.0,-1.0,-108.0,-103.0,HANDOVER,A3,INTRA_NR,SUCCESS,38.0,2,2,110,109,120,2.0,19.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10103,XYZ403,-104.0,22.0,SUCCESS,2026-07-01T08:16:47+00:00,XYZ403,XYZ404,-104.0,-98.0,22.0,22.0,-107.0,-101.0,HANDOVER,A3,INTRA_NR,SUCCESS,43.0,6,6,103,104,160,2.0,21.0,0.05,False,False,SUCCESS,ACTIVE,False,
UE10748,XYZ401,-110.0,23.0,PING_PONG,2026-07-01T08:18:38+00:00,XYZ401,XYZ403,-110.0,-111.0,23.0,20.0,-113.0,-114.0,HANDOVER,A3,INTRA_NR,POST_HO,46.0,1,8,101,103,40,0.0,34.0,1.2,True,False,FAILURE,MISSING,True,ping_pong_handover|mobility_configuration_issue|missing_neighbor|post_ho_rlf|coverage_induced_ho_failure|beam_instability
UE10914,XYZ409,-97.0,13.0,SUCCESS,2026-07-01T08:21:21+00:00,XYZ409,XYZ407,-97.0,-94.0,13.0,14.0,-102.0,-98.0,HANDOVER,A3,INTRA_NR,SUCCESS,39.0,4,4,109,107,80,1.0,22.0,0.45,False,False,SUCCESS,ACTIVE,False,
UE10479,XYZ410,-110.0,-2.0,SUCCESS,2026-07-01T08:17:48+00:00,XYZ410,XYZ409,-110.0,-107.0,-2.0,-1.0,-130.0,-126.0,HANDOVER,A3,INTRA_NR,SUCCESS,28.0,6,6,110,109,120,2.0,37.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10154,XYZ408,-114.0,-4.0,SUCCESS,2026-07-01T08:19:17+00:00,XYZ408,XYZ407,-114.0,-108.0,-4.0,-3.0,-136.0,-129.0,HANDOVER,A3,INTRA_NR,SUCCESS,30.0,8,8,108,107,40,0.0,15.0,0.35,False,False,SUCCESS,ACTIVE,False,
UE10256,XYZ405,-109.0,5.0,PING_PONG,2026-07-01T08:22:22+00:00,XYZ405,XYZ403,-109.0,-109.0,5.0,1.0,-122.0,-126.0,HANDOVER,A3,INTRA_NR,POST_HO,52.0,1,4,105,103,80,0.0,38.0,2.3,True,True,FAILURE,MISSING,True,ping_pong_handover|mobility_configuration_issue|missing_neighbor|post_ho_rlf|beam_instability
UE10234,XYZ402,-89.0,8.0,SUCCESS,2026-07-01T08:23:24+00:00,XYZ402,XYZ403,-89.0,-85.0,8.0,8.0,-99.0,-95.0,HANDOVER,A3,INTRA_NR,SUCCESS,25.0,4,4,102,103,80,1.0,26.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10499,XYZ405,-99.0,-5.0,SUCCESS,2026-07-01T08:21:42+00:00,XYZ405,XYZ404,-99.0,-95.0,-5.0,-6.0,-122.0,-119.0,HANDOVER,A3,INTRA_NR,SUCCESS,36.0,6,6,105,104,80,0.0,20.0,0.4,False,False,SUCCESS,ACTIVE,False,
UE10288,XYZ406,-101.0,0.0,SUCCESS,2026-07-01T08:24:57+00:00,XYZ406,XYZ404,-101.0,-96.0,0.0,1.0,-119.0,-113.0,HANDOVER,A3,INTRA_NR,SUCCESS,42.0,5,5,106,104,120,1.0,22.0,0.0,False,False,SUCCESS,ACTIVE,False,
UE10509,XYZ401,-113.0,1.0,SUCCESS,2026-07-01T08:25:22+00:00,XYZ401,XYZ402,-113.0,-107.0,1.0,0.0,-130.0,-125.0,HANDOVER,A3,INTRA_NR,SUCCESS,27.0,5,5,101,102,40,0.0,22.0,0.4,False,False,SUCCESS,ACTIVE,False,
UE10551,XYZ404,-118.0,2.0,WRONG_CELL,2026-07-01T08:25:44+00:00,XYZ404,XYZ403,-118.0,-133.0,2.0,-7.0,-134.0,-158.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,33.0,2,4,104,103,40,2.0,63.0,1.9,True,False,FAILURE,ACTIVE,False,handover_execution_failure|coverage_induced_ho_failure
UE10799,XYZ409,-121.0,1.0,PING_PONG,2026-07-01T08:22:13+00:00,XYZ409,XYZ410,-121.0,-121.0,1.0,-1.0,-138.0,-140.0,HANDOVER,A3,INTRA_NR,POST_HO,63.0,7,8,109,110,80,1.0,41.0,0.6,True,True,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|coverage_induced_ho_failure|beam_instability
UE10708,XYZ402,-114.0,10.0,PING_PONG,2026-07-01T08:23:43+00:00,XYZ402,XYZ403,-114.0,-117.0,10.0,7.0,-122.0,-128.0,HANDOVER,A3,INTRA_NR,POST_HO,53.0,3,6,102,103,80,1.0,35.0,2.5,True,False,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|coverage_induced_ho_failure|beam_instability
UE10784,XYZ405,-85.0,-1.0,SUCCESS,2026-07-01T08:26:13+00:00,XYZ405,XYZ406,-85.0,-79.0,-1.0,0.0,-104.0,-97.0,HANDOVER,A3,INTRA_NR,SUCCESS,30.0,5,5,105,106,80,0.0,37.0,0.25,False,False,SUCCESS,ACTIVE,False,
UE10893,XYZ401,-123.0,9.0,WRONG_CELL,2026-07-01T08:27:43+00:00,XYZ401,XYZ402,-123.0,-147.0,9.0,1.0,-132.0,-164.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,33.0,2,3,101,102,40,0.0,41.0,2.9,False,False,FAILURE,ACTIVE,False,handover_execution_failure|coverage_induced_ho_failure
UE10775,XYZ404,-91.0,17.0,TOO_EARLY_HO,2026-07-01T08:29:34+00:00,XYZ404,XYZ406,-91.0,-81.0,17.0,13.0,-94.0,-86.0,HANDOVER,A3,INTRA_NR,HO_DECISION,80.0,6,1,104,106,40,2.0,45.0,0.35,False,False,FAILURE,ACTIVE,False,too_early_handover|mobility_configuration_issue
UE10568,XYZ404,-93.0,13.0,TOO_EARLY_HO,2026-07-01T08:26:48+00:00,XYZ404,XYZ402,-93.0,-83.0,13.0,11.0,-98.0,-90.0,HANDOVER,A3,INTRA_NR,HO_DECISION,82.0,8,1,104,102,40,2.0,54.0,0.1,False,False,FAILURE,ACTIVE,False,too_early_handover|mobility_configuration_issue
UE10297,XYZ406,-104.0,-6.0,SUCCESS,2026-07-01T08:28:17+00:00,XYZ406,XYZ408,-104.0,-98.0,-6.0,-7.0,-128.0,-123.0,HANDOVER,A3,INTRA_NR,SUCCESS,41.0,7,7,106,108,120,1.0,20.0,0.05,False,False,SUCCESS,ACTIVE,False,
UE10609,XYZ410,-76.0,1.0,PING_PONG,2026-07-01T08:28:00+00:00,XYZ410,XYZ409,-76.0,-73.0,1.0,-2.0,-93.0,-93.0,HANDOVER,A3,INTRA_NR,POST_HO,48.0,2,7,110,109,120,2.0,53.0,1.4,True,False,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|beam_instability
UE10136,XYZ409,-82.0,24.0,PREP_FAILURE,2026-07-01T08:30:10+00:00,XYZ409,XYZ410,-82.0,-91.0,24.0,21.0,-85.0,-94.0,HANDOVER,A3,INTRA_NR,HO_PREPARATION,36.0,8,6,109,110,80,1.0,64.0,5.0,False,False,FAILURE,ACTIVE,False,handover_preparation_failure
UE10375,XYZ403,-117.0,-9.0,WRONG_CELL,2026-07-01T08:31:20+00:00,XYZ403,XYZ404,-117.0,-139.0,-9.0,-18.0,-144.0,-175.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,33.0,6,6,103,104,160,2.0,26.0,2.9,False,False,FAILURE,ACTIVE,False,handover_execution_failure|coverage_induced_ho_failure|interference_induced_ho_failure
UE10086,XYZ409,-85.0,-2.0,SUCCESS,2026-07-01T08:29:49+00:00,XYZ409,XYZ408,-85.0,-79.0,-2.0,-2.0,-105.0,-99.0,HANDOVER,A3,INTRA_NR,SUCCESS,26.0,5,5,109,108,80,1.0,15.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10418,XYZ406,-108.0,11.0,SUCCESS,2026-07-01T08:28:59+00:00,XYZ406,XYZ404,-108.0,-103.0,11.0,11.0,-115.0,-110.0,HANDOVER,A3,INTRA_NR,SUCCESS,43.0,4,4,106,104,120,1.0,20.0,0.0,False,False,SUCCESS,ACTIVE,False,
UE10753,XYZ407,-76.0,-6.0,SUCCESS,2026-07-01T08:32:33+00:00,XYZ407,XYZ408,-76.0,-70.0,-6.0,-7.0,-100.0,-95.0,HANDOVER,A3,INTRA_NR,SUCCESS,29.0,5,5,107,108,160,2.0,32.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10198,XYZ410,-97.0,1.0,SUCCESS,2026-07-01T08:32:07+00:00,XYZ410,XYZ409,-97.0,-92.0,1.0,2.0,-114.0,-108.0,HANDOVER,A3,INTRA_NR,SUCCESS,27.0,5,5,110,109,120,2.0,35.0,0.4,False,False,SUCCESS,ACTIVE,False,
UE10462,XYZ402,-87.0,-10.0,XN_FAILURE,2026-07-01T08:34:43+00:00,XYZ402,XYZ403,-87.0,-96.0,-10.0,-13.0,-115.0,-127.0,HANDOVER,A3,INTER_GNB_XN,HO_PREPARATION,44.0,6,2,102,103,80,1.0,291.0,9.3,False,False,FAILURE,ACTIVE,False,handover_preparation_failure|xn_transport_failure|interference_induced_ho_failure
UE10436,XYZ410,-99.0,11.0,PING_PONG,2026-07-01T08:35:28+00:00,XYZ410,XYZ408,-99.0,-98.0,11.0,8.0,-106.0,-108.0,HANDOVER,A3,INTRA_NR,POST_HO,52.0,8,2,110,108,120,2.0,46.0,0.5,True,True,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|beam_instability
UE10309,XYZ406,-90.0,8.0,SUCCESS,2026-07-01T08:36:21+00:00,XYZ406,XYZ404,-90.0,-86.0,8.0,8.0,-100.0,-96.0,HANDOVER,A3,INTRA_NR,SUCCESS,36.0,5,5,106,104,120,1.0,16.0,0.2,False,False,SUCCESS,ACTIVE,False,
UE10595,XYZ406,-81.0,5.0,XN_FAILURE,2026-07-01T08:36:15+00:00,XYZ406,XYZ407,-81.0,-93.0,5.0,2.0,-94.0,-109.0,HANDOVER,A3,INTER_GNB_XN,HO_PREPARATION,59.0,7,5,106,107,120,1.0,170.0,4.8,False,False,FAILURE,ACTIVE,False,handover_preparation_failure|xn_transport_failure
UE10753,XYZ402,-109.0,20.0,SUCCESS,2026-07-01T08:36:15+00:00,XYZ402,XYZ403,-109.0,-104.0,20.0,19.0,-112.0,-107.0,HANDOVER,A3,INTRA_NR,SUCCESS,29.0,5,5,102,103,80,1.0,32.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10280,XYZ402,-92.0,-8.0,SUCCESS,2026-07-01T08:38:05+00:00,XYZ402,XYZ403,-92.0,-90.0,-8.0,-7.0,-118.0,-115.0,HANDOVER,A3,INTRA_NR,SUCCESS,37.0,7,7,102,103,80,1.0,28.0,0.35,False,False,SUCCESS,ACTIVE,False,
UE10322,XYZ402,-80.0,12.0,SUCCESS,2026-07-01T08:38:47+00:00,XYZ402,XYZ403,-80.0,-75.0,12.0,12.0,-86.0,-81.0,HANDOVER,A3,INTRA_NR,SUCCESS,42.0,4,4,102,103,80,1.0,22.0,0.4,False,False,SUCCESS,ACTIVE,False,
UE10763,XYZ410,-123.0,7.0,WRONG_CELL,2026-07-01T08:37:16+00:00,XYZ410,XYZ409,-123.0,-143.0,7.0,-2.0,-134.0,-163.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,45.0,1,3,110,109,120,2.0,60.0,2.6,False,False,FAILURE,ACTIVE,False,handover_execution_failure|coverage_induced_ho_failure
UE10701,XYZ401,-121.0,15.0,PING_PONG,2026-07-01T08:37:21+00:00,XYZ401,XYZ402,-121.0,-122.0,15.0,11.0,-124.0,-129.0,HANDOVER,A3,INTRA_NR,POST_HO,47.0,2,1,101,102,40,0.0,32.0,3.0,True,True,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|coverage_induced_ho_failure|beam_instability
UE10950,XYZ405,-112.0,2.0,SUCCESS,2026-07-01T08:38:51+00:00,XYZ405,XYZ406,-112.0,-106.0,2.0,2.0,-128.0,-122.0,HANDOVER,A3,INTRA_NR,SUCCESS,40.0,2,2,105,106,80,0.0,37.0,0.05,False,False,SUCCESS,ACTIVE,False,
UE10941,XYZ408,-123.0,7.0,WRONG_CELL,2026-07-01T08:40:46+00:00,XYZ408,XYZ406,-123.0,-145.0,7.0,-1.0,-134.0,-164.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,45.0,4,1,108,106,40,0.0,25.0,2.3,True,False,FAILURE,MISSING,True,handover_execution_failure|missing_neighbor|coverage_induced_ho_failure
UE10151,XYZ402,-103.0,-8.0,SUCCESS,2026-07-01T08:39:42+00:00,XYZ402,XYZ403,-103.0,-100.0,-8.0,-7.0,-129.0,-125.0,HANDOVER,A3,INTRA_NR,SUCCESS,28.0,6,6,102,103,80,1.0,21.0,0.4,False,False,SUCCESS,ACTIVE,False,
UE10993,XYZ405,-87.0,12.0,SUCCESS,2026-07-01T08:39:40+00:00,XYZ405,XYZ407,-87.0,-82.0,12.0,13.0,-93.0,-87.0,HANDOVER,A3,INTRA_NR,SUCCESS,42.0,1,1,105,107,80,0.0,29.0,0.25,False,False,SUCCESS,MISSING,True,missing_neighbor
UE10301,XYZ408,-96.0,-8.0,SUCCESS,2026-07-01T08:42:51+00:00,XYZ408,XYZ406,-96.0,-94.0,-8.0,-7.0,-122.0,-119.0,HANDOVER,A3,INTRA_NR,SUCCESS,39.0,5,5,108,106,40,0.0,18.0,0.3,False,False,SUCCESS,MISSING,True,missing_neighbor
UE10277,XYZ410,-76.0,14.0,TOO_EARLY_HO,2026-07-01T08:42:54+00:00,XYZ410,XYZ408,-76.0,-65.0,14.0,12.0,-80.0,-71.0,HANDOVER,A3,INTRA_NR,HO_DECISION,79.0,5,8,110,108,120,2.0,33.0,0.05,False,False,FAILURE,ACTIVE,False,too_early_handover|mobility_configuration_issue
UE10650,XYZ405,-81.0,16.0,TOO_EARLY_HO,2026-07-01T08:41:50+00:00,XYZ405,XYZ404,-81.0,-68.0,16.0,12.0,-84.0,-74.0,HANDOVER,A3,INTRA_NR,HO_DECISION,91.0,6,5,105,104,80,0.0,37.0,0.25,False,False,FAILURE,ACTIVE,False,too_early_handover|mobility_configuration_issue
UE10687,XYZ402,-103.0,16.0,SUCCESS,2026-07-01T08:42:15+00:00,XYZ402,XYZ403,-103.0,-98.0,16.0,17.0,-106.0,-101.0,HANDOVER,A3,INTRA_NR,SUCCESS,41.0,8,8,102,103,80,1.0,29.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10007,XYZ403,-99.0,14.0,SUCCESS,2026-07-01T08:41:41+00:00,XYZ403,XYZ402,-99.0,-97.0,14.0,13.0,-103.0,-102.0,HANDOVER,A3,INTRA_NR,SUCCESS,42.0,8,8,103,102,160,2.0,30.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10806,XYZ406,-116.0,13.0,WRONG_CELL,2026-07-01T08:46:33+00:00,XYZ406,XYZ408,-116.0,-131.0,13.0,4.0,-121.0,-145.0,HANDOVER,A3,INTRA_NR,HO_EXECUTION,46.0,6,3,106,108,120,1.0,57.0,2.7,False,False,FAILURE,ACTIVE,False,handover_execution_failure|coverage_induced_ho_failure
UE10234,XYZ405,-101.0,-3.0,SUCCESS,2026-07-01T08:46:50+00:00,XYZ405,XYZ404,-101.0,-97.0,-3.0,-2.0,-122.0,-117.0,HANDOVER,A3,INTRA_NR,SUCCESS,25.0,4,4,105,104,80,0.0,26.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10674,XYZ404,-113.0,-2.0,SUCCESS,2026-07-01T08:46:27+00:00,XYZ404,XYZ406,-113.0,-109.0,-2.0,-1.0,-133.0,-128.0,HANDOVER,A3,INTRA_NR,SUCCESS,44.0,6,6,104,106,40,2.0,32.0,0.1,False,False,SUCCESS,ACTIVE,False,
UE10560,XYZ404,-110.0,19.0,PING_PONG,2026-07-01T08:44:25+00:00,XYZ404,XYZ405,-110.0,-111.0,19.0,17.0,-113.0,-114.0,HANDOVER,A3,INTRA_NR,POST_HO,56.0,7,5,104,105,40,2.0,51.0,1.8,True,False,FAILURE,ACTIVE,False,ping_pong_handover|mobility_configuration_issue|post_ho_rlf|coverage_induced_ho_failure|beam_instability
UE10301,XYZ405,-85.0,8.0,SUCCESS,2026-07-01T08:48:24+00:00,XYZ405,XYZ404,-85.0,-83.0,8.0,9.0,-95.0,-92.0,HANDOVER,A3,INTRA_NR,SUCCESS,39.0,5,5,105,104,80,0.0,18.0,0.3,False,False,SUCCESS,ACTIVE,False,
UE10037,XYZ402,-92.0,5.0,SUCCESS,2026-07-01T08:47:40+00:00,XYZ402,XYZ403,-92.0,-89.0,5.0,5.0,-105.0,-102.0,HANDOVER,A3,INTRA_NR,SUCCESS,38.0,4,4,102,103,80,1.0,29.0,0.2,False,False,SUCCESS,ACTIVE,False,
UE10135,XYZ409,-89.0,13.0,TOO_EARLY_HO,2026-07-01T08:49:08+00:00,XYZ409,XYZ407,-89.0,-80.0,13.0,9.0,-94.0,-89.0,HANDOVER,A3,INTRA_NR,HO_DECISION,92.0,8,1,109,107,80,1.0,54.0,0.05,False,False,FAILURE,ACTIVE,False,too_early_handover|mobility_configuration_issue
UE10821,XYZ402,-104.0,10.0,SUCCESS,2026-07-01T08:48:33+00:00,XYZ402,XYZ403,-104.0,-98.0,10.0,11.0,-112.0,-105.0,HANDOVER,A3,INTRA_NR,SUCCESS,31.0,3,3,102,103,80,1.0,21.0,0.15,False,False,SUCCESS,ACTIVE,False,
UE10420,XYZ410,-109.0,-5.0,SUCCESS,2026-07-01T08:46:56+00:00,XYZ410,XYZ409,-109.0,-107.0,-5.0,-4.0,-132.0,-129.0,HANDOVER,A3,INTRA_NR,SUCCESS,38.0,1,1,110,109,120,2.0,36.0,0.2,False,False,SUCCESS,ACTIVE,False,
UE10218,XYZ402,-103.0,-6.0,SUCCESS,2026-07-01T08:52:00+00:00,XYZ402,XYZ403,-103.0,-101.0,-6.0,-5.0,-127.0,-124.0,HANDOVER,A3,INTRA_NR,SUCCESS,26.0,1,1,102,103,80,1.0,15.0,0.05,False,False,SUCCESS,ACTIVE,False,
UE10347,XYZ410,-90.0,3.0,SUCCESS,2026-07-01T08:51:55+00:00,XYZ410,XYZ408,-90.0,-88.0,3.0,2.0,-105.0,-104.0,HANDOVER,A3,INTRA_NR,SUCCESS,26.0,6,6,110,108,120,2.0,21.0,0.25,False,False,SUCCESS,ACTIVE,False,
