ue_id,cell_id,rsrp,rsrq,sinr,cause
UE10577,XYZ408,-101.8,-10.0,5.8,Coverage
UE10578,XYZ409,-91.4,-9.0,18.2,None
UE10579,XYZ410,-86.6,-8.6,18.8,None
UE10580,XYZ401,-118.5,-13.4,-3.8,Coverage
UE10581,XYZ402,-114.2,-14.2,-2.3,Coverage
UE10582,XYZ403,-112.2,-12.1,-0.5,Coverage
UE10583,XYZ404,-107.1,-12.3,-3.6,Interference
UE10584,XYZ405,-108.5,-12.3,6.2,Interference
UE10585,XYZ406,-101.0,-9.9,6.7,Coverage
UE10586,XYZ407,-108.5,-11.6,8.5,Post_HO
UE10587,XYZ408,-103.8,-9.2,7.7,Post_HO
UE10588,XYZ409,-95.4,-9.6,14.5,None
UE10589,XYZ410,-87.7,-7.3,21.0,None
UE10590,XYZ401,-114.9,-13.6,-6.0,Coverage
UE10591,XYZ402,-114.5,-14.1,-7.0,Coverage
UE10592,XYZ403,-127.3,-14.4,1.8,Coverage
UE10593,XYZ404,-115.5,-10.9,2.8,Coverage
UE10594,XYZ405,-104.6,-9.8,18.6,Post_HO
UE10595,XYZ406,-102.6,-9.0,3.4,Interference
UE10596,XYZ407,-107.1,-10.6,5.4,Coverage
UE10597,XYZ408,-102.4,-13.8,12.0,Interference
UE10598,XYZ409,-92.4,-10.5,16.5,None
UE10599,XYZ410,-86.3,-8.5,22.4,Coverage
UE10600,XYZ401,-114.3,-13.9,-5.8,Coverage
UE10601,XYZ402,-126.2,-12.3,5.4,Coverage
UE10602,XYZ403,-112.1,-10.7,1.5,Coverage
UE10603,XYZ404,-114.3,-12.0,4.8,Coverage
UE10604,XYZ405,-109.0,-12.8,-1.9,Interference
UE10605,XYZ406,-103.4,-9.4,16.0,Post_HO
UE10606,XYZ407,-107.9,-11.4,9.7,Post_HO
UE10607,XYZ408,-102.5,-9.0,19.2,Coverage
UE10608,XYZ409,-88.8,-10.1,18.8,None
UE10609,XYZ410,-85.6,-6.3,21.7,None
UE10610,XYZ401,-117.4,-13.9,-3.4,Coverage
UE10611,XYZ402,-109.4,-11.6,-1.9,Interference
UE10612,XYZ403,-119.3,-12.9,-3.4,Coverage
UE10613,XYZ404,-114.5,-16.1,-3.6,Coverage
UE10614,XYZ405,-101.4,-9.8,11.0,Coverage
UE10615,XYZ406,-102.1,-14.3,1.6,Coverage
UE10616,XYZ407,-113.0,-11.3,7.0,Coverage
UE10617,XYZ408,-102.0,-11.0,9.6,Coverage
UE10618,XYZ409,-89.1,-10.5,19.1,None
UE10619,XYZ410,-84.9,-6.5,21.3,Interference
UE10620,XYZ401,-117.1,-10.1,14.5,Coverage
UE10621,XYZ402,-114.4,-12.5,-9.0,Coverage
UE10622,XYZ403,-104.2,-13.2,-8.4,Interference
UE10623,XYZ404,-108.3,-12.9,8.6,Coverage
UE10624,XYZ405,-109.3,-11.6,5.1,Post_HO
UE10625,XYZ406,-102.8,-11.1,0.5,Post_HO
UE10626,XYZ407,-105.3,-10.5,3.0,Post_HO
UE10627,XYZ408,-102.5,-11.6,7.1,Post_HO
UE10628,XYZ409,-88.0,-9.0,13.3,None
UE10629,XYZ410,-85.5,-7.1,25.5,None
UE10630,XYZ401,-123.3,-12.2,2.7,Coverage
UE10631,XYZ402,-114.4,-11.1,6.3,Coverage
UE10632,XYZ403,-109.4,-12.9,-5.2,Interference
UE10633,XYZ404,-112.6,-12.1,4.5,Coverage
UE10634,XYZ405,-105.9,-12.6,9.1,Coverage
UE10635,XYZ406,-110.4,-9.8,6.3,Interference
UE10636,XYZ407,-102.3,-12.9,3.9,Post_HO
UE10637,XYZ408,-107.4,-10.6,12.2,Post_HO
UE10638,XYZ409,-93.6,-9.3,12.1,None
UE10639,XYZ410,-87.6,-5.7,19.5,Coverage
UE10640,XYZ401,-116.2,-12.1,0.9,Coverage
UE10641,XYZ402,-119.6,-12.4,3.2,Coverage
UE10642,XYZ403,-116.8,-10.4,4.2,Coverage
UE10643,XYZ404,-110.6,-11.2,6.6,Interference
UE10644,XYZ405,-109.6,-11.2,7.5,Coverage
UE10645,XYZ406,-109.4,-13.5,6.4,Post_HO
UE10646,XYZ407,-104.4,-9.4,12.4,Coverage
UE10647,XYZ408,-102.1,-10.8,10.5,Coverage
UE10648,XYZ409,-88.7,-8.1,13.8,Post_HO
UE10649,XYZ410,-88.0,-9.4,17.2,Interference
UE10650,XYZ401,-124.5,-13.7,5.2,Coverage
UE10651,XYZ402,-117.6,-11.5,7.2,Coverage
UE10652,XYZ403,-113.3,-15.1,-7.0,Coverage
UE10653,XYZ404,-116.9,-13.5,3.6,Coverage
UE10654,XYZ405,-113.4,-13.3,9.4,Coverage
UE10655,XYZ406,-102.0,-11.5,13.8,Post_HO
UE10656,XYZ407,-100.3,-11.2,3.9,Interference
UE10657,XYZ408,-104.8,-11.9,3.4,Interference
UE10658,XYZ409,-88.8,-7.4,17.5,Interference
UE10659,XYZ410,-87.4,-8.1,22.3,None
UE10660,XYZ401,-118.2,-13.7,-1.7,Coverage
UE10661,XYZ402,-112.3,-15.1,-7.3,Coverage
UE10662,XYZ403,-114.1,-13.7,5.2,Coverage
UE10663,XYZ404,-107.2,-11.7,-0.1,Interference
UE10664,XYZ405,-108.5,-10.9,5.9,Interference
UE10665,XYZ406,-106.8,-12.1,8.8,Interference
UE10666,XYZ407,-109.0,-11.0,13.2,Coverage
UE10667,XYZ408,-98.4,-9.5,5.6,Post_HO
UE10668,XYZ409,-87.7,-8.5,12.4,None
UE10669,XYZ410,-86.6,-8.0,23.3,None
UE10670,XYZ401,-117.1,-14.8,-7.1,Coverage
UE10671,XYZ402,-117.5,-12.6,1.4,Coverage
UE10672,XYZ403,-117.3,-14.1,0.1,Coverage
UE10673,XYZ404,-117.1,-14.1,1.1,Coverage
UE10674,XYZ405,-113.6,-13.7,-2.2,Coverage
UE10675,XYZ406,-101.0,-8.9,10.8,Post_HO
UE10676,XYZ407,-107.2,-7.7,13.3,Coverage
UE10677,XYZ408,-93.1,-9.6,9.4,Post_HO
UE10678,XYZ409,-93.2,-9.6,15.7,None
UE10679,XYZ410,-88.6,-8.3,23.5,None
UE10680,XYZ401,-117.7,-11.3,4.4,Coverage
UE10681,XYZ402,-107.5,-10.8,-1.3,Interference
UE10682,XYZ403,-125.6,-14.1,-5.5,Coverage
UE10683,XYZ404,-111.8,-14.2,-2.9,Interference
UE10684,XYZ405,-103.6,-8.9,6.2,Interference
UE10685,XYZ406,-95.2,-10.5,5.3,Post_HO
UE10686,XYZ407,-109.6,-10.9,3.1,Interference
UE10687,XYZ408,-102.5,-10.6,11.9,Interference
UE10688,XYZ409,-93.4,-10.0,20.6,Coverage
UE10689,XYZ410,-88.5,-8.2,22.7,None
UE10690,XYZ401,-111.4,-12.3,8.8,Post_HO
UE10691,XYZ402,-118.8,-11.9,-5.4,Coverage
UE10692,XYZ403,-124.3,-15.8,-6.9,Coverage
UE10693,XYZ404,-113.1,-12.1,6.7,Coverage
UE10694,XYZ405,-106.2,-11.0,9.5,Coverage
UE10695,XYZ406,-103.2,-11.0,7.6,Interference
UE10696,XYZ407,-108.5,-11.6,11.4,Interference
UE10697,XYZ408,-104.5,-12.2,5.2,Interference
UE10698,XYZ409,-96.2,-8.2,19.0,None
UE10699,XYZ410,-89.9,-8.6,19.8,None
UE10700,XYZ401,-114.9,-12.3,11.6,Coverage
UE10701,XYZ402,-109.4,-13.9,-9.4,Interference
UE10702,XYZ403,-104.3,-12.7,0.0,Interference
UE10703,XYZ404,-111.4,-14.9,-9.3,Interference
UE10704,XYZ405,-113.6,-11.1,6.4,Coverage
UE10705,XYZ406,-104.7,-11.0,6.4,Interference
UE10706,XYZ407,-104.6,-10.9,5.1,Coverage
UE10707,XYZ408,-102.2,-9.8,15.4,Post_HO
UE10708,XYZ409,-92.7,-11.0,12.2,None
UE10709,XYZ410,-86.2,-8.2,19.7,Post_HO
UE10710,XYZ401,-123.1,-15.0,-0.3,Coverage
UE10711,XYZ402,-117.2,-14.1,1.2,Coverage
UE10712,XYZ403,-113.6,-10.3,6.7,Coverage
UE10713,XYZ404,-108.5,-10.3,3.7,Interference
UE10714,XYZ405,-114.1,-11.9,6.7,Coverage
UE10715,XYZ406,-102.9,-9.5,14.8,Coverage
UE10716,XYZ407,-105.9,-10.3,8.7,Interference
UE10717,XYZ408,-102.0,-9.1,16.1,Interference
UE10718,XYZ409,-89.1,-6.9,12.5,None
UE10719,XYZ410,-86.8,-8.0,20.5,Post_HO
UE10720,XYZ401,-113.7,-13.1,0.1,Coverage
UE10721,XYZ402,-112.4,-12.0,0.7,Coverage
UE10722,XYZ403,-114.9,-13.4,-1.1,Coverage
UE10723,XYZ404,-112.0,-11.0,0.5,Coverage
UE10724,XYZ405,-101.8,-12.4,5.4,Coverage
UE10725,XYZ406,-104.7,-11.0,6.7,Interference
UE10726,XYZ407,-103.5,-13.1,4.1,Coverage
UE10727,XYZ408,-102.3,-8.1,17.5,Post_HO
UE10728,XYZ409,-93.9,-9.3,15.3,None
UE10729,XYZ410,-87.0,-9.0,15.5,Post_HO
UE10730,XYZ401,-127.0,-14.3,-14.5,Coverage
UE10731,XYZ402,-112.5,-13.9,-8.6,Coverage
UE10732,XYZ403,-109.4,-13.2,-1.6,Interference
UE10733,XYZ404,-111.6,-10.4,-1.4,Interference
UE10734,XYZ405,-112.7,-10.5,-0.9,Coverage
UE10735,XYZ406,-110.1,-12.0,17.6,Interference
UE10736,XYZ407,-106.3,-9.1,3.5,Post_HO
UE10737,XYZ408,-101.2,-11.2,3.6,Post_HO
UE10738,XYZ409,-91.9,-10.1,10.9,None
UE10739,XYZ410,-86.9,-6.8,22.9,Post_HO
UE10740,XYZ401,-111.7,-13.7,-7.1,Interference
UE10741,XYZ402,-116.3,-14.2,-9.6,Coverage
UE10742,XYZ403,-111.7,-13.6,-2.5,Interference
UE10743,XYZ404,-106.6,-13.4,-1.6,Interference
UE10744,XYZ405,-103.0,-11.3,7.3,Coverage
UE10745,XYZ406,-104.1,-11.5,7.5,Coverage
UE10746,XYZ407,-103.0,-9.7,16.5,Coverage
UE10747,XYZ408,-99.7,-10.7,12.8,Post_HO
UE10748,XYZ409,-92.9,-11.1,15.0,None
UE10749,XYZ410,-89.6,-8.7,14.4,None
UE10750,XYZ401,-124.9,-16.5,-16.5,Coverage
UE10751,XYZ402,-109.4,-13.2,-5.9,Interference
UE10752,XYZ403,-117.0,-14.6,4.3,Coverage
UE10753,XYZ404,-113.9,-13.9,-1.1,Coverage
UE10754,XYZ405,-110.0,-13.3,0.3,Post_HO
UE10755,XYZ406,-100.1,-10.3,11.4,Interference
UE10756,XYZ407,-104.2,-12.1,11.4,Interference
UE10757,XYZ408,-103.6,-10.9,6.1,Interference
UE10758,XYZ409,-88.0,-9.6,15.2,None
UE10759,XYZ410,-87.0,-10.0,16.2,None
UE10760,XYZ401,-126.5,-12.8,-1.1,Coverage
UE10761,XYZ402,-116.9,-12.7,9.8,Coverage
UE10762,XYZ403,-123.7,-14.6,1.7,Coverage
UE10763,XYZ404,-113.1,-13.4,1.9,Coverage
UE10764,XYZ405,-106.6,-11.2,-0.9,Interference
UE10765,XYZ406,-109.0,-10.7,9.8,Interference
UE10766,XYZ407,-100.0,-11.6,10.6,Coverage
UE10767,XYZ408,-101.6,-8.7,13.0,Post_HO
UE10768,XYZ409,-94.4,-10.2,14.6,None
UE10769,XYZ410,-89.1,-7.3,19.2,Coverage
UE10770,XYZ401,-127.6,-18.3,-5.8,Coverage
UE10771,XYZ402,-123.2,-16.4,-0.2,Coverage
UE10772,XYZ403,-119.4,-12.3,-5.6,Coverage
UE10773,XYZ404,-113.4,-13.2,-0.4,Coverage
UE10774,XYZ405,-107.7,-10.9,5.3,Post_HO
UE10775,XYZ406,-103.6,-10.4,3.8,Coverage
UE10776,XYZ407,-107.2,-12.7,11.1,Post_HO
UE10777,XYZ408,-105.9,-9.5,10.6,Post_HO
UE10778,XYZ409,-87.9,-7.9,10.4,Interference
UE10779,XYZ410,-86.0,-8.9,21.3,None
UE10780,XYZ401,-118.4,-12.3,4.9,Coverage
UE10781,XYZ402,-121.0,-11.3,6.5,Coverage
UE10782,XYZ403,-111.6,-14.7,-11.4,Interference
UE10783,XYZ404,-110.2,-10.8,9.5,Post_HO
UE10784,XYZ405,-110.8,-8.4,12.5,Post_HO
UE10785,XYZ406,-109.9,-12.3,5.9,Coverage
UE10786,XYZ407,-110.6,-11.0,9.1,Post_HO
UE10787,XYZ408,-101.3,-12.5,3.3,Interference
UE10788,XYZ409,-92.7,-8.8,23.3,None
UE10789,XYZ410,-89.8,-8.5,16.1,None
UE10790,XYZ401,-119.6,-10.2,4.8,Coverage
UE10791,XYZ402,-115.3,-14.7,-10.2,Coverage
UE10792,XYZ403,-117.2,-12.1,3.1,Coverage
UE10793,XYZ404,-115.4,-14.6,-9.9,Coverage
UE10794,XYZ405,-111.5,-13.4,0.9,Post_HO
UE10795,XYZ406,-106.7,-9.8,4.5,Interference
UE10796,XYZ407,-108.2,-10.5,3.6,Post_HO
UE10797,XYZ408,-101.5,-9.1,3.1,Interference
UE10798,XYZ409,-94.0,-8.8,17.5,None
UE10799,XYZ410,-90.5,-7.5,26.0,None
UE10800,XYZ401,-120.9,-12.8,2.9,Coverage
UE10801,XYZ402,-118.3,-14.4,4.4,Coverage
UE10802,XYZ403,-122.8,-14.8,-1.8,Coverage
UE10803,XYZ404,-113.3,-12.6,-1.0,Coverage
UE10804,XYZ405,-103.4,-9.5,8.3,Interference
UE10805,XYZ406,-102.3,-11.2,5.6,Post_HO
UE10806,XYZ407,-109.4,-8.7,9.3,Interference
UE10807,XYZ408,-97.2,-7.9,11.3,Post_HO
UE10808,XYZ409,-95.7,-7.9,16.2,None
UE10809,XYZ410,-89.1,-9.1,21.8,None
UE10810,XYZ401,-118.1,-13.2,-9.4,Coverage
UE10811,XYZ402,-117.2,-12.3,-1.2,Coverage
UE10812,XYZ403,-115.5,-13.0,-5.9,Coverage
UE10813,XYZ404,-108.7,-16.8,-2.2,Interference
UE10814,XYZ405,-101.1,-10.6,4.6,Post_HO
UE10815,XYZ406,-110.3,-12.9,5.3,Interference
UE10816,XYZ407,-104.8,-9.5,7.4,Interference
UE10817,XYZ408,-97.4,-9.9,13.3,Post_HO
UE10818,XYZ409,-91.9,-9.0,11.7,Coverage
UE10819,XYZ410,-87.6,-7.6,16.4,None
UE10820,XYZ401,-120.4,-13.4,-1.6,Coverage
UE10821,XYZ402,-104.5,-11.7,3.5,Post_HO
UE10822,XYZ403,-114.6,-12.3,3.9,Coverage
UE10823,XYZ404,-110.4,-13.6,-3.2,Interference
UE10824,XYZ405,-112.8,-10.5,-2.7,Coverage
UE10825,XYZ406,-107.4,-9.0,16.5,Coverage
UE10826,XYZ407,-99.6,-11.5,11.6,Interference
UE10827,XYZ408,-103.1,-13.4,2.2,Post_HO
UE10828,XYZ409,-92.5,-9.7,16.4,Interference
UE10829,XYZ410,-87.2,-8.5,25.1,None
UE10830,XYZ401,-130.6,-12.3,7.6,Coverage
UE10831,XYZ402,-108.7,-15.7,-14.0,Interference
UE10832,XYZ403,-119.4,-14.7,1.5,Coverage
UE10833,XYZ404,-111.0,-13.9,6.5,Interference
UE10834,XYZ405,-109.1,-11.4,1.2,Interference
UE10835,XYZ406,-105.6,-10.4,10.1,Interference
UE10836,XYZ407,-106.8,-12.0,12.8,Interference
UE10837,XYZ408,-99.7,-12.6,7.3,Interference
UE10838,XYZ409,-95.8,-7.5,21.3,None
UE10839,XYZ410,-87.0,-10.5,17.5,None
UE10840,XYZ401,-116.9,-12.6,-17.1,Coverage
UE10841,XYZ402,-119.8,-12.4,1.9,Coverage
UE10842,XYZ403,-113.3,-14.1,-12.1,Coverage
UE10843,XYZ404,-111.9,-14.5,-2.6,Interference
UE10844,XYZ405,-105.9,-12.3,10.3,Interference
UE10845,XYZ406,-102.3,-11.4,9.7,Interference
UE10846,XYZ407,-106.2,-11.7,2.8,Interference
UE10847,XYZ408,-101.1,-10.4,4.0,Coverage
UE10848,XYZ409,-95.1,-9.3,14.7,None
UE10849,XYZ410,-88.5,-8.3,15.9,None
UE10850,XYZ401,-119.2,-13.4,4.3,Coverage
UE10851,XYZ402,-113.5,-12.6,-0.3,Coverage
UE10852,XYZ403,-115.9,-15.5,-9.7,Coverage
UE10853,XYZ404,-114.8,-15.3,-2.3,Coverage
UE10854,XYZ405,-116.9,-10.9,6.2,Coverage
UE10855,XYZ406,-104.6,-12.3,-4.7,Interference
UE10856,XYZ407,-105.1,-10.2,17.3,Interference
UE10857,XYZ408,-102.7,-11.9,13.8,Coverage
UE10858,XYZ409,-89.0,-9.7,12.3,None
UE10859,XYZ410,-89.4,-10.4,23.6,None
UE10860,XYZ401,-110.5,-15.5,-22.6,Interference
UE10861,XYZ402,-104.6,-15.2,-6.0,Interference
UE10862,XYZ403,-109.8,-13.4,-6.8,Interference
UE10863,XYZ404,-115.3,-10.4,7.4,Coverage
UE10864,XYZ405,-104.2,-10.8,10.5,Coverage
UE10865,XYZ406,-108.7,-13.8,0.5,Interference
UE10866,XYZ407,-104.7,-11.4,6.8,Coverage
UE10867,XYZ408,-106.3,-9.0,16.1,Interference
UE10868,XYZ409,-91.4,-7.1,16.8,None
UE10869,XYZ410,-88.0,-8.9,20.2,None
UE10870,XYZ401,-117.7,-12.2,8.2,Coverage
UE10871,XYZ402,-114.8,-12.3,11.2,Coverage
UE10872,XYZ403,-119.1,-13.7,-7.8,Coverage
UE10873,XYZ404,-110.6,-10.0,13.4,Interference
UE10874,XYZ405,-106.5,-8.5,8.1,Coverage
UE10875,XYZ406,-111.9,-12.4,4.4,Post_HO
UE10876,XYZ407,-102.9,-13.0,6.5,Post_HO
UE10877,XYZ408,-99.6,-11.8,12.6,Coverage
UE10878,XYZ409,-87.7,-11.0,14.6,Coverage
UE10879,XYZ410,-88.4,-8.2,20.5,Interference
UE10880,XYZ401,-113.4,-13.6,-9.6,Coverage
UE10881,XYZ402,-109.9,-13.8,-15.1,Interference
UE10882,XYZ403,-108.3,-11.9,-5.7,Interference
UE10883,XYZ404,-105.2,-11.9,7.6,Post_HO
UE10884,XYZ405,-113.5,-11.4,7.7,Coverage
UE10885,XYZ406,-107.5,-11.4,9.3,Post_HO
UE10886,XYZ407,-107.5,-12.5,4.7,Coverage
UE10887,XYZ408,-103.2,-9.1,13.6,Post_HO
UE10888,XYZ409,-91.8,-8.6,14.6,None
UE10889,XYZ410,-91.4,-9.2,18.3,None
UE10890,XYZ401,-119.3,-15.7,-11.5,Coverage
UE10891,XYZ402,-115.2,-11.3,3.6,Coverage
UE10892,XYZ403,-109.7,-13.3,-3.4,Interference
UE10893,XYZ404,-113.6,-12.4,8.2,Coverage
UE10894,XYZ405,-110.1,-10.2,6.5,Post_HO
UE10895,XYZ406,-105.4,-10.4,11.4,Coverage
UE10896,XYZ407,-111.5,-9.6,4.5,Interference
UE10897,XYZ408,-100.4,-10.6,13.1,Post_HO
UE10898,XYZ409,-96.6,-9.2,16.8,Interference
UE10899,XYZ410,-86.7,-11.4,17.0,None
UE10900,XYZ401,-121.6,-13.6,0.8,Coverage
UE10901,XYZ402,-117.7,-14.0,-5.2,Coverage
UE10902,XYZ403,-125.7,-14.9,-8.9,Coverage
UE10903,XYZ404,-111.1,-13.5,-7.3,Interference
UE10904,XYZ405,-111.4,-12.3,2.8,Interference
UE10905,XYZ406,-108.3,-12.1,-1.3,Interference
UE10906,XYZ407,-105.7,-10.4,8.5,Post_HO
UE10907,XYZ408,-102.2,-8.8,23.8,Coverage
UE10908,XYZ409,-93.8,-8.8,16.9,None
UE10909,XYZ410,-87.8,-6.9,18.3,None
UE10910,XYZ401,-126.9,-12.6,7.5,Coverage
UE10911,XYZ402,-106.2,-12.3,-3.5,Interference
UE10912,XYZ403,-104.9,-15.3,-11.8,Interference
UE10913,XYZ404,-107.7,-13.2,-2.7,Interference
UE10914,XYZ405,-108.3,-12.4,7.0,Coverage
UE10915,XYZ406,-102.2,-12.6,0.7,Interference
UE10916,XYZ407,-107.9,-12.6,5.6,Coverage
UE10917,XYZ408,-105.3,-9.2,13.7,Interference
UE10918,XYZ409,-93.8,-8.0,22.6,None
UE10919,XYZ410,-84.6,-6.4,20.2,None
UE10920,XYZ401,-121.4,-15.9,-10.5,Coverage
UE10921,XYZ402,-107.8,-13.5,-4.5,Interference
UE10922,XYZ403,-116.9,-10.5,8.2,Coverage
UE10923,XYZ404,-104.6,-11.5,-6.0,Interference
UE10924,XYZ405,-111.6,-11.5,3.8,Coverage
UE10925,XYZ406,-94.9,-11.2,2.6,Coverage
UE10926,XYZ407,-106.8,-12.3,9.3,Post_HO
UE10927,XYZ408,-102.1,-10.2,15.7,Coverage
UE10928,XYZ409,-88.5,-7.3,16.1,None
UE10929,XYZ410,-91.6,-9.8,18.6,None
UE10930,XYZ401,-116.2,-13.1,-10.5,Coverage
UE10931,XYZ402,-116.9,-14.4,-10.6,Coverage
UE10932,XYZ403,-119.6,-10.9,6.3,Coverage
UE10933,XYZ404,-113.4,-10.5,7.9,Coverage
UE10934,XYZ405,-112.7,-10.7,1.2,Coverage
UE10935,XYZ406,-106.6,-11.8,6.2,Coverage
UE10936,XYZ407,-101.6,-10.4,13.6,Post_HO
UE10937,XYZ408,-99.4,-10.1,6.1,Post_HO
UE10938,XYZ409,-92.8,-9.8,11.8,None
UE10939,XYZ410,-91.1,-9.8,14.5,None
UE10940,XYZ401,-121.5,-10.7,7.4,Coverage
UE10941,XYZ402,-116.0,-16.0,-2.7,Coverage
UE10942,XYZ403,-118.1,-15.3,-9.6,Coverage
UE10943,XYZ404,-110.8,-14.3,-2.8,Interference
UE10944,XYZ405,-115.5,-13.7,0.6,Coverage
UE10945,XYZ406,-100.1,-11.1,3.3,Coverage
UE10946,XYZ407,-102.5,-12.2,8.6,Interference
UE10947,XYZ408,-96.0,-10.5,14.5,Post_HO
UE10948,XYZ409,-92.1,-8.1,15.7,None
UE10949,XYZ410,-88.4,-10.2,22.0,None
UE10950,XYZ401,-114.2,-13.7,2.9,Coverage
UE10951,XYZ402,-116.7,-13.6,-1.3,Coverage
UE10952,XYZ403,-117.9,-14.7,-17.6,Coverage
UE10953,XYZ404,-110.2,-11.6,-1.0,Interference
UE10954,XYZ405,-108.7,-10.9,3.9,Coverage
UE10955,XYZ406,-104.9,-12.3,11.2,Post_HO
UE10956,XYZ407,-99.1,-9.7,11.2,Interference
UE10957,XYZ408,-104.1,-13.1,10.2,Coverage
UE10958,XYZ409,-84.3,-11.9,13.0,None
UE10959,XYZ410,-87.0,-8.0,16.6,None
UE10960,XYZ401,-118.3,-10.3,1.9,Coverage
UE10961,XYZ402,-114.4,-10.8,6.3,Coverage
UE10962,XYZ403,-115.0,-15.1,-13.2,Coverage
UE10963,XYZ404,-120.7,-13.5,-3.4,Coverage
UE10964,XYZ405,-106.9,-12.5,4.1,Post_HO
UE10965,XYZ406,-102.1,-9.7,4.6,Coverage
UE10966,XYZ407,-103.4,-8.4,10.5,Post_HO
UE10967,XYZ408,-100.2,-11.5,11.8,Coverage
UE10968,XYZ409,-89.3,-8.3,25.6,None
