cell_id,cqi,prb_util,dl_tp,rsrq,sinr,issue
XYZ402,7.3,74.7,244,-11.9,8.3,Scheduler
XYZ403,6.5,53.1,175,-13.9,-3.6,None
XYZ404,4.9,59.5,120,-12.4,0.1,RF
XYZ405,9.6,59.1,294,-12.2,5.6,Scheduler
XYZ406,10.8,58.6,473,-11.8,3.6,Scheduler
XYZ407,9.3,97.5,507,-9.5,11.9,Congestion
XYZ408,10.2,72.9,451,-11.3,4.7,Scheduler
XYZ409,11.9,52.8,725,-10.2,16.6,None
XYZ410,15.0,52.1,756,-7.7,21.1,None
XYZ401,5.9,68.8,125,-11.8,4.0,RF
XYZ402,4.8,58.1,266,-13.7,-2.0,RF
XYZ403,6.5,84.0,275,-11.7,4.2,Congestion
XYZ404,5.6,20.5,142,-14.7,-7.2,RF
XYZ405,8.6,41.2,280,-11.8,0.0,None
XYZ406,9.5,77.0,321,-9.1,13.9,Scheduler
XYZ407,12.0,86.5,266,-9.6,4.5,Congestion
XYZ408,11.8,92.5,361,-10.5,14.1,Congestion
XYZ409,8.8,40.7,640,-9.6,13.4,None
XYZ410,15.0,53.4,700,-9.4,22.1,None
XYZ401,7.9,68.8,168,-13.0,6.4,Scheduler
XYZ402,4.8,74.7,222,-10.4,11.2,RF
XYZ403,8.2,60.4,190,-13.2,2.6,Scheduler
XYZ404,5.1,62.2,114,-12.5,5.7,RF
XYZ405,5.6,81.1,303,-15.6,2.4,RF
XYZ406,6.3,35.5,307,-8.5,16.4,None
XYZ407,10.9,59.7,471,-11.0,12.1,Scheduler
XYZ408,10.6,63.9,354,-10.0,10.0,Scheduler
XYZ409,10.2,73.8,645,-8.0,20.2,Scheduler
XYZ410,10.1,70.8,749,-8.4,20.6,Scheduler
XYZ401,6.1,38.2,208,-13.7,-1.6,None
XYZ402,7.7,44.7,162,-8.6,6.6,None
XYZ403,9.7,47.0,227,-12.7,1.5,None
XYZ404,5.3,52.8,102,-12.6,-6.0,RF
XYZ405,7.9,98.0,201,-12.7,3.7,Congestion
XYZ406,8.9,66.3,469,-11.4,9.5,Scheduler
XYZ407,8.8,59.1,351,-10.9,2.2,Scheduler
XYZ408,12.1,85.7,641,-12.6,1.5,Congestion
XYZ409,10.5,51.4,592,-11.1,11.4,None
XYZ410,13.9,41.4,775,-9.9,20.8,None
XYZ401,6.9,55.7,153,-14.8,-2.3,Scheduler
XYZ402,8.2,33.1,244,-14.8,-12.6,None
XYZ403,5.1,21.0,207,-12.8,7.1,RF
XYZ404,8.6,46.3,79,-10.9,-1.7,None
XYZ405,7.8,60.2,368,-13.1,-3.1,Scheduler
XYZ406,7.7,81.1,398,-12.1,9.4,Scheduler
XYZ407,7.9,46.6,468,-12.2,11.5,None
XYZ408,10.9,65.0,628,-9.7,6.8,Scheduler
XYZ409,13.0,44.2,528,-7.7,21.3,None
XYZ410,12.9,46.9,700,-8.2,18.8,None
XYZ401,9.2,35.8,221,-12.3,-1.2,None
XYZ402,8.0,61.4,213,-11.0,4.8,Scheduler
XYZ403,6.6,68.5,230,-14.1,-9.8,Scheduler
XYZ404,3.4,56.7,100,-10.5,4.3,RF
XYZ405,6.8,75.2,322,-11.5,14.8,Scheduler
XYZ406,10.8,94.1,290,-10.1,11.2,Congestion
XYZ407,10.1,58.3,542,-13.3,13.1,Scheduler
XYZ408,6.7,41.2,467,-8.9,13.9,None
XYZ409,14.3,56.9,529,-8.9,20.4,Scheduler
XYZ410,13.1,26.0,721,-6.8,18.5,None
XYZ401,7.6,40.4,192,-13.1,2.4,None
XYZ402,5.8,76.9,287,-14.9,-7.7,RF
XYZ403,6.5,81.9,240,-16.6,-10.5,Scheduler
XYZ404,8.7,92.4,115,-12.3,-1.3,Scheduler
XYZ405,8.9,53.0,472,-10.5,3.2,None
XYZ406,11.0,80.8,268,-12.9,3.5,Scheduler
XYZ407,8.2,81.6,555,-10.7,11.5,Scheduler
XYZ408,11.3,33.6,497,-11.2,8.7,None
XYZ409,11.8,48.4,529,-9.0,6.9,None
XYZ410,11.8,22.6,639,-10.9,16.0,None
XYZ401,6.0,51.6,180,-15.3,-9.4,RF
XYZ402,8.0,47.5,207,-11.6,2.0,None
XYZ403,7.5,42.9,156,-15.4,-1.2,None
XYZ404,5.8,69.6,119,-12.3,-3.2,RF
XYZ405,7.8,69.7,277,-15.5,-4.1,Scheduler
XYZ406,7.6,86.0,443,-12.2,10.1,Congestion
XYZ407,9.4,79.7,377,-10.1,9.2,Scheduler
XYZ408,10.0,73.7,463,-10.1,13.3,Scheduler
XYZ409,10.1,35.1,728,-7.5,22.3,None
XYZ410,14.0,16.2,643,-7.2,24.3,None
XYZ401,4.7,60.3,220,-16.0,-16.9,RF
XYZ402,6.6,71.0,232,-12.5,-1.0,Scheduler
XYZ403,3.3,52.5,132,-12.1,-1.8,RF
XYZ404,2.0,54.8,121,-12.3,3.5,Scheduler
XYZ405,7.7,21.1,406,-11.9,6.4,None
XYZ406,8.6,32.8,286,-10.1,19.5,None
XYZ407,10.7,69.8,459,-10.2,9.5,Scheduler
XYZ408,12.8,38.2,542,-13.5,2.9,None
XYZ409,13.9,22.0,646,-8.8,15.5,None
XYZ410,14.3,60.0,531,-10.3,16.6,Scheduler
XYZ401,6.0,26.3,182,-11.7,-1.6,RF
XYZ402,4.2,27.9,202,-12.2,10.0,RF
XYZ403,6.9,63.8,225,-13.7,-7.4,Scheduler
XYZ404,6.5,83.4,175,-11.9,2.8,Backhaul
XYZ405,6.4,37.8,286,-11.0,11.4,None
XYZ406,12.0,47.8,391,-9.1,9.7,None
XYZ407,9.9,47.6,401,-10.8,7.6,None
XYZ408,12.1,43.5,397,-9.2,12.4,None
XYZ409,10.9,39.1,516,-9.7,16.7,None
XYZ410,11.3,68.3,810,-6.5,23.1,Scheduler
XYZ401,5.5,63.5,173,-12.4,-10.3,RF
XYZ402,5.1,88.9,210,-11.8,4.1,Congestion
XYZ403,5.3,68.0,167,-14.0,-4.9,RF
XYZ404,9.7,72.0,88,-13.2,-3.0,Scheduler
XYZ405,5.6,46.5,224,-10.9,6.5,RF
XYZ406,7.5,63.7,375,-8.7,8.7,Scheduler
XYZ407,9.7,54.6,409,-12.5,10.8,None
XYZ408,11.3,63.7,385,-10.1,10.7,Scheduler
XYZ409,10.9,64.1,721,-9.0,17.4,Scheduler
XYZ410,15.0,35.4,951,-10.0,15.8,None
XYZ401,9.7,32.3,182,-14.4,-14.4,None
XYZ402,6.1,66.5,234,-12.6,3.5,Scheduler
XYZ403,4.9,71.6,171,-13.2,3.8,RF
XYZ404,4.1,67.6,126,-12.4,-2.3,RF
XYZ405,10.5,64.8,385,-11.4,-1.2,Scheduler
XYZ406,9.1,83.8,463,-12.1,2.8,Congestion
XYZ407,8.8,41.3,382,-10.9,6.0,None
XYZ408,11.7,66.2,387,-11.5,12.8,Scheduler
XYZ409,14.1,58.0,586,-11.4,15.8,Scheduler
XYZ410,13.1,61.4,396,-8.1,21.0,Scheduler
XYZ401,6.8,66.6,178,-14.1,-6.4,Scheduler
XYZ402,4.0,51.1,223,-12.0,3.0,RF
XYZ403,6.4,54.2,226,-13.8,4.7,None
XYZ404,8.7,60.7,101,-9.3,9.3,Scheduler
XYZ405,5.9,68.1,313,-11.9,5.1,RF
XYZ406,6.9,54.7,288,-11.4,10.5,None
XYZ407,8.9,51.2,481,-9.0,9.6,None
XYZ408,10.0,52.7,471,-13.2,9.7,None
XYZ409,13.4,93.5,582,-9.9,11.3,Congestion
XYZ410,13.1,11.3,597,-6.3,20.9,None
XYZ401,6.2,70.3,222,-12.1,7.7,Scheduler
XYZ402,7.1,95.3,234,-13.0,-7.3,Congestion
XYZ403,3.3,72.7,214,-12.6,0.7,RF
XYZ404,8.8,69.5,140,-14.0,5.8,Scheduler
XYZ405,5.0,55.5,364,-9.3,3.1,RF
XYZ406,8.9,53.0,325,-12.2,-3.9,None
XYZ407,11.3,98.0,415,-10.0,14.1,Congestion
XYZ408,9.8,65.3,586,-10.5,8.0,Scheduler
XYZ409,12.1,39.9,436,-7.8,15.0,None
XYZ410,14.3,22.6,856,-8.6,19.2,None
XYZ401,5.2,31.9,199,-13.6,8.3,RF
XYZ402,7.0,29.2,131,-12.4,14.5,None
XYZ403,3.1,80.1,174,-13.5,-0.8,RF
XYZ404,8.9,80.2,102,-12.0,4.3,RF
XYZ405,9.1,64.0,304,-12.9,-0.3,Scheduler
XYZ406,9.7,55.8,324,-12.1,5.8,Scheduler
XYZ407,10.6,75.6,336,-8.6,16.0,Scheduler
XYZ408,9.6,42.9,363,-11.7,10.7,None
XYZ409,10.5,76.3,656,-7.4,22.3,Scheduler
XYZ410,13.0,42.7,686,-8.7,22.5,None
XYZ401,6.0,38.2,167,-14.7,0.2,RF
XYZ402,6.1,65.7,210,-14.0,1.8,Scheduler
XYZ403,8.4,62.9,233,-11.0,7.1,Scheduler
XYZ404,6.9,77.9,129,-13.4,-11.5,Scheduler
XYZ405,9.2,98.0,300,-10.3,7.3,Congestion
XYZ406,9.5,77.1,512,-10.7,7.2,Scheduler
XYZ407,9.6,82.6,422,-11.0,8.4,Congestion
XYZ408,8.0,98.0,280,-10.4,7.3,Congestion
XYZ409,15.0,88.7,693,-8.8,19.7,Congestion
XYZ410,12.9,48.4,491,-7.0,22.3,None
XYZ401,4.9,49.8,183,-12.3,-0.0,RF
XYZ402,8.3,49.8,185,-12.2,0.6,None
XYZ403,5.5,85.5,158,-12.8,-2.6,Congestion
XYZ404,7.4,70.9,148,-13.4,-0.9,Backhaul
XYZ405,7.5,98.0,276,-13.8,2.8,Congestion
XYZ406,8.8,51.0,441,-14.0,-1.6,None
XYZ407,9.0,79.7,361,-9.5,6.8,Scheduler
XYZ408,9.8,45.0,514,-13.4,7.0,None
XYZ409,14.1,57.8,744,-10.8,9.9,Scheduler
XYZ410,15.0,48.8,515,-8.6,18.3,None
XYZ401,3.9,33.1,159,-13.1,-7.3,RF
XYZ402,7.0,88.1,179,-11.7,5.8,Congestion
XYZ403,5.9,64.7,162,-13.0,-3.3,RF
XYZ404,6.9,75.2,82,-14.2,4.3,Backhaul
XYZ405,9.0,64.2,241,-12.6,6.1,Scheduler
XYZ406,8.4,70.2,474,-10.6,9.5,Scheduler
XYZ407,9.7,67.3,368,-11.8,11.5,Scheduler
XYZ408,10.8,65.3,443,-10.4,3.7,Scheduler
XYZ409,13.0,35.0,656,-9.1,17.8,None
XYZ410,15.0,31.1,766,-8.6,21.2,None
XYZ401,5.1,64.0,161,-13.7,1.1,RF
XYZ402,5.8,46.8,192,-12.6,-1.4,RF
XYZ403,3.6,86.1,181,-12.7,7.2,Congestion
XYZ404,5.4,66.0,125,-13.4,5.8,Backhaul
XYZ405,7.4,59.3,435,-11.1,3.1,Scheduler
XYZ406,10.0,48.8,391,-10.5,4.4,None
XYZ407,10.3,65.3,523,-12.4,5.0,Scheduler
XYZ408,9.1,77.7,513,-10.9,10.8,Scheduler
XYZ409,11.2,33.2,526,-9.1,12.7,None
XYZ410,15.0,33.1,489,-6.8,25.8,None
XYZ401,3.2,39.1,181,-15.9,-21.6,RF
XYZ402,5.1,70.8,319,-10.2,3.9,RF
XYZ403,2.3,58.2,250,-11.2,8.0,RF
XYZ404,5.0,56.5,105,-12.4,2.4,RF
XYZ405,8.0,49.7,388,-11.3,-1.5,None
XYZ406,9.8,63.4,276,-12.6,6.1,Scheduler
XYZ407,9.8,45.4,415,-12.3,8.9,None
XYZ408,8.8,43.6,442,-8.4,6.2,None
XYZ409,8.8,12.4,392,-12.4,9.0,None
XYZ410,12.8,28.6,765,-8.9,24.8,None
XYZ401,5.2,48.3,125,-15.7,-3.9,RF
XYZ402,8.2,96.8,230,-14.8,-5.0,Congestion
XYZ403,7.4,48.4,146,-12.2,-3.1,None
XYZ404,8.5,53.6,122,-12.1,0.7,Scheduler
XYZ405,7.7,69.1,337,-10.5,4.0,Scheduler
XYZ406,5.8,54.0,396,-10.0,9.4,RF
XYZ407,9.7,68.2,500,-12.8,8.8,Scheduler
XYZ408,8.6,54.3,536,-10.4,10.3,None
XYZ409,14.1,49.8,713,-11.4,15.9,None
XYZ410,15.0,26.5,828,-9.1,20.5,None
XYZ401,5.9,37.6,173,-15.6,-16.5,RF
XYZ402,6.8,51.8,224,-9.7,5.8,None
XYZ403,6.3,47.7,203,-14.0,-4.6,None
XYZ404,9.5,67.9,76,-10.5,4.9,Scheduler
XYZ405,8.7,51.4,438,-12.3,1.3,None
XYZ406,8.2,63.5,389,-13.4,-2.0,Scheduler
XYZ407,8.6,55.4,414,-10.2,6.7,Scheduler
XYZ408,14.1,84.4,438,-12.3,3.3,Congestion
XYZ409,11.1,86.3,562,-9.0,16.3,Congestion
XYZ410,14.3,23.6,566,-7.6,19.3,None
XYZ401,7.3,80.9,234,-12.9,-6.4,Scheduler
XYZ402,8.1,28.7,201,-12.8,3.6,None
XYZ403,7.2,94.9,222,-11.4,1.5,Congestion
XYZ404,5.4,73.1,136,-13.9,-3.0,RF
XYZ405,5.5,75.7,376,-13.7,1.6,RF
XYZ406,8.5,54.3,396,-8.1,9.4,None
XYZ407,6.4,81.2,445,-11.2,3.7,Scheduler
XYZ408,13.8,79.7,488,-11.3,14.4,Scheduler
XYZ409,13.3,30.5,558,-7.7,16.7,None
XYZ410,14.3,89.0,465,-7.1,23.5,Congestion
XYZ401,3.6,83.3,199,-14.9,-12.9,Congestion
XYZ402,8.3,78.3,190,-14.1,2.1,Scheduler
XYZ403,6.7,39.0,178,-13.5,-8.2,None
XYZ404,3.1,82.3,142,-11.3,1.2,Congestion
XYZ405,10.2,80.7,323,-11.4,8.5,Scheduler
XYZ406,7.9,32.2,404,-11.9,7.4,None
XYZ407,12.6,44.6,384,-10.4,13.4,None
XYZ408,7.0,72.7,615,-10.9,10.2,Scheduler
XYZ409,12.2,21.7,756,-6.9,20.6,None
XYZ410,14.7,43.1,813,-8.2,23.4,None
XYZ401,7.3,72.5,124,-17.0,-18.4,Scheduler
XYZ402,7.9,54.5,236,-13.4,2.2,None
XYZ403,5.5,54.9,173,-13.5,-2.4,RF
XYZ404,6.3,58.1,105,-13.7,3.0,Backhaul
XYZ405,8.9,33.9,340,-12.1,-1.4,None
XYZ406,7.6,55.7,261,-12.0,2.7,Scheduler
XYZ407,6.7,74.2,426,-13.7,7.1,Scheduler
XYZ408,8.3,89.5,468,-11.8,8.8,Congestion
XYZ409,13.1,44.9,662,-9.4,14.4,None
XYZ410,14.6,40.6,648,-9.5,20.9,None
XYZ401,7.1,73.2,178,-15.2,-8.3,Scheduler
XYZ402,7.3,90.7,199,-13.6,-2.1,Congestion
XYZ403,7.0,51.0,161,-12.6,4.0,None
XYZ404,5.5,67.4,122,-11.5,10.3,RF
XYZ405,7.5,67.6,300,-12.1,-0.8,Scheduler
XYZ406,6.2,57.0,354,-13.7,-0.1,Scheduler
XYZ407,6.4,66.2,293,-10.2,7.4,Scheduler
XYZ408,11.9,98.0,334,-8.1,9.7,Congestion
XYZ409,10.9,71.1,614,-10.4,17.3,Scheduler
XYZ410,15.0,41.5,600,-6.7,19.2,None
XYZ401,5.8,44.5,156,-12.1,0.9,RF
XYZ402,5.3,56.0,238,-13.2,-5.4,RF
XYZ403,3.0,94.0,224,-14.4,-2.7,Congestion
XYZ404,4.6,61.9,119,-11.8,7.4,Scheduler
XYZ405,7.8,48.9,346,-10.6,2.6,None
XYZ406,10.9,71.0,314,-11.8,3.7,Scheduler
XYZ407,5.1,39.9,505,-11.3,11.2,RF
XYZ408,8.8,56.7,485,-10.1,13.2,Scheduler
XYZ409,13.7,26.7,540,-11.1,17.8,None
XYZ410,14.6,43.1,845,-7.6,15.2,None
XYZ401,9.8,53.0,166,-14.0,-1.8,None
XYZ402,4.6,87.2,201,-13.5,1.7,Congestion
XYZ403,5.5,28.5,275,-12.1,0.4,RF
XYZ404,5.9,63.0,137,-13.2,4.2,RF
XYZ405,6.0,79.4,425,-12.8,4.1,RF
XYZ406,7.8,56.6,369,-11.4,5.1,Scheduler
XYZ407,5.4,57.9,345,-10.6,10.8,RF
XYZ408,10.3,98.0,594,-9.1,8.8,Congestion
XYZ409,10.3,42.3,449,-9.9,17.2,None
XYZ410,13.2,53.1,752,-8.7,21.1,None
XYZ401,6.3,70.4,190,-15.5,-9.9,Scheduler
XYZ402,5.5,98.0,198,-9.8,12.1,Congestion
XYZ403,6.1,62.1,138,-11.8,1.8,Scheduler
XYZ404,8.8,43.6,99,-13.7,2.5,None
XYZ405,8.1,68.2,453,-10.0,12.0,Scheduler
XYZ406,9.7,36.3,411,-10.1,12.4,None
XYZ407,9.6,82.2,413,-14.0,3.7,Congestion
XYZ408,8.6,73.3,535,-9.9,15.2,Scheduler
XYZ409,11.5,41.9,458,-6.7,18.2,None
XYZ410,15.0,44.2,713,-6.4,19.0,None
XYZ401,5.0,50.3,206,-12.6,-6.3,RF
XYZ402,1.9,58.1,198,-12.8,0.9,RF
XYZ403,7.2,93.5,153,-14.9,-6.3,Congestion
XYZ404,5.2,46.9,112,-13.5,-0.8,RF
XYZ405,7.5,49.5,230,-11.6,4.7,None
XYZ406,12.5,43.3,349,-11.3,8.2,None
XYZ407,8.4,80.1,489,-11.6,9.5,Scheduler
XYZ408,11.8,66.1,478,-9.8,11.3,Scheduler
XYZ409,12.2,61.1,529,-8.0,16.1,Scheduler
XYZ410,13.8,22.9,642,-9.3,19.5,None
XYZ401,7.3,54.2,188,-15.9,-4.9,None
XYZ402,8.5,67.6,236,-15.8,-7.8,Scheduler
XYZ403,7.0,86.9,182,-13.1,-4.7,Congestion
XYZ404,6.2,69.7,149,-13.2,-2.0,Backhaul
XYZ405,5.9,55.4,204,-10.6,2.7,RF
XYZ406,9.3,62.1,368,-11.8,9.1,Scheduler
XYZ407,7.4,68.9,365,-10.1,10.0,Scheduler
XYZ408,10.0,46.5,595,-10.1,16.4,None
XYZ409,11.2,28.3,744,-9.5,12.3,None
XYZ410,15.0,65.4,910,-9.4,17.8,Scheduler
XYZ401,8.1,44.0,181,-14.2,-11.8,None
XYZ402,8.7,44.5,197,-15.6,-11.6,None
XYZ403,7.1,62.7,223,-13.5,-4.5,Scheduler
XYZ404,5.6,74.7,97,-9.8,7.8,RF
XYZ405,7.4,90.9,299,-11.0,-3.4,Congestion
XYZ406,9.5,64.7,456,-10.3,10.5,Scheduler
XYZ407,11.4,58.8,447,-10.3,6.1,Scheduler
XYZ408,10.5,51.0,527,-9.7,12.8,None
XYZ409,11.8,39.4,731,-9.2,11.8,None
XYZ410,14.0,67.9,719,-10.8,22.7,Scheduler
XYZ401,1.9,69.7,210,-10.4,8.9,RF
XYZ402,7.3,45.3,214,-14.2,-9.2,None
XYZ403,5.4,91.2,248,-11.8,3.7,Congestion
XYZ404,4.0,69.0,122,-13.0,3.3,Backhaul
XYZ405,7.2,84.0,341,-9.8,5.8,Congestion
XYZ406,9.2,33.5,361,-12.3,7.1,None
XYZ407,9.3,66.7,499,-8.8,15.8,Scheduler
XYZ408,15.0,59.6,488,-9.8,10.5,Scheduler
XYZ409,14.4,53.3,457,-10.5,20.3,None
XYZ410,10.0,70.3,832,-5.3,17.4,Scheduler
XYZ401,11.4,71.4,130,-15.0,-12.3,Scheduler
XYZ402,11.3,53.0,239,-12.3,8.4,None
XYZ403,6.3,63.1,137,-13.1,-11.3,Scheduler
XYZ404,2.9,92.6,104,-13.0,3.4,Congestion
XYZ405,8.1,80.0,279,-11.0,13.5,Scheduler
XYZ406,7.6,90.8,309,-10.9,8.1,Congestion
XYZ407,6.1,61.5,526,-10.5,4.6,Scheduler
XYZ408,12.7,58.0,423,-10.9,8.5,Scheduler
XYZ409,10.6,71.4,614,-13.3,16.1,Scheduler
XYZ410,12.2,53.0,813,-8.5,19.1,None
XYZ401,3.4,63.0,181,-15.6,-3.8,RF
XYZ402,8.2,66.9,160,-11.3,-1.0,Scheduler
XYZ403,9.1,51.4,200,-17.1,-14.4,None
XYZ404,8.5,64.8,97,-12.5,-8.8,Backhaul
XYZ405,7.0,84.5,368,-13.0,3.1,Congestion
XYZ406,7.1,89.0,313,-9.4,4.9,Congestion
XYZ407,8.4,66.1,505,-10.6,6.6,Scheduler
XYZ408,11.3,91.8,537,-10.2,6.9,Congestion
XYZ409,11.5,46.4,649,-7.4,15.6,None
XYZ410,15.0,42.3,699,-8.3,21.9,None
XYZ401,5.8,55.4,193,-11.4,-0.8,RF
XYZ402,8.4,62.7,229,-11.3,-1.5,Scheduler
XYZ403,3.9,83.8,186,-11.7,3.3,Congestion
XYZ404,6.8,74.9,135,-14.3,2.7,Scheduler
XYZ405,8.6,66.5,312,-11.9,7.8,Scheduler
XYZ406,11.3,75.6,433,-12.8,5.5,Scheduler
XYZ407,6.5,63.8,313,-10.9,7.7,Scheduler
XYZ408,9.3,72.6,499,-11.7,6.4,Scheduler
XYZ409,11.9,46.0,664,-10.2,13.2,None
XYZ410,15.0,50.0,650,-9.5,20.5,None
XYZ401,5.6,64.8,135,-12.5,-1.9,RF
XYZ402,5.2,74.5,234,-8.9,14.1,RF
XYZ403,8.3,67.3,188,-13.9,-19.1,Scheduler
XYZ404,8.2,46.1,119,-11.4,2.0,None
XYZ405,2.2,52.5,331,-12.6,2.2,RF
XYZ406,6.0,68.9,441,-11.6,10.1,RF
XYZ407,11.2,77.0,374,-11.2,4.5,Scheduler
XYZ408,11.1,49.5,497,-10.0,9.0,None
XYZ409,13.7,26.6,784,-8.8,13.1,None
XYZ410,13.4,51.6,498,-7.1,25.4,None
XYZ401,5.4,61.3,134,-12.5,-2.8,RF
XYZ402,6.7,65.6,200,-13.0,-1.4,Scheduler
XYZ403,7.9,14.5,186,-15.8,-5.4,None
XYZ404,7.0,69.5,110,-11.3,-4.0,Backhaul
XYZ405,9.1,79.6,365,-10.6,8.0,Scheduler
XYZ406,8.0,58.9,406,-12.9,7.5,Scheduler
XYZ407,11.2,98.0,331,-11.7,8.2,Congestion
XYZ408,11.1,83.2,353,-9.6,12.6,Congestion
XYZ409,14.9,51.6,656,-7.3,17.6,None
XYZ410,12.4,26.1,557,-9.2,16.1,None
XYZ401,4.6,53.6,154,-12.2,-0.3,RF
XYZ402,7.1,34.5,237,-13.2,-1.6,None
XYZ403,3.9,82.6,145,-11.7,-2.8,Congestion
XYZ404,6.3,37.7,99,-14.8,-10.5,None
XYZ405,8.6,72.1,255,-13.5,5.9,Scheduler
XYZ406,6.6,41.4,247,-12.1,5.3,None
XYZ407,8.3,95.5,487,-10.4,15.1,Congestion
XYZ408,13.4,58.9,683,-11.7,10.7,Scheduler
XYZ409,10.5,55.5,735,-9.4,17.7,Scheduler
XYZ410,13.4,51.0,530,-8.0,16.3,None
XYZ401,6.4,98.0,172,-17.0,-13.9,Congestion
XYZ402,6.9,87.1,206,-12.9,-4.1,Congestion
XYZ403,6.8,71.4,175,-11.1,0.4,Scheduler
XYZ404,7.2,91.2,116,-11.9,2.8,RF
XYZ405,6.2,52.2,389,-13.0,-2.3,None
XYZ406,9.0,76.5,448,-12.2,0.1,Scheduler
XYZ407,13.3,98.0,439,-11.9,1.8,Congestion
XYZ408,9.6,77.4,560,-11.5,6.6,Scheduler
XYZ409,12.5,38.7,436,-7.5,20.9,None
XYZ410,15.0,35.8,579,-10.1,19.5,None
XYZ401,7.4,64.7,194,-9.9,0.3,Scheduler
XYZ402,7.8,66.8,222,-12.4,-3.8,Scheduler
XYZ403,6.3,48.9,183,-11.1,14.0,None
XYZ404,6.4,93.0,110,-12.0,-3.1,RF
XYZ405,6.2,45.2,294,-10.4,5.9,None
XYZ406,9.2,73.9,293,-11.8,6.2,Scheduler
XYZ407,10.1,65.2,510,-8.8,5.7,Scheduler
XYZ408,6.5,45.6,388,-13.5,7.6,None
XYZ409,11.4,51.0,596,-10.2,11.7,None
XYZ410,13.7,56.7,1006,-10.4,17.8,Scheduler
XYZ401,2.7,65.4,157,-16.2,-11.3,RF
XYZ402,2.7,69.3,146,-12.6,-0.6,RF
XYZ403,7.0,42.3,221,-16.7,-1.6,None
XYZ404,6.3,40.1,143,-11.1,-1.0,None
XYZ405,8.6,46.6,343,-11.8,7.7,None
XYZ406,9.9,62.2,441,-11.1,8.9,Scheduler
XYZ407,12.3,68.1,370,-9.8,7.5,Scheduler
XYZ408,11.8,57.5,511,-11.8,8.9,Scheduler
XYZ409,10.9,28.3,780,-6.3,22.8,None
XYZ410,14.5,62.9,764,-9.1,24.2,Scheduler
XYZ401,5.2,82.2,195,-11.0,5.6,Congestion
XYZ402,4.1,77.9,239,-10.8,9.1,RF
XYZ403,5.3,44.5,202,-12.9,-1.4,RF
XYZ404,5.2,45.0,121,-13.7,3.2,Backhaul
XYZ405,7.8,42.5,399,-13.3,10.6,None
XYZ406,6.2,75.7,331,-8.3,16.4,Scheduler
XYZ407,8.2,50.2,310,-12.3,8.4,None
XYZ408,11.0,56.8,544,-10.9,14.3,Scheduler
XYZ409,11.1,62.8,891,-7.7,18.0,Scheduler
XYZ410,12.5,43.6,691,-6.9,18.9,None
XYZ401,6.8,57.7,151,-13.1,-18.0,Scheduler
XYZ402,6.7,26.7,186,-9.0,5.1,None
XYZ403,5.0,87.8,218,-11.8,7.8,Congestion
XYZ404,9.1,34.4,135,-11.0,-0.3,None
XYZ405,9.0,71.1,429,-12.9,2.0,Scheduler
XYZ406,7.8,62.0,388,-10.4,9.9,Scheduler
