timestamp,cell_id,ue_id,issue_domain,event_type,result,cause,rsrp,sinr,cqi,target_cell,source_cell,dl_tp,prb_util,severity,alarm_name,module,event_code,message,details,beam_id,beam_health_score,beam_switch_rate
,XYZ405,UE10784,handover,SUCCESS,SUCCESS,,-85,-1,,,XYZ405,,,,,,,,,,,
,XYZ401,UE10893,handover,WRONG_CELL,FAIL,,-123,9,,,XYZ401,,,,,,,,,,,
,XYZ404,UE10775,handover,TOO_EARLY_HO,FAIL,,-91,17,,,XYZ404,,,,,,,,,,,
,XYZ404,UE10568,handover,TOO_EARLY_HO,FAIL,,-93,13,,,XYZ404,,,,,,,,,,,
,XYZ406,UE10297,handover,SUCCESS,SUCCESS,,-104,-6,,,XYZ406,,,,,,,,,,,
,XYZ410,UE10609,handover,PING_PONG,FAIL,,-76,1,,,XYZ410,,,,,,,,,,,
,XYZ409,UE10136,handover,PREP_FAILURE,FAIL,,-82,24,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10375,handover,WRONG_CELL,FAIL,,-117,-9,,,XYZ403,,,,,,,,,,,
,XYZ409,UE10086,handover,SUCCESS,SUCCESS,,-85,-2,,,XYZ409,,,,,,,,,,,
,XYZ406,UE10418,handover,SUCCESS,SUCCESS,,-108,11,,,XYZ406,,,,,,,,,,,
,XYZ407,UE10753,handover,SUCCESS,SUCCESS,,-76,-6,,,XYZ407,,,,,,,,,,,
,XYZ410,UE10198,handover,SUCCESS,SUCCESS,,-97,1,,,XYZ410,,,,,,,,,,,
,XYZ402,UE10462,handover,XN_FAILURE,FAIL,,-87,-10,,,XYZ402,,,,,,,,,,,
,XYZ410,UE10436,handover,PING_PONG,FAIL,,-99,11,,,XYZ410,,,,,,,,,,,
,XYZ406,UE10309,handover,SUCCESS,SUCCESS,,-90,8,,,XYZ406,,,,,,,,,,,
,XYZ406,UE10595,handover,XN_FAILURE,FAIL,,-81,5,,,XYZ406,,,,,,,,,,,
,XYZ402,UE10753,handover,SUCCESS,SUCCESS,,-109,20,,,XYZ402,,,,,,,,,,,
,XYZ402,UE10280,handover,SUCCESS,SUCCESS,,-92,-8,,,XYZ402,,,,,,,,,,,
,XYZ402,UE10322,handover,SUCCESS,SUCCESS,,-80,12,,,XYZ402,,,,,,,,,,,
,XYZ410,UE10763,handover,WRONG_CELL,FAIL,,-123,7,,,XYZ410,,,,,,,,,,,
,XYZ401,UE10701,handover,PING_PONG,FAIL,,-121,15,,,XYZ401,,,,,,,,,,,
,XYZ405,UE10950,handover,SUCCESS,SUCCESS,,-112,2,,,XYZ405,,,,,,,,,,,
,XYZ408,UE10941,handover,WRONG_CELL,FAIL,,-123,7,,,XYZ408,,,,,,,,,,,
,XYZ402,UE10151,handover,SUCCESS,SUCCESS,,-103,-8,,,XYZ402,,,,,,,,,,,
,XYZ405,UE10993,handover,SUCCESS,SUCCESS,,-87,12,,,XYZ405,,,,,,,,,,,
,XYZ408,UE10301,handover,SUCCESS,SUCCESS,,-96,-8,,,XYZ408,,,,,,,,,,,
,XYZ410,UE10277,handover,TOO_EARLY_HO,FAIL,,-76,14,,,XYZ410,,,,,,,,,,,
,XYZ405,UE10650,handover,TOO_EARLY_HO,FAIL,,-81,16,,,XYZ405,,,,,,,,,,,
,XYZ402,UE10687,handover,SUCCESS,SUCCESS,,-103,16,,,XYZ402,,,,,,,,,,,
,XYZ403,UE10007,handover,SUCCESS,SUCCESS,,-99,14,,,XYZ403,,,,,,,,,,,
,XYZ406,UE10806,handover,WRONG_CELL,FAIL,,-116,13,,,XYZ406,,,,,,,,,,,
,XYZ405,UE10234,handover,SUCCESS,SUCCESS,,-101,-3,,,XYZ405,,,,,,,,,,,
,XYZ404,UE10674,handover,SUCCESS,SUCCESS,,-113,-2,,,XYZ404,,,,,,,,,,,
,XYZ404,UE10560,handover,PING_PONG,FAIL,,-110,19,,,XYZ404,,,,,,,,,,,
,XYZ405,UE10301,handover,SUCCESS,SUCCESS,,-85,8,,,XYZ405,,,,,,,,,,,
,XYZ402,UE10037,handover,SUCCESS,SUCCESS,,-92,5,,,XYZ402,,,,,,,,,,,
,XYZ409,UE10135,handover,TOO_EARLY_HO,FAIL,,-89,13,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10821,handover,SUCCESS,SUCCESS,,-104,10,,,XYZ402,,,,,,,,,,,
,XYZ410,UE10420,handover,SUCCESS,SUCCESS,,-109,-5,,,XYZ410,,,,,,,,,,,
,XYZ402,UE10218,handover,SUCCESS,SUCCESS,,-103,-6,,,XYZ402,,,,,,,,,,,
,XYZ410,UE10347,handover,SUCCESS,SUCCESS,,-90,3,,,XYZ410,,,,,,,,,,,
,XYZ409,UE10807,handover,SUCCESS,SUCCESS,,-77,-7,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10545,handover,WRONG_CELL,FAIL,,-117,-3,,,XYZ403,,,,,,,,,,,
,XYZ410,UE10863,handover,WRONG_CELL,FAIL,,-124,13,,,XYZ410,,,,,,,,,,,
,XYZ407,UE10078,handover,SUCCESS,SUCCESS,,-94,0,,,XYZ407,,,,,,,,,,,
,XYZ404,UE10747,handover,SUCCESS,SUCCESS,,-76,6,,,XYZ404,,,,,,,,,,,
,XYZ406,UE10894,handover,SUCCESS,SUCCESS,,-104,10,,,XYZ406,,,,,,,,,,,
,XYZ404,UE10272,handover,TOO_EARLY_HO,FAIL,,-83,15,,,XYZ404,,,,,,,,,,,
,XYZ410,UE10160,handover,SUCCESS,SUCCESS,,-113,16,,,XYZ410,,,,,,,,,,,
,XYZ407,UE10686,handover,WRONG_CELL,FAIL,,-118,5,,,XYZ407,,,,,,,,,,,
,XYZ401,UE10877,handover,WRONG_CELL,FAIL,,-125,15,,,XYZ401,,,,,,,,,,,
,XYZ403,UE10307,handover,SUCCESS,SUCCESS,,-109,22,,,XYZ403,,,,,,,,,,,
,XYZ403,UE10373,handover,PREP_FAILURE,FAIL,,-114,20,,,XYZ403,,,,,,,,,,,
,XYZ401,UE10975,handover,WRONG_CELL,FAIL,,-122,-5,,,XYZ401,,,,,,,,,,,
,XYZ406,UE10732,handover,SUCCESS,SUCCESS,,-113,-3,,,XYZ406,,,,,,,,,,,
,XYZ409,UE10008,handover,SUCCESS,SUCCESS,,-95,-4,,,XYZ409,,,,,,,,,,,
,XYZ408,UE10800,handover,TOO_EARLY_HO,FAIL,,-85,23,,,XYZ408,,,,,,,,,,,
,XYZ407,UE10443,handover,WRONG_CELL,FAIL,,-119,3,,,XYZ407,,,,,,,,,,,
,XYZ410,UE10112,handover,SUCCESS,SUCCESS,,-103,5,,,XYZ410,,,,,,,,,,,
,XYZ408,UE10988,handover,SUCCESS,SUCCESS,,-102,-2,,,XYZ408,,,,,,,,,,,
,XYZ406,UE10204,handover,WRONG_CELL,FAIL,,-121,-1,,,XYZ406,,,,,,,,,,,
,XYZ409,UE10404,handover,WRONG_CELL,FAIL,,-121,6,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10697,handover,SUCCESS,SUCCESS,,-109,1,,,XYZ403,,,,,,,,,,,
,XYZ410,UE10852,handover,SUCCESS,SUCCESS,,-96,-5,,,XYZ410,,,,,,,,,,,
,XYZ410,UE10196,handover,WRONG_CELL,FAIL,,-117,8,,,XYZ410,,,,,,,,,,,
,XYZ409,UE10777,handover,WRONG_CELL,FAIL,,-120,18,,,XYZ409,,,,,,,,,,,
,XYZ404,UE10773,handover,SUCCESS,SUCCESS,,-101,-5,,,XYZ404,,,,,,,,,,,
,XYZ407,UE10759,handover,SUCCESS,SUCCESS,,-107,14,,,XYZ407,,,,,,,,,,,
,XYZ409,UE10114,handover,SUCCESS,SUCCESS,,-110,13,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10120,handover,PING_PONG,FAIL,,-105,14,,,XYZ402,,,,,,,,,,,
,XYZ402,UE10652,handover,WRONG_CELL,FAIL,,-124,5,,,XYZ402,,,,,,,,,,,
,XYZ409,UE10064,handover,WRONG_CELL,FAIL,,-116,5,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10275,handover,PREP_FAILURE,FAIL,,-110,-5,,,XYZ403,,,,,,,,,,,
,XYZ409,UE10824,handover,SUCCESS,SUCCESS,,-89,10,,,XYZ409,,,,,,,,,,,
,XYZ405,UE10238,handover,SUCCESS,SUCCESS,,-111,-7,,,XYZ405,,,,,,,,,,,
,XYZ406,UE10301,handover,PREP_FAILURE,FAIL,,-113,23,,,XYZ406,,,,,,,,,,,
,XYZ402,UE10391,handover,SUCCESS,SUCCESS,,-113,17,,,XYZ402,,,,,,,,,,,
,XYZ408,UE10521,handover,TOO_EARLY_HO,FAIL,,-94,17,,,XYZ408,,,,,,,,,,,
,XYZ409,UE10968,handover,SUCCESS,SUCCESS,,-81,6,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10368,handover,SUCCESS,SUCCESS,,-79,3,,,XYZ402,,,,,,,,,,,
,XYZ406,UE10232,handover,SUCCESS,SUCCESS,,-80,-4,,,XYZ406,,,,,,,,,,,
,XYZ406,UE10194,handover,WRONG_CELL,FAIL,,-118,11,,,XYZ406,,,,,,,,,,,
,XYZ408,UE10906,handover,PING_PONG,FAIL,,-83,-10,,,XYZ408,,,,,,,,,,,
,XYZ410,UE10011,handover,PING_PONG,FAIL,,-108,18,,,XYZ410,,,,,,,,,,,
,XYZ405,UE10905,handover,XN_FAILURE,FAIL,,-90,20,,,XYZ405,,,,,,,,,,,
,XYZ409,UE10920,handover,PREP_FAILURE,FAIL,,-100,19,,,XYZ409,,,,,,,,,,,
,XYZ401,UE10688,handover,PING_PONG,FAIL,,-116,4,,,XYZ401,,,,,,,,,,,
,XYZ409,UE10176,handover,SUCCESS,SUCCESS,,-95,7,,,XYZ409,,,,,,,,,,,
,XYZ410,UE10216,handover,TOO_EARLY_HO,FAIL,,-93,24,,,XYZ410,,,,,,,,,,,
,XYZ407,UE10010,handover,SUCCESS,SUCCESS,,-97,19,,,XYZ407,,,,,,,,,,,
,XYZ404,UE10445,handover,PREP_FAILURE,FAIL,,-121,23,,,XYZ404,,,,,,,,,,,
,XYZ403,UE10629,handover,SUCCESS,SUCCESS,,-113,0,,,XYZ403,,,,,,,,,,,
,XYZ410,UE10163,handover,WRONG_CELL,FAIL,,-125,16,,,XYZ410,,,,,,,,,,,
,XYZ406,UE10550,handover,SUCCESS,SUCCESS,,-103,13,,,XYZ406,,,,,,,,,,,
,XYZ401,UE10052,handover,TOO_EARLY_HO,FAIL,,-86,24,,,XYZ401,,,,,,,,,,,
,XYZ403,UE10217,handover,WRONG_CELL,FAIL,,-123,-3,,,XYZ403,,,,,,,,,,,
,XYZ402,UE10717,handover,WRONG_CELL,FAIL,,-123,7,,,XYZ402,,,,,,,,,,,
,XYZ409,UE10998,handover,WRONG_CELL,FAIL,,-119,2,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10823,handover,TOO_EARLY_HO,FAIL,,-90,13,,,XYZ403,,,,,,,,,,,
,XYZ402,UE10359,handover,SUCCESS,SUCCESS,,-91,12,,,XYZ402,,,,,,,,,,,
,XYZ404,UE10384,handover,SUCCESS,SUCCESS,,-111,1,,,XYZ404,,,,,,,,,,,
,XYZ402,UE10055,handover,TOO_EARLY_HO,FAIL,,-86,19,,,XYZ402,,,,,,,,,,,
,XYZ401,UE10117,handover,WRONG_CELL,FAIL,,-123,20,,,XYZ401,,,,,,,,,,,
,XYZ406,UE10899,handover,SUCCESS,SUCCESS,,-97,17,,,XYZ406,,,,,,,,,,,
,XYZ410,UE10252,handover,PREP_FAILURE,FAIL,,-96,11,,,XYZ410,,,,,,,,,,,
,XYZ408,UE10797,handover,TOO_EARLY_HO,FAIL,,-87,17,,,XYZ408,,,,,,,,,,,
,XYZ410,UE10779,handover,SUCCESS,SUCCESS,,-108,2,,,XYZ410,,,,,,,,,,,
,XYZ410,UE10802,handover,SUCCESS,SUCCESS,,-115,14,,,XYZ410,,,,,,,,,,,
,XYZ402,UE10844,handover,SUCCESS,SUCCESS,,-83,-4,,,XYZ402,,,,,,,,,,,
,XYZ409,UE10179,handover,XN_FAILURE,FAIL,,-77,-5,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10414,handover,TOO_EARLY_HO,FAIL,,-88,13,,,XYZ403,,,,,,,,,,,
,XYZ408,UE10869,handover,SUCCESS,SUCCESS,,-86,8,,,XYZ408,,,,,,,,,,,
,XYZ408,UE10234,handover,WRONG_CELL,FAIL,,-125,8,,,XYZ408,,,,,,,,,,,
,XYZ403,UE10854,handover,PING_PONG,FAIL,,-97,-2,,,XYZ403,,,,,,,,,,,
,XYZ403,UE10707,handover,WRONG_CELL,FAIL,,-116,18,,,XYZ403,,,,,,,,,,,
,XYZ406,UE10819,handover,SUCCESS,SUCCESS,,-98,13,,,XYZ406,,,,,,,,,,,
,XYZ401,UE10079,handover,SUCCESS,SUCCESS,,-95,-6,,,XYZ401,,,,,,,,,,,
,XYZ404,UE10646,handover,PREP_FAILURE,FAIL,,-107,15,,,XYZ404,,,,,,,,,,,
,XYZ401,UE10021,handover,WRONG_CELL,FAIL,,-123,3,,,XYZ401,,,,,,,,,,,
,XYZ403,UE10476,handover,TOO_EARLY_HO,FAIL,,-90,18,,,XYZ403,,,,,,,,,,,
,XYZ409,UE10842,handover,SUCCESS,SUCCESS,,-83,-5,,,XYZ409,,,,,,,,,,,
,XYZ405,UE10439,handover,SUCCESS,SUCCESS,,-111,-4,,,XYZ405,,,,,,,,,,,
,XYZ405,UE10736,handover,SUCCESS,SUCCESS,,-93,7,,,XYZ405,,,,,,,,,,,
,XYZ404,UE10569,handover,SUCCESS,SUCCESS,,-85,12,,,XYZ404,,,,,,,,,,,
,XYZ403,UE10092,handover,SUCCESS,SUCCESS,,-83,-10,,,XYZ403,,,,,,,,,,,
,XYZ405,UE10191,handover,TOO_LATE_HO,FAIL,,-81,-7,,,XYZ405,,,,,,,,,,,
,XYZ404,UE10102,handover,SUCCESS,SUCCESS,,-100,24,,,XYZ404,,,,,,,,,,,
,XYZ408,UE10395,handover,SUCCESS,SUCCESS,,-110,12,,,XYZ408,,,,,,,,,,,
,XYZ404,UE10006,handover,TOO_EARLY_HO,FAIL,,-90,16,,,XYZ404,,,,,,,,,,,
,XYZ408,UE10639,handover,TOO_EARLY_HO,FAIL,,-93,15,,,XYZ408,,,,,,,,,,,
,XYZ406,UE10566,handover,PREP_FAILURE,FAIL,,-106,-3,,,XYZ406,,,,,,,,,,,
,XYZ405,UE10230,handover,SUCCESS,SUCCESS,,-113,5,,,XYZ405,,,,,,,,,,,
,XYZ404,UE10873,handover,SUCCESS,SUCCESS,,-93,-8,,,XYZ404,,,,,,,,,,,
,XYZ404,UE10573,handover,TOO_LATE_HO,FAIL,,-121,21,,,XYZ404,,,,,,,,,,,
,XYZ404,UE10239,handover,SUCCESS,SUCCESS,,-89,-6,,,XYZ404,,,,,,,,,,,
,XYZ409,UE10089,handover,XN_FAILURE,FAIL,,-112,9,,,XYZ409,,,,,,,,,,,
,XYZ404,UE10231,handover,SUCCESS,SUCCESS,,-99,3,,,XYZ404,,,,,,,,,,,
,XYZ409,UE10456,handover,XN_FAILURE,FAIL,,-103,21,,,XYZ409,,,,,,,,,,,
,XYZ410,UE10232,handover,SUCCESS,SUCCESS,,-112,15,,,XYZ410,,,,,,,,,,,
,XYZ406,UE10353,handover,SUCCESS,SUCCESS,,-86,-5,,,XYZ406,,,,,,,,,,,
,XYZ410,UE10332,handover,XN_FAILURE,FAIL,,-122,-6,,,XYZ410,,,,,,,,,,,
,XYZ407,UE10438,handover,SUCCESS,SUCCESS,,-87,2,,,XYZ407,,,,,,,,,,,
,XYZ410,UE10374,handover,SUCCESS,SUCCESS,,-107,21,,,XYZ410,,,,,,,,,,,
,XYZ403,UE10291,handover,SUCCESS,SUCCESS,,-79,5,,,XYZ403,,,,,,,,,,,
,XYZ408,UE10344,handover,PREP_FAILURE,FAIL,,-122,-10,,,XYZ408,,,,,,,,,,,
,XYZ403,UE10663,handover,SUCCESS,SUCCESS,,-96,2,,,XYZ403,,,,,,,,,,,
,XYZ401,UE10427,handover,XN_FAILURE,FAIL,,-107,0,,,XYZ401,,,,,,,,,,,
,XYZ410,UE10656,handover,SUCCESS,SUCCESS,,-95,-3,,,XYZ410,,,,,,,,,,,
,XYZ405,UE10129,handover,SUCCESS,SUCCESS,,-95,14,,,XYZ405,,,,,,,,,,,
,XYZ402,UE10140,handover,PREP_FAILURE,FAIL,,-117,21,,,XYZ402,,,,,,,,,,,
,XYZ410,UE10414,handover,SUCCESS,SUCCESS,,-113,13,,,XYZ410,,,,,,,,,,,
,XYZ406,UE10092,handover,SUCCESS,SUCCESS,,-112,17,,,XYZ406,,,,,,,,,,,
,XYZ410,UE10625,handover,SUCCESS,SUCCESS,,-80,3,,,XYZ410,,,,,,,,,,,
,XYZ409,UE10283,handover,WRONG_CELL,FAIL,,-116,-8,,,XYZ409,,,,,,,,,,,
,XYZ401,UE10955,handover,TOO_EARLY_HO,FAIL,,-78,16,,,XYZ401,,,,,,,,,,,
,XYZ404,UE10922,handover,PREP_FAILURE,FAIL,,-95,9,,,XYZ404,,,,,,,,,,,
,XYZ401,UE10654,handover,SUCCESS,SUCCESS,,-89,4,,,XYZ401,,,,,,,,,,,
,XYZ401,UE10222,handover,SUCCESS,SUCCESS,,-103,16,,,XYZ401,,,,,,,,,,,
,XYZ408,UE10743,handover,SUCCESS,SUCCESS,,-99,17,,,XYZ408,,,,,,,,,,,
,XYZ402,UE10462,handover,WRONG_CELL,FAIL,,-120,14,,,XYZ402,,,,,,,,,,,
,XYZ401,UE10544,handover,SUCCESS,SUCCESS,,-100,22,,,XYZ401,,,,,,,,,,,
,XYZ408,UE10275,handover,XN_FAILURE,FAIL,,-124,3,,,XYZ408,,,,,,,,,,,
,XYZ404,UE10681,handover,SUCCESS,SUCCESS,,-81,-3,,,XYZ404,,,,,,,,,,,
,XYZ403,UE10139,handover,SUCCESS,SUCCESS,,-113,3,,,XYZ403,,,,,,,,,,,
,XYZ404,UE10356,handover,SUCCESS,SUCCESS,,-76,-10,,,XYZ404,,,,,,,,,,,
,XYZ405,UE10712,handover,SUCCESS,SUCCESS,,-107,5,,,XYZ405,,,,,,,,,,,
,XYZ401,UE10022,handover,XN_FAILURE,FAIL,,-125,7,,,XYZ401,,,,,,,,,,,
,XYZ401,UE10967,handover,SUCCESS,SUCCESS,,-86,-4,,,XYZ401,,,,,,,,,,,
,XYZ403,UE10735,handover,SUCCESS,SUCCESS,,-94,4,,,XYZ403,,,,,,,,,,,
,XYZ406,UE10879,handover,SUCCESS,SUCCESS,,-104,13,,,XYZ406,,,,,,,,,,,
,XYZ401,UE10269,handover,SUCCESS,SUCCESS,,-78,2,,,XYZ401,,,,,,,,,,,
,XYZ402,UE10858,handover,SUCCESS,SUCCESS,,-97,-2,,,XYZ402,,,,,,,,,,,
,XYZ407,UE10664,handover,WRONG_CELL,FAIL,,-124,4,,,XYZ407,,,,,,,,,,,
,XYZ401,UE10332,handover,XN_FAILURE,FAIL,,-86,24,,,XYZ401,,,,,,,,,,,
,XYZ407,UE10084,handover,PING_PONG,FAIL,,-88,13,,,XYZ407,,,,,,,,,,,
,XYZ404,UE10620,handover,TOO_EARLY_HO,FAIL,,-78,22,,,XYZ404,,,,,,,,,,,
,XYZ410,UE10030,handover,SUCCESS,SUCCESS,,-115,5,,,XYZ410,,,,,,,,,,,
,XYZ406,UE10740,handover,SUCCESS,SUCCESS,,-109,-3,,,XYZ406,,,,,,,,,,,
,XYZ408,UE10239,handover,PING_PONG,FAIL,,-83,18,,,XYZ408,,,,,,,,,,,
,XYZ409,UE10889,handover,TOO_LATE_HO,FAIL,,-118,12,,,XYZ409,,,,,,,,,,,
,XYZ406,UE10362,handover,SUCCESS,SUCCESS,,-104,20,,,XYZ406,,,,,,,,,,,
,XYZ409,UE10821,handover,WRONG_CELL,FAIL,,-122,3,,,XYZ409,,,,,,,,,,,
,XYZ404,UE10388,handover,SUCCESS,SUCCESS,,-115,19,,,XYZ404,,,,,,,,,,,
,XYZ406,UE10652,handover,WRONG_CELL,FAIL,,-118,16,,,XYZ406,,,,,,,,,,,
,XYZ408,UE10667,handover,WRONG_CELL,FAIL,,-117,5,,,XYZ408,,,,,,,,,,,
,XYZ409,UE10298,handover,SUCCESS,SUCCESS,,-100,-5,,,XYZ409,,,,,,,,,,,
,XYZ403,UE10856,handover,WRONG_CELL,FAIL,,-124,22,,,XYZ403,,,,,,,,,,,
,XYZ402,UE10370,handover,SUCCESS,SUCCESS,,-110,7,,,XYZ402,,,,,,,,,,,
,XYZ406,UE10098,handover,SUCCESS,SUCCESS,,-95,5,,,XYZ406,,,,,,,,,,,
,XYZ404,UE10046,handover,WRONG_CELL,FAIL,,-120,1,,,XYZ404,,,,,,,,,,,
,XYZ401,UE10998,handover,SUCCESS,SUCCESS,,-105,9,,,XYZ401,,,,,,,,,,,
,XYZ408,UE10838,handover,SUCCESS,SUCCESS,,-100,18,,,XYZ408,,,,,,,,,,,
,XYZ409,UE10421,handover,SUCCESS,SUCCESS,,-107,19,,,XYZ409,,,,,,,,,,,
,XYZ409,UE10479,handover,SUCCESS,SUCCESS,,-98,15,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10578,handover,WRONG_CELL,FAIL,,-118,11,,,XYZ402,,,,,,,,,,,
,XYZ409,UE10061,handover,SUCCESS,SUCCESS,,-112,22,,,XYZ409,,,,,,,,,,,
,XYZ407,UE10108,handover,SUCCESS,SUCCESS,,-102,18,,,XYZ407,,,,,,,,,,,
,XYZ405,UE10678,handover,SUCCESS,SUCCESS,,-78,11,,,XYZ405,,,,,,,,,,,
,XYZ407,UE10548,handover,SUCCESS,SUCCESS,,-82,2,,,XYZ407,,,,,,,,,,,
,XYZ409,UE10118,handover,SUCCESS,SUCCESS,,-89,-2,,,XYZ409,,,,,,,,,,,
,XYZ408,UE10597,handover,SUCCESS,SUCCESS,,-100,13,,,XYZ408,,,,,,,,,,,
,XYZ406,UE10381,handover,SUCCESS,SUCCESS,,-95,4,,,XYZ406,,,,,,,,,,,
,XYZ404,UE10391,handover,SUCCESS,SUCCESS,,-94,2,,,XYZ404,,,,,,,,,,,
,XYZ401,UE10976,handover,TOO_EARLY_HO,FAIL,,-76,16,,,XYZ401,,,,,,,,,,,
,XYZ406,UE10051,handover,SUCCESS,SUCCESS,,-85,-4,,,XYZ406,,,,,,,,,,,
,XYZ403,UE10602,handover,WRONG_CELL,FAIL,,-124,-3,,,XYZ403,,,,,,,,,,,
,XYZ406,UE10288,handover,SUCCESS,SUCCESS,,-101,3,,,XYZ406,,,,,,,,,,,
,XYZ406,UE10336,handover,SUCCESS,SUCCESS,,-82,1,,,XYZ406,,,,,,,,,,,
,XYZ404,UE10809,handover,PING_PONG,FAIL,,-124,6,,,XYZ404,,,,,,,,,,,
,XYZ402,UE10203,handover,TOO_EARLY_HO,FAIL,,-84,18,,,XYZ402,,,,,,,,,,,
,XYZ409,UE10879,handover,WRONG_CELL,FAIL,,-125,16,,,XYZ409,,,,,,,,,,,
,XYZ402,UE10237,handover,SUCCESS,SUCCESS,,-90,-10,,,XYZ402,,,,,,,,,,,
,XYZ403,UE10381,handover,PING_PONG,FAIL,,-114,23,,,XYZ403,,,,,,,,,,,
,XYZ410,UE10666,handover,WRONG_CELL,FAIL,,-117,-7,,,XYZ410,,,,,,,,,,,
,XYZ401,UE10751,handover,TOO_EARLY_HO,FAIL,,-90,13,,,XYZ401,,,,,,,,,,,
