ue_id,cell_id,msg_failure
UE10212,XYZ405,MSG3
UE10623,XYZ408,MSG1
UE10084,XYZ410,MSG4
UE10515,XYZ408,MSG3
UE10064,XYZ407,MSG2
UE10317,XYZ408,MSG2
UE10345,XYZ405,MSG2
UE10631,XYZ410,MSG4
UE10242,XYZ410,MSG4
UE10897,XYZ406,MSG4
UE10136,XYZ408,SUCCESS
UE10246,XYZ401,MSG1
UE10440,XYZ406,MSG2
UE10044,XYZ406,MSG2
UE10657,XYZ405,SUCCESS
UE10879,XYZ404,MSG2
UE10687,XYZ401,MSG2
UE10553,XYZ410,MSG4
UE10808,XYZ408,MSG4
UE10970,XYZ406,MSG1
UE10088,XYZ403,MSG2
UE10729,XYZ403,MSG3
UE10953,XYZ406,MSG2
UE10227,XYZ407,MSG2
UE10809,XYZ408,MSG1
UE10290,XYZ405,MSG3
UE10421,XYZ410,MSG2
UE10066,XYZ406,MSG3
UE10250,XYZ401,MSG4
UE10040,XYZ406,MSG4
UE10098,XYZ409,MSG3
UE10305,XYZ410,MSG2
UE10871,XYZ404,MSG3
UE10853,XYZ410,MSG3
UE10455,XYZ401,MSG4
UE10590,XYZ409,MSG3
UE10300,XYZ404,SUCCESS
UE10198,XYZ402,SUCCESS
UE10658,XYZ401,MSG4
UE10487,XYZ403,MSG2
UE10105,XYZ407,MSG2
UE10400,XYZ410,MSG4
UE10704,XYZ402,MSG2
UE10476,XYZ409,MSG1
UE10121,XYZ402,SUCCESS
UE10076,XYZ405,MSG1
UE10311,XYZ408,MSG1
UE10111,XYZ410,MSG1
UE10860,XYZ408,MSG4
UE10808,XYZ403,MSG1
UE10681,XYZ402,MSG3
UE10517,XYZ409,MSG2
UE10196,XYZ403,MSG4
UE10097,XYZ408,MSG3
UE10458,XYZ402,MSG3
UE10840,XYZ403,SUCCESS
UE10229,XYZ401,SUCCESS
UE10167,XYZ406,MSG3
UE10808,XYZ407,SUCCESS
UE10776,XYZ404,MSG2
UE10007,XYZ401,MSG2
UE10171,XYZ403,SUCCESS
UE10953,XYZ409,MSG1
UE10359,XYZ405,MSG3
UE10194,XYZ406,MSG2
UE10268,XYZ404,SUCCESS
UE10018,XYZ401,SUCCESS
UE10353,XYZ405,MSG2
UE10863,XYZ405,MSG2
UE10048,XYZ405,MSG1
UE10463,XYZ406,SUCCESS
UE10355,XYZ402,SUCCESS
UE10849,XYZ401,MSG4
UE10973,XYZ402,MSG1
UE10157,XYZ410,MSG2
UE10065,XYZ406,MSG2
UE10972,XYZ405,MSG3
UE10858,XYZ405,MSG2
UE10570,XYZ406,SUCCESS
UE10820,XYZ410,MSG2
UE10307,XYZ407,SUCCESS
UE10336,XYZ409,SUCCESS
UE10670,XYZ407,MSG1
UE10782,XYZ402,MSG2
UE10120,XYZ406,MSG1
UE10765,XYZ409,SUCCESS
UE10403,XYZ407,MSG2
UE10772,XYZ402,MSG2
UE10646,XYZ403,MSG1
UE10785,XYZ408,MSG1
UE10567,XYZ409,SUCCESS
UE10842,XYZ404,SUCCESS
UE10095,XYZ409,MSG2
UE10113,XYZ402,MSG2
UE10986,XYZ405,MSG4
UE10985,XYZ402,MSG4
UE10868,XYZ401,MSG3
UE10428,XYZ405,SUCCESS
UE10539,XYZ402,MSG3
UE10817,XYZ407,MSG3
UE10001,XYZ408,MSG1
UE10211,XYZ402,MSG1
UE10579,XYZ407,MSG4
UE10639,XYZ404,MSG3
UE10332,XYZ401,MSG4
UE10023,XYZ403,SUCCESS
UE10764,XYZ401,MSG2
UE10367,XYZ405,MSG1
UE10741,XYZ408,SUCCESS
UE10505,XYZ401,SUCCESS
UE10999,XYZ409,MSG1
UE10175,XYZ403,MSG1
UE10428,XYZ405,MSG3
UE10886,XYZ409,MSG4
UE10732,XYZ405,SUCCESS
UE10441,XYZ409,MSG3
UE10547,XYZ410,MSG3
UE10513,XYZ408,SUCCESS
UE10894,XYZ407,SUCCESS
UE10360,XYZ401,MSG2
UE10273,XYZ404,MSG4
UE10176,XYZ409,SUCCESS
UE10263,XYZ410,MSG1
UE10185,XYZ408,MSG2
UE10526,XYZ404,MSG4
UE10912,XYZ401,MSG1
UE10278,XYZ410,MSG1
UE10705,XYZ404,MSG4
UE10197,XYZ403,MSG2
UE10348,XYZ406,MSG1
UE10922,XYZ405,MSG3
UE10420,XYZ405,MSG4
UE10304,XYZ402,MSG4
UE10063,XYZ403,SUCCESS
UE10289,XYZ406,MSG2
UE10017,XYZ402,MSG3
UE10063,XYZ404,MSG3
UE10873,XYZ402,SUCCESS
UE10329,XYZ409,MSG1
UE10869,XYZ403,MSG1
UE10762,XYZ410,MSG3
UE10939,XYZ410,MSG2
UE10016,XYZ406,MSG1
UE10442,XYZ401,MSG4
UE10140,XYZ410,SUCCESS
UE10307,XYZ403,MSG2
UE10443,XYZ408,MSG1
UE10495,XYZ405,MSG3
UE10425,XYZ408,SUCCESS
UE10474,XYZ402,MSG1
UE10831,XYZ407,MSG3
UE10244,XYZ409,MSG1
UE10449,XYZ407,SUCCESS
UE10801,XYZ403,MSG4
UE10350,XYZ407,MSG4
UE10598,XYZ408,MSG3
UE10710,XYZ401,MSG4
UE10869,XYZ403,SUCCESS
UE10959,XYZ405,MSG3
UE10160,XYZ406,MSG1
UE10139,XYZ403,MSG2
UE10492,XYZ404,MSG1
UE10587,XYZ405,SUCCESS
UE10530,XYZ403,MSG3
UE10392,XYZ404,MSG1
UE10841,XYZ405,MSG3
UE10400,XYZ402,MSG4
UE10049,XYZ410,MSG2
UE10743,XYZ409,SUCCESS
UE10294,XYZ410,MSG1
UE10424,XYZ408,MSG2
UE10905,XYZ406,SUCCESS
UE10011,XYZ410,SUCCESS
UE10334,XYZ403,MSG4
UE10990,XYZ402,MSG3
UE10014,XYZ407,MSG3
UE10027,XYZ408,MSG2
UE10387,XYZ410,MSG4
UE10291,XYZ401,SUCCESS
UE10886,XYZ406,MSG4
UE10832,XYZ407,MSG4
UE10249,XYZ409,MSG2
UE10504,XYZ403,MSG3
UE10097,XYZ402,MSG4
UE10814,XYZ405,MSG4
UE10336,XYZ410,MSG4
UE10038,XYZ401,MSG1
UE10037,XYZ406,MSG4
UE10299,XYZ409,MSG4
UE10178,XYZ410,SUCCESS
UE10608,XYZ409,MSG1
UE10891,XYZ407,MSG4
UE10468,XYZ407,MSG4
UE10281,XYZ408,MSG2
UE10749,XYZ410,MSG2
UE10163,XYZ402,MSG1
UE10452,XYZ406,SUCCESS
UE10096,XYZ405,MSG1
UE10768,XYZ405,MSG1
UE10308,XYZ403,MSG2
UE10261,XYZ403,MSG2
UE10292,XYZ406,SUCCESS
UE10769,XYZ410,MSG4
UE10248,XYZ410,SUCCESS
UE10244,XYZ407,MSG4
UE10250,XYZ401,MSG3
UE10122,XYZ403,MSG2
UE10324,XYZ401,MSG3
UE10985,XYZ410,MSG3
UE10680,XYZ403,MSG2
UE10946,XYZ405,MSG3
UE10500,XYZ409,MSG1
UE10686,XYZ403,MSG4
UE10780,XYZ410,SUCCESS
UE10715,XYZ410,MSG2
UE10836,XYZ409,MSG1
UE10065,XYZ401,SUCCESS
UE10826,XYZ406,SUCCESS
UE10835,XYZ409,SUCCESS
UE10058,XYZ405,MSG3
UE10730,XYZ410,MSG3
UE10497,XYZ402,MSG3
UE10372,XYZ405,MSG3
UE10265,XYZ401,MSG1
UE10652,XYZ409,MSG3
UE10235,XYZ410,MSG2
UE10897,XYZ410,SUCCESS
UE10217,XYZ409,MSG1
UE10526,XYZ406,MSG3
UE10813,XYZ409,SUCCESS
UE10440,XYZ403,MSG1
UE10649,XYZ404,SUCCESS
UE10405,XYZ406,MSG1
UE10743,XYZ404,MSG4
UE10600,XYZ401,MSG1
UE10974,XYZ407,MSG3
UE10588,XYZ405,SUCCESS
UE10647,XYZ408,SUCCESS
UE10916,XYZ409,SUCCESS
UE10468,XYZ405,MSG2
UE10917,XYZ408,MSG2
UE10109,XYZ401,MSG3
UE10352,XYZ401,MSG4
UE10812,XYZ407,MSG2
UE10090,XYZ406,MSG1
UE10935,XYZ405,MSG3
UE10881,XYZ405,MSG4
UE10917,XYZ409,MSG1
UE10413,XYZ401,SUCCESS
UE10701,XYZ408,MSG2
UE10072,XYZ402,MSG1
UE10684,XYZ407,MSG4
UE10546,XYZ406,MSG3
UE10721,XYZ410,MSG1
UE10297,XYZ402,MSG3
UE10644,XYZ403,SUCCESS
UE10282,XYZ404,MSG4
UE10504,XYZ407,MSG4
UE10197,XYZ408,MSG2
UE10957,XYZ402,MSG4
UE10031,XYZ408,MSG1
UE10647,XYZ409,MSG1
UE10759,XYZ407,MSG1
UE10870,XYZ401,SUCCESS
UE10340,XYZ406,MSG4
UE10657,XYZ408,MSG4
UE10333,XYZ405,MSG1
UE10142,XYZ402,MSG2
UE10745,XYZ405,MSG2
UE10409,XYZ408,MSG4
UE10948,XYZ402,MSG4
UE10043,XYZ401,MSG3
UE10031,XYZ404,MSG4
UE10742,XYZ404,MSG1
UE10027,XYZ409,SUCCESS
UE10422,XYZ403,MSG4
UE10490,XYZ404,MSG4
UE10159,XYZ403,MSG1
UE10844,XYZ402,MSG3
UE10206,XYZ404,MSG4
UE10017,XYZ408,MSG2
UE10102,XYZ401,MSG2
UE10581,XYZ408,MSG2
UE10630,XYZ408,SUCCESS
UE10650,XYZ403,SUCCESS
UE10671,XYZ410,MSG4
UE10231,XYZ410,MSG4
UE10659,XYZ406,MSG4
UE10864,XYZ404,SUCCESS
UE10423,XYZ401,MSG4
UE10903,XYZ401,MSG1
UE10754,XYZ405,MSG3
UE10546,XYZ408,MSG2
UE10836,XYZ401,MSG2
UE10893,XYZ402,MSG1
UE10866,XYZ407,MSG4
UE10238,XYZ408,SUCCESS
UE10333,XYZ403,MSG4
UE10148,XYZ408,MSG4
UE10622,XYZ401,MSG2
UE10407,XYZ409,MSG2
UE10016,XYZ402,SUCCESS
UE10913,XYZ402,MSG2
UE10225,XYZ404,MSG4
UE10651,XYZ410,MSG1
UE10655,XYZ403,SUCCESS
UE10259,XYZ404,MSG1
UE10728,XYZ406,MSG4
UE10673,XYZ407,SUCCESS
UE10603,XYZ405,MSG1
UE10173,XYZ402,SUCCESS
UE10842,XYZ403,MSG4
UE10204,XYZ410,SUCCESS
UE10414,XYZ403,MSG4
UE10507,XYZ405,SUCCESS
UE10152,XYZ405,SUCCESS
UE10102,XYZ404,MSG2
UE10713,XYZ408,MSG4
UE10791,XYZ406,MSG3
UE10064,XYZ406,SUCCESS
UE10116,XYZ401,MSG1
UE10664,XYZ406,MSG2
UE10155,XYZ403,MSG2
UE10675,XYZ406,SUCCESS
UE10081,XYZ410,MSG3
UE10517,XYZ406,MSG2
UE10833,XYZ402,MSG4
UE10066,XYZ401,SUCCESS
UE10237,XYZ403,SUCCESS
UE10583,XYZ405,MSG3
UE10606,XYZ404,MSG4
UE10815,XYZ407,MSG4
UE10978,XYZ404,MSG3
UE10325,XYZ408,MSG1
UE10589,XYZ407,MSG4
UE10066,XYZ410,MSG1
UE10175,XYZ409,MSG1
UE10832,XYZ401,SUCCESS
UE10683,XYZ405,SUCCESS
UE10477,XYZ404,MSG2
UE10254,XYZ406,SUCCESS
UE10062,XYZ401,MSG4
UE10813,XYZ406,MSG4
UE10402,XYZ401,MSG1
UE10757,XYZ401,MSG4
UE10191,XYZ408,SUCCESS
UE10978,XYZ402,SUCCESS
UE10328,XYZ410,SUCCESS
UE10070,XYZ406,MSG3
UE10877,XYZ406,MSG4
UE10740,XYZ406,MSG2
UE10945,XYZ408,MSG4
UE10062,XYZ404,MSG4
UE10296,XYZ403,MSG3
UE10244,XYZ406,MSG4
UE10518,XYZ404,MSG1
UE10392,XYZ402,SUCCESS
UE10771,XYZ406,SUCCESS
UE10600,XYZ410,MSG3
UE10176,XYZ405,SUCCESS
UE10203,XYZ409,MSG1
UE10645,XYZ406,MSG3
UE10593,XYZ403,MSG2
UE10999,XYZ405,SUCCESS
UE10532,XYZ410,MSG4
UE10910,XYZ408,MSG1
UE10127,XYZ409,MSG1
UE10194,XYZ408,SUCCESS
UE10193,XYZ403,MSG2
UE10183,XYZ409,MSG4
UE10246,XYZ403,MSG2
UE10872,XYZ408,MSG2
UE10871,XYZ410,SUCCESS
UE10323,XYZ409,MSG4
UE10159,XYZ407,SUCCESS
UE10705,XYZ404,SUCCESS
UE10621,XYZ410,MSG1
UE10924,XYZ409,SUCCESS
UE10065,XYZ403,MSG3
UE10929,XYZ403,MSG4
UE10253,XYZ402,MSG1
UE10282,XYZ410,MSG4
UE10059,XYZ403,MSG1
UE10117,XYZ401,MSG3
UE10422,XYZ404,SUCCESS
UE10555,XYZ408,MSG1
UE10997,XYZ405,MSG1
UE10721,XYZ402,MSG1
UE10035,XYZ403,MSG3
UE10530,XYZ401,MSG4
UE10090,XYZ402,MSG3
UE10300,XYZ401,MSG1
UE10723,XYZ402,MSG1
UE10916,XYZ403,SUCCESS
UE10918,XYZ401,MSG3
UE10733,XYZ409,MSG3
UE10216,XYZ410,MSG2
UE10734,XYZ405,MSG4
UE10922,XYZ408,MSG2
UE10097,XYZ405,MSG2
UE10455,XYZ408,MSG4
UE10530,XYZ407,SUCCESS
UE10808,XYZ404,SUCCESS
UE10537,XYZ407,MSG4
UE10027,XYZ406,MSG4
UE10575,XYZ403,MSG3
UE10323,XYZ409,MSG3
UE10222,XYZ410,MSG3
UE10079,XYZ409,MSG3
UE10562,XYZ405,MSG1
UE10457,XYZ408,MSG1
UE10613,XYZ407,SUCCESS
UE10175,XYZ409,MSG1
UE10521,XYZ407,MSG1
UE10748,XYZ404,MSG3
UE10456,XYZ404,MSG3
UE10422,XYZ408,MSG4
UE10099,XYZ406,MSG3
UE10889,XYZ409,MSG4
UE10739,XYZ410,MSG4
UE10402,XYZ407,MSG1
UE10575,XYZ407,MSG3
UE10379,XYZ404,MSG1
UE10530,XYZ403,MSG3
UE10331,XYZ408,MSG1
UE10317,XYZ407,MSG1
UE10652,XYZ404,MSG1
UE10536,XYZ404,SUCCESS
UE10739,XYZ401,MSG1
UE10088,XYZ407,MSG2
UE10603,XYZ401,MSG2
UE10510,XYZ410,MSG2
UE10041,XYZ410,MSG4
UE10884,XYZ404,MSG1
UE10806,XYZ403,MSG2
UE10925,XYZ403,MSG4
UE10388,XYZ401,MSG2
UE10080,XYZ404,MSG3
UE10401,XYZ401,SUCCESS
UE10106,XYZ408,MSG1
UE10110,XYZ401,SUCCESS
UE10276,XYZ406,SUCCESS
UE10213,XYZ407,MSG3
UE10742,XYZ410,MSG3
UE10817,XYZ402,MSG3
UE10505,XYZ404,MSG4
UE10120,XYZ403,MSG2
UE10133,XYZ409,MSG1
UE10817,XYZ407,MSG3
UE10719,XYZ402,MSG1
UE10961,XYZ406,MSG1
UE10370,XYZ409,MSG1
UE10256,XYZ403,MSG3
UE10696,XYZ406,MSG3
UE10797,XYZ403,MSG2
UE10953,XYZ403,MSG3
UE10874,XYZ404,MSG3
UE10179,XYZ409,MSG1
UE10932,XYZ408,MSG2
UE10047,XYZ401,SUCCESS
UE10598,XYZ401,MSG3
UE10896,XYZ407,MSG3
UE10018,XYZ403,SUCCESS
UE10045,XYZ407,MSG1
UE10450,XYZ409,MSG2
UE10897,XYZ403,MSG1
UE10055,XYZ403,MSG4
UE10740,XYZ402,MSG3
UE10656,XYZ410,MSG4
UE10091,XYZ401,MSG3
UE10081,XYZ409,MSG4
UE10736,XYZ406,SUCCESS
UE10078,XYZ406,MSG3
UE10661,XYZ408,MSG3
UE10872,XYZ405,MSG4
UE10282,XYZ409,MSG2
UE10310,XYZ405,MSG4
UE10996,XYZ402,MSG3
UE10159,XYZ406,MSG3
UE10315,XYZ409,MSG2
UE10876,XYZ403,MSG1
UE10978,XYZ410,MSG2
UE10667,XYZ404,MSG1
UE10155,XYZ410,MSG3
UE10887,XYZ408,SUCCESS
UE10713,XYZ406,SUCCESS
UE10467,XYZ407,MSG4
UE10920,XYZ407,MSG2
UE10852,XYZ404,MSG2
UE10461,XYZ406,SUCCESS
UE10853,XYZ409,MSG1
UE10116,XYZ403,MSG2
UE10665,XYZ408,MSG1
UE10363,XYZ407,MSG1
UE10842,XYZ404,MSG1
UE10630,XYZ410,MSG1
UE10710,XYZ403,MSG4
UE10912,XYZ407,MSG4
UE10465,XYZ410,SUCCESS
UE10774,XYZ409,MSG4
UE10183,XYZ410,MSG2
UE10959,XYZ403,MSG4
UE10659,XYZ410,MSG2
UE10165,XYZ409,MSG2
UE10074,XYZ408,MSG1
UE10747,XYZ403,SUCCESS
UE10825,XYZ408,MSG1
UE10271,XYZ404,MSG1
UE10690,XYZ406,MSG4
UE10502,XYZ410,MSG4
UE10794,XYZ402,MSG2
UE10562,XYZ408,MSG4
UE10586,XYZ409,MSG4
UE10655,XYZ407,MSG3
UE10342,XYZ408,MSG2
UE10699,XYZ407,MSG2
UE10634,XYZ410,MSG3
UE10843,XYZ404,MSG2
UE10250,XYZ401,SUCCESS
UE10807,XYZ403,SUCCESS
UE10834,XYZ407,MSG3
UE10129,XYZ407,MSG4
UE10763,XYZ403,SUCCESS
UE10357,XYZ401,MSG3
UE10943,XYZ410,SUCCESS
UE10691,XYZ409,MSG1
UE10407,XYZ406,MSG3
UE10860,XYZ407,MSG2
UE10494,XYZ401,SUCCESS
UE10621,XYZ401,MSG2
UE10481,XYZ404,MSG3
UE10979,XYZ407,SUCCESS
UE10849,XYZ408,MSG2
UE10077,XYZ410,MSG4
UE10977,XYZ409,MSG4
UE10513,XYZ401,MSG1
UE10320,XYZ404,MSG3
UE10787,XYZ404,MSG2
UE10289,XYZ403,MSG1
UE10296,XYZ407,MSG3
UE10680,XYZ401,MSG4
UE10751,XYZ409,MSG2
UE10970,XYZ408,SUCCESS
UE10474,XYZ402,MSG4
UE10022,XYZ402,SUCCESS
UE10805,XYZ408,SUCCESS
UE10171,XYZ401,MSG2
UE10834,XYZ407,MSG2
UE10317,XYZ409,SUCCESS
UE10907,XYZ403,MSG1
UE10797,XYZ407,SUCCESS
UE10990,XYZ406,SUCCESS
UE10854,XYZ407,MSG2
UE10192,XYZ407,MSG3
UE10680,XYZ410,MSG4
UE10915,XYZ401,MSG2
UE10117,XYZ403,MSG1
UE10005,XYZ410,MSG4
UE10842,XYZ401,MSG2
UE10482,XYZ405,MSG2
UE10131,XYZ403,MSG3
UE10092,XYZ401,MSG1
UE10762,XYZ402,MSG1
UE10521,XYZ410,MSG2
UE10562,XYZ405,MSG3
UE10860,XYZ403,MSG2
UE10293,XYZ406,SUCCESS
UE10640,XYZ409,SUCCESS
UE10999,XYZ406,MSG3
UE10391,XYZ402,MSG2
UE10248,XYZ402,MSG3
UE10613,XYZ408,MSG2
UE10848,XYZ408,MSG2
UE10594,XYZ406,SUCCESS
UE10702,XYZ410,MSG4
UE10416,XYZ407,MSG1
UE10142,XYZ401,MSG1
UE10236,XYZ409,MSG3
UE10286,XYZ405,MSG1
UE10276,XYZ409,SUCCESS
UE10386,XYZ402,MSG4
UE10381,XYZ408,MSG2
UE10449,XYZ407,MSG2
UE10290,XYZ404,SUCCESS
UE10168,XYZ403,MSG1
UE10442,XYZ404,MSG2
UE10655,XYZ404,MSG1
UE10183,XYZ410,SUCCESS
UE10044,XYZ410,MSG2
UE10754,XYZ408,MSG3
UE10826,XYZ404,MSG4
UE10945,XYZ405,MSG1
UE10980,XYZ402,MSG1
UE10267,XYZ404,MSG1
UE10475,XYZ407,MSG1
UE10252,XYZ403,SUCCESS
UE10395,XYZ401,SUCCESS
UE10288,XYZ408,SUCCESS
UE10211,XYZ408,SUCCESS
UE10999,XYZ406,MSG2
UE10688,XYZ407,SUCCESS
UE10020,XYZ410,MSG2
UE10315,XYZ402,MSG3
UE10563,XYZ405,SUCCESS
UE10437,XYZ407,MSG3
UE10422,XYZ409,SUCCESS
UE10232,XYZ401,MSG3
UE10944,XYZ403,MSG4
UE10122,XYZ406,MSG3
UE10873,XYZ407,MSG2
UE10959,XYZ406,MSG1
UE10611,XYZ401,MSG3
UE10213,XYZ404,MSG1
UE10921,XYZ406,MSG4
UE10838,XYZ408,MSG4
UE10646,XYZ410,MSG2
UE10967,XYZ404,MSG2
UE10829,XYZ407,MSG3
UE10729,XYZ403,SUCCESS
UE10599,XYZ408,MSG4
UE10791,XYZ401,MSG1
UE10039,XYZ404,SUCCESS
UE10751,XYZ408,MSG4
UE10331,XYZ410,MSG3
UE10942,XYZ404,MSG4
UE10647,XYZ402,MSG2
UE10181,XYZ402,MSG1
UE10264,XYZ404,MSG1
UE10770,XYZ404,MSG2
UE10693,XYZ402,SUCCESS
UE10532,XYZ407,MSG2
UE10862,XYZ406,MSG1
UE10431,XYZ403,MSG3
UE10942,XYZ408,SUCCESS
UE10983,XYZ408,MSG4
UE10195,XYZ401,MSG3
UE10723,XYZ403,SUCCESS
UE10508,XYZ405,MSG1
UE10446,XYZ402,MSG1
UE10527,XYZ405,MSG3
UE10201,XYZ410,SUCCESS
UE10874,XYZ403,MSG4
UE10729,XYZ409,MSG4
UE10604,XYZ401,MSG2
UE10132,XYZ404,MSG3
UE10138,XYZ410,SUCCESS
UE10668,XYZ406,MSG3
UE10492,XYZ409,MSG4
UE10846,XYZ403,SUCCESS
UE10069,XYZ403,MSG1
UE10815,XYZ405,MSG1
UE10014,XYZ407,SUCCESS
UE10746,XYZ405,MSG3
UE10211,XYZ408,MSG3
UE10801,XYZ405,MSG1
UE10059,XYZ407,MSG1
UE10251,XYZ406,MSG4
UE10445,XYZ410,SUCCESS
UE10001,XYZ402,MSG3
UE10747,XYZ403,MSG4
UE10335,XYZ404,MSG3
UE10018,XYZ405,MSG1
UE10993,XYZ409,SUCCESS
UE10560,XYZ406,MSG2
UE10077,XYZ401,SUCCESS
UE10471,XYZ403,MSG2
UE10027,XYZ407,MSG4
UE10559,XYZ408,MSG2
UE10607,XYZ407,MSG2
UE10164,XYZ405,MSG4
UE10457,XYZ410,SUCCESS
UE10944,XYZ408,MSG4
UE10876,XYZ409,MSG1
UE10175,XYZ407,MSG1
UE10584,XYZ409,MSG2
UE10983,XYZ401,MSG4
UE10867,XYZ409,MSG4
UE10028,XYZ403,MSG4
UE10955,XYZ406,SUCCESS
UE10668,XYZ408,MSG3
UE10825,XYZ403,MSG3
UE10815,XYZ404,MSG3
UE10278,XYZ407,SUCCESS
UE10282,XYZ407,MSG4
UE10478,XYZ404,MSG3
UE10518,XYZ409,MSG4
UE10304,XYZ403,MSG2
UE10693,XYZ408,MSG3
UE10108,XYZ408,MSG2
UE10323,XYZ404,SUCCESS
UE10205,XYZ407,MSG1
UE10233,XYZ404,SUCCESS
UE10937,XYZ401,SUCCESS
UE10457,XYZ401,SUCCESS
UE10186,XYZ401,MSG3
UE10939,XYZ402,MSG2
UE10481,XYZ406,MSG3
UE10921,XYZ410,MSG1
UE10406,XYZ405,SUCCESS
UE10840,XYZ402,MSG4
UE10508,XYZ408,MSG1
UE10868,XYZ409,MSG2
UE10519,XYZ407,MSG1
UE10052,XYZ409,MSG3
UE10397,XYZ404,MSG4
UE10198,XYZ407,MSG3
UE10390,XYZ405,SUCCESS
UE10648,XYZ405,SUCCESS
