ue_id,cell_id,rsrp,rsrq,sinr,failure_type
UE10148,XYZ409,-89.0,-7.5,18.8,SUCCESS
UE10149,XYZ410,-87.2,-7.8,15.3,SUCCESS
UE10150,XYZ401,-123.3,-15.5,-14.1,SUCCESS
UE10151,XYZ402,-124.0,-12.1,2.3,TOO_LATE_HO
UE10152,XYZ403,-115.9,-11.3,-3.2,SUCCESS
UE10153,XYZ404,-111.4,-13.2,3.3,SUCCESS
UE10154,XYZ405,-108.2,-11.9,1.4,SUCCESS
UE10155,XYZ406,-105.0,-12.0,7.6,SUCCESS
UE10156,XYZ407,-109.3,-13.0,-0.0,SUCCESS
UE10157,XYZ408,-95.1,-9.5,13.1,SUCCESS
UE10158,XYZ409,-94.0,-6.4,19.5,SUCCESS
UE10159,XYZ410,-88.7,-8.5,19.4,SUCCESS
UE10160,XYZ401,-127.5,-14.9,-2.7,PREP_FAILURE
UE10161,XYZ402,-101.6,-11.0,3.3,SUCCESS
UE10162,XYZ403,-121.3,-14.6,-0.1,SUCCESS
UE10163,XYZ404,-116.0,-10.9,6.4,SUCCESS
UE10164,XYZ405,-108.2,-14.2,-3.3,SUCCESS
UE10165,XYZ406,-102.2,-12.6,-2.5,SUCCESS
UE10166,XYZ407,-100.2,-12.9,8.8,SUCCESS
UE10167,XYZ408,-105.9,-10.3,13.4,TOO_LATE_HO
UE10168,XYZ409,-94.0,-11.4,15.3,SUCCESS
UE10169,XYZ410,-88.2,-8.8,19.0,SUCCESS
UE10170,XYZ401,-120.1,-10.9,1.9,XN_FAILURE
UE10171,XYZ402,-116.7,-12.7,-0.6,SUCCESS
UE10172,XYZ403,-113.0,-14.0,4.2,N2_FAILURE
UE10173,XYZ404,-113.1,-14.6,-5.6,N2_FAILURE
UE10174,XYZ405,-112.3,-11.4,-0.5,SUCCESS
UE10175,XYZ406,-112.8,-14.7,-4.7,SUCCESS
UE10176,XYZ407,-110.3,-11.3,19.0,SUCCESS
UE10177,XYZ408,-103.3,-9.8,15.2,SUCCESS
UE10178,XYZ409,-93.4,-8.8,16.6,SUCCESS
UE10179,XYZ410,-87.7,-10.3,21.7,SUCCESS
UE10180,XYZ401,-115.4,-11.6,3.6,SUCCESS
UE10181,XYZ402,-109.5,-9.7,10.8,PING_PONG
UE10182,XYZ403,-111.3,-12.4,-6.7,SUCCESS
UE10183,XYZ404,-105.8,-11.9,0.0,PREP_FAILURE
UE10184,XYZ405,-105.2,-11.9,4.4,SUCCESS
UE10185,XYZ406,-100.4,-10.8,10.8,SUCCESS
UE10186,XYZ407,-103.8,-10.7,4.6,SUCCESS
UE10187,XYZ408,-101.4,-8.0,21.7,SUCCESS
UE10188,XYZ409,-95.0,-8.1,14.8,SUCCESS
UE10189,XYZ410,-87.5,-8.9,20.6,SUCCESS
UE10190,XYZ401,-110.6,-13.8,-2.6,TOO_LATE_HO
UE10191,XYZ402,-108.3,-11.6,1.2,SUCCESS
UE10192,XYZ403,-113.6,-13.5,-6.4,SUCCESS
UE10193,XYZ404,-112.6,-9.7,4.5,SUCCESS
UE10194,XYZ405,-102.2,-10.0,7.9,SUCCESS
UE10195,XYZ406,-109.1,-11.6,9.4,SUCCESS
UE10196,XYZ407,-103.9,-11.4,5.3,SUCCESS
UE10197,XYZ408,-104.2,-10.9,5.5,SUCCESS
UE10198,XYZ409,-90.9,-8.5,16.6,SUCCESS
UE10199,XYZ410,-89.4,-9.9,18.7,SUCCESS
UE10200,XYZ401,-113.4,-14.5,-11.1,N2_FAILURE
UE10201,XYZ402,-110.5,-11.7,-2.7,SUCCESS
UE10202,XYZ403,-121.8,-13.5,-4.3,N2_FAILURE
UE10203,XYZ404,-120.3,-13.2,-0.7,SUCCESS
UE10204,XYZ405,-106.2,-12.4,5.7,SUCCESS
UE10205,XYZ406,-111.3,-9.6,6.4,SUCCESS
UE10206,XYZ407,-100.2,-11.3,8.8,SUCCESS
UE10207,XYZ408,-105.4,-8.4,14.8,SUCCESS
UE10208,XYZ409,-90.9,-9.6,21.2,SUCCESS
UE10209,XYZ410,-86.1,-9.6,17.4,SUCCESS
UE10210,XYZ401,-119.1,-10.0,-2.3,SUCCESS
UE10211,XYZ402,-114.8,-12.0,2.4,SUCCESS
UE10212,XYZ403,-109.3,-16.0,-10.1,SUCCESS
UE10213,XYZ404,-111.8,-14.9,1.2,SUCCESS
UE10214,XYZ405,-114.5,-12.0,5.2,SUCCESS
UE10215,XYZ406,-113.5,-14.0,3.2,SUCCESS
UE10216,XYZ407,-107.1,-12.0,6.0,SUCCESS
UE10217,XYZ408,-101.3,-10.2,11.4,PREP_FAILURE
UE10218,XYZ409,-89.0,-10.2,14.5,SUCCESS
UE10219,XYZ410,-90.8,-8.1,21.0,SUCCESS
UE10220,XYZ401,-117.7,-14.1,-6.4,SUCCESS
UE10221,XYZ402,-110.4,-12.0,-3.4,N2_FAILURE
UE10222,XYZ403,-113.7,-10.3,9.1,XN_FAILURE
UE10223,XYZ404,-101.8,-12.9,1.8,SUCCESS
UE10224,XYZ405,-108.5,-9.0,4.2,SUCCESS
UE10225,XYZ406,-112.2,-11.0,7.7,SUCCESS
UE10226,XYZ407,-101.1,-12.4,4.6,SUCCESS
UE10227,XYZ408,-102.7,-10.3,8.6,SUCCESS
UE10228,XYZ409,-96.2,-10.0,14.4,SUCCESS
UE10229,XYZ410,-89.6,-11.2,20.0,SUCCESS
UE10230,XYZ401,-111.4,-14.2,-0.9,SUCCESS
UE10231,XYZ402,-114.7,-13.5,-7.1,SUCCESS
UE10232,XYZ403,-119.7,-12.9,10.3,XN_FAILURE
UE10233,XYZ404,-105.1,-9.3,10.8,TOO_LATE_HO
UE10234,XYZ405,-108.6,-13.5,-3.4,SUCCESS
UE10235,XYZ406,-103.5,-11.1,11.0,SUCCESS
UE10236,XYZ407,-102.8,-10.3,14.2,SUCCESS
UE10237,XYZ408,-99.2,-10.0,5.7,SUCCESS
UE10238,XYZ409,-93.1,-9.7,18.8,SUCCESS
UE10239,XYZ410,-86.7,-9.8,19.9,SUCCESS
UE10240,XYZ401,-115.5,-10.0,-2.2,SUCCESS
UE10241,XYZ402,-113.1,-13.8,-7.0,SUCCESS
UE10242,XYZ403,-105.2,-14.9,-7.4,SUCCESS
UE10243,XYZ404,-111.8,-13.9,2.2,SUCCESS
UE10244,XYZ405,-101.1,-11.1,10.1,SUCCESS
UE10245,XYZ406,-109.0,-11.9,5.2,SUCCESS
UE10246,XYZ407,-100.9,-10.6,10.3,PREP_FAILURE
UE10247,XYZ408,-97.6,-10.0,7.8,SUCCESS
UE10248,XYZ409,-94.3,-9.2,14.6,SUCCESS
UE10249,XYZ410,-85.9,-8.7,18.9,SUCCESS
UE10250,XYZ401,-114.6,-11.9,8.2,TOO_LATE_HO
UE10251,XYZ402,-118.7,-11.7,1.7,SUCCESS
UE10252,XYZ403,-112.9,-14.3,-6.3,PING_PONG
UE10253,XYZ404,-113.3,-13.6,-5.9,SUCCESS
UE10254,XYZ405,-110.0,-12.1,3.9,SUCCESS
UE10255,XYZ406,-107.3,-11.3,5.1,SUCCESS
UE10256,XYZ407,-108.7,-12.3,11.7,SUCCESS
UE10257,XYZ408,-99.3,-11.9,10.0,SUCCESS
UE10258,XYZ409,-90.4,-9.9,9.9,SUCCESS
UE10259,XYZ410,-87.4,-8.9,16.1,SUCCESS
UE10260,XYZ401,-126.7,-14.9,-3.8,PING_PONG
UE10261,XYZ402,-121.1,-13.1,2.6,SUCCESS
UE10262,XYZ403,-109.9,-12.7,1.9,XN_FAILURE
UE10263,XYZ404,-110.4,-13.1,-0.2,SUCCESS
UE10264,XYZ405,-102.3,-10.3,10.0,SUCCESS
UE10265,XYZ406,-103.4,-11.4,2.7,SUCCESS
UE10266,XYZ407,-109.9,-9.1,15.0,SUCCESS
UE10267,XYZ408,-100.2,-10.3,9.8,SUCCESS
UE10268,XYZ409,-96.4,-9.2,17.4,SUCCESS
UE10269,XYZ410,-86.0,-7.8,17.8,SUCCESS
UE10270,XYZ401,-108.5,-14.2,-1.4,SUCCESS
UE10271,XYZ402,-119.2,-16.3,-7.4,SUCCESS
UE10272,XYZ403,-122.5,-12.2,4.4,SUCCESS
UE10273,XYZ404,-106.0,-12.2,-7.6,SUCCESS
UE10274,XYZ405,-106.9,-14.0,-8.1,SUCCESS
UE10275,XYZ406,-105.7,-12.2,-2.1,SUCCESS
UE10276,XYZ407,-105.9,-11.8,13.2,SUCCESS
UE10277,XYZ408,-101.4,-11.6,5.8,SUCCESS
UE10278,XYZ409,-89.5,-10.3,13.7,SUCCESS
UE10279,XYZ410,-83.4,-6.6,16.6,SUCCESS
UE10280,XYZ401,-126.8,-14.1,-11.4,SUCCESS
UE10281,XYZ402,-109.0,-10.4,4.8,SUCCESS
UE10282,XYZ403,-113.9,-12.9,-6.6,SUCCESS
UE10283,XYZ404,-113.2,-14.3,4.4,SUCCESS
UE10284,XYZ405,-109.3,-12.9,0.4,SUCCESS
UE10285,XYZ406,-101.1,-9.9,9.7,SUCCESS
UE10286,XYZ407,-105.0,-11.0,10.3,SUCCESS
UE10287,XYZ408,-97.7,-11.5,5.1,SUCCESS
UE10288,XYZ409,-88.6,-7.4,15.7,SUCCESS
UE10289,XYZ410,-91.8,-9.9,16.7,SUCCESS
UE10290,XYZ401,-123.0,-12.5,3.0,SUCCESS
UE10291,XYZ402,-121.0,-15.1,-5.9,N2_FAILURE
UE10292,XYZ403,-117.7,-10.6,12.9,SUCCESS
UE10293,XYZ404,-110.1,-13.5,-9.7,SUCCESS
UE10294,XYZ405,-113.3,-11.3,11.3,SUCCESS
UE10295,XYZ406,-104.4,-8.1,10.7,SUCCESS
UE10296,XYZ407,-107.0,-10.9,7.1,SUCCESS
UE10297,XYZ408,-104.1,-8.7,8.7,SUCCESS
UE10298,XYZ409,-93.5,-11.2,16.2,SUCCESS
UE10299,XYZ410,-91.9,-9.1,20.2,SUCCESS
UE10300,XYZ401,-113.4,-10.4,-5.0,N2_FAILURE
UE10301,XYZ402,-109.1,-11.0,-12.1,PREP_FAILURE
UE10302,XYZ403,-111.2,-12.6,-4.5,XN_FAILURE
UE10303,XYZ404,-104.5,-7.7,14.2,N2_FAILURE
UE10304,XYZ405,-104.4,-11.3,4.8,SUCCESS
UE10305,XYZ406,-109.1,-12.9,3.1,SUCCESS
UE10306,XYZ407,-101.0,-11.6,8.0,SUCCESS
UE10307,XYZ408,-102.7,-10.5,14.8,SUCCESS
UE10308,XYZ409,-87.2,-8.5,15.5,SUCCESS
UE10309,XYZ410,-90.0,-8.7,23.3,SUCCESS
UE10310,XYZ401,-120.0,-13.7,-2.5,SUCCESS
UE10311,XYZ402,-110.3,-13.1,-12.1,SUCCESS
UE10312,XYZ403,-108.1,-11.8,-1.9,N2_FAILURE
UE10313,XYZ404,-113.2,-11.5,0.7,N2_FAILURE
UE10314,XYZ405,-110.7,-16.3,-4.7,SUCCESS
UE10315,XYZ406,-102.6,-11.5,6.5,SUCCESS
UE10316,XYZ407,-101.6,-10.0,10.1,SUCCESS
UE10317,XYZ408,-108.7,-9.8,4.1,SUCCESS
UE10318,XYZ409,-89.7,-10.2,8.5,SUCCESS
UE10319,XYZ410,-86.1,-10.3,14.3,SUCCESS
UE10320,XYZ401,-122.3,-14.2,-11.8,WRONG_CELL
UE10321,XYZ402,-111.5,-12.3,5.6,SUCCESS
UE10322,XYZ403,-117.5,-13.3,-4.9,SUCCESS
UE10323,XYZ404,-113.9,-11.0,3.8,SUCCESS
UE10324,XYZ405,-101.8,-12.0,5.0,SUCCESS
UE10325,XYZ406,-111.4,-12.5,-1.0,SUCCESS
UE10326,XYZ407,-105.0,-8.5,10.6,SUCCESS
UE10327,XYZ408,-101.4,-9.2,10.3,SUCCESS
UE10328,XYZ409,-86.2,-10.7,9.5,SUCCESS
UE10329,XYZ410,-88.0,-9.8,13.8,SUCCESS
UE10330,XYZ401,-123.5,-13.8,-6.9,SUCCESS
UE10331,XYZ402,-102.7,-12.6,5.2,SUCCESS
UE10332,XYZ403,-113.9,-13.5,-8.2,SUCCESS
UE10333,XYZ404,-114.5,-12.6,6.3,SUCCESS
UE10334,XYZ405,-109.3,-13.4,-1.2,SUCCESS
UE10335,XYZ406,-108.6,-12.3,6.5,SUCCESS
UE10336,XYZ407,-103.2,-10.4,6.2,SUCCESS
UE10337,XYZ408,-99.6,-9.6,10.0,SUCCESS
UE10338,XYZ409,-90.2,-9.3,11.7,SUCCESS
UE10339,XYZ410,-85.9,-6.9,17.6,SUCCESS
UE10340,XYZ401,-124.5,-12.8,-6.7,SUCCESS
UE10341,XYZ402,-105.1,-13.2,-1.7,SUCCESS
UE10342,XYZ403,-117.3,-10.6,5.2,TOO_LATE_HO
UE10343,XYZ404,-101.9,-12.8,-4.1,SUCCESS
UE10344,XYZ405,-101.0,-10.1,3.2,SUCCESS
UE10345,XYZ406,-103.7,-10.8,4.7,SUCCESS
UE10346,XYZ407,-101.1,-9.3,18.7,SUCCESS
UE10347,XYZ408,-110.0,-10.8,8.1,SUCCESS
UE10348,XYZ409,-93.3,-9.5,17.2,SUCCESS
UE10349,XYZ410,-88.5,-8.1,18.7,SUCCESS
UE10350,XYZ401,-113.6,-14.7,-13.2,PING_PONG
UE10351,XYZ402,-117.0,-15.4,-4.9,SUCCESS
UE10352,XYZ403,-113.2,-13.4,-3.7,SUCCESS
UE10353,XYZ404,-106.3,-13.2,-2.3,SUCCESS
UE10354,XYZ405,-107.1,-11.2,16.7,SUCCESS
UE10355,XYZ406,-110.6,-11.1,6.2,SUCCESS
UE10356,XYZ407,-107.4,-13.4,5.4,SUCCESS
UE10357,XYZ408,-94.4,-10.6,8.5,SUCCESS
UE10358,XYZ409,-92.2,-9.9,17.8,SUCCESS
UE10359,XYZ410,-89.8,-8.6,18.7,SUCCESS
UE10360,XYZ401,-109.7,-10.6,2.1,SUCCESS
UE10361,XYZ402,-124.6,-13.0,2.7,SUCCESS
UE10362,XYZ403,-117.4,-15.1,-2.7,SUCCESS
UE10363,XYZ404,-108.8,-11.5,3.3,SUCCESS
UE10364,XYZ405,-112.1,-13.7,8.5,SUCCESS
UE10365,XYZ406,-98.9,-10.1,10.8,XN_FAILURE
UE10366,XYZ407,-103.3,-12.1,4.2,XN_FAILURE
UE10367,XYZ408,-108.9,-11.0,10.2,PREP_FAILURE
UE10368,XYZ409,-97.0,-9.1,22.8,SUCCESS
UE10369,XYZ410,-87.5,-7.8,19.5,SUCCESS
UE10370,XYZ401,-117.2,-15.5,-8.5,SUCCESS
UE10371,XYZ402,-124.2,-14.0,-8.5,SUCCESS
UE10372,XYZ403,-122.2,-12.0,-0.8,SUCCESS
UE10373,XYZ404,-109.0,-13.2,-4.1,SUCCESS
UE10374,XYZ405,-107.4,-12.6,6.9,SUCCESS
UE10375,XYZ406,-107.9,-10.3,4.3,XN_FAILURE
UE10376,XYZ407,-101.1,-8.5,10.8,SUCCESS
UE10377,XYZ408,-96.9,-8.3,14.4,SUCCESS
UE10378,XYZ409,-92.7,-6.8,20.7,SUCCESS
UE10379,XYZ410,-86.9,-8.4,17.2,SUCCESS
UE10380,XYZ401,-118.7,-12.2,-5.7,SUCCESS
UE10381,XYZ402,-115.6,-14.8,-8.3,TOO_LATE_HO
UE10382,XYZ403,-123.6,-13.7,0.0,TOO_LATE_HO
UE10383,XYZ404,-115.2,-13.0,6.0,SUCCESS
UE10384,XYZ405,-106.9,-13.2,1.4,SUCCESS
UE10385,XYZ406,-115.5,-10.7,4.1,SUCCESS
UE10386,XYZ407,-105.9,-9.5,9.9,SUCCESS
UE10387,XYZ408,-96.2,-9.2,14.3,SUCCESS
UE10388,XYZ409,-94.0,-8.9,15.6,SUCCESS
UE10389,XYZ410,-89.0,-7.7,19.8,SUCCESS
UE10390,XYZ401,-122.4,-13.2,-8.2,N2_FAILURE
UE10391,XYZ402,-113.9,-12.9,-7.0,SUCCESS
UE10392,XYZ403,-117.9,-12.8,6.0,SUCCESS
UE10393,XYZ404,-110.2,-12.3,0.9,WRONG_CELL
UE10394,XYZ405,-109.9,-11.9,4.5,SUCCESS
UE10395,XYZ406,-99.1,-12.2,2.5,TOO_LATE_HO
UE10396,XYZ407,-105.7,-10.9,12.3,SUCCESS
UE10397,XYZ408,-98.0,-11.6,9.1,SUCCESS
UE10398,XYZ409,-92.1,-6.2,21.0,SUCCESS
UE10399,XYZ410,-89.2,-10.3,20.8,SUCCESS
UE10400,XYZ401,-114.8,-12.4,0.3,SUCCESS
UE10401,XYZ402,-115.9,-11.4,-3.6,WRONG_CELL
UE10402,XYZ403,-117.0,-14.3,-13.3,SUCCESS
UE10403,XYZ404,-110.3,-13.2,4.6,SUCCESS
UE10404,XYZ405,-107.8,-11.1,7.3,SUCCESS
UE10405,XYZ406,-107.8,-9.3,12.0,SUCCESS
UE10406,XYZ407,-99.1,-13.3,3.9,SUCCESS
UE10407,XYZ408,-101.3,-9.7,12.4,SUCCESS
UE10408,XYZ409,-94.4,-7.5,25.0,SUCCESS
UE10409,XYZ410,-87.2,-6.3,22.2,SUCCESS
UE10410,XYZ401,-114.9,-11.9,2.1,SUCCESS
UE10411,XYZ402,-113.0,-11.7,10.2,SUCCESS
UE10412,XYZ403,-121.8,-11.1,-3.0,SUCCESS
UE10413,XYZ404,-108.0,-13.2,-4.0,XN_FAILURE
UE10414,XYZ405,-106.8,-12.4,2.1,SUCCESS
UE10415,XYZ406,-99.4,-11.3,7.6,SUCCESS
UE10416,XYZ407,-107.4,-11.7,2.4,SUCCESS
UE10417,XYZ408,-105.2,-11.9,-1.3,SUCCESS
UE10418,XYZ409,-97.1,-10.2,14.6,SUCCESS
UE10419,XYZ410,-88.3,-8.5,19.1,SUCCESS
UE10420,XYZ401,-109.4,-10.3,6.9,SUCCESS
UE10421,XYZ402,-107.1,-12.3,1.5,SUCCESS
UE10422,XYZ403,-117.6,-11.9,1.1,SUCCESS
UE10423,XYZ404,-113.7,-11.7,13.0,SUCCESS
UE10424,XYZ405,-105.0,-12.6,1.9,SUCCESS
UE10425,XYZ406,-109.2,-10.7,8.8,SUCCESS
UE10426,XYZ407,-103.8,-11.3,7.7,SUCCESS
